industryCode,industry,sector
0,All industries,All sectors
15,Food,Manufacturing
17,Textiles,Manufacturing
18,Garments,Manufacturing
19,Leather,Manufacturing
20,Wood,Manufacturing
21,Paper,Manufacturing
22,"Publishing, printing, and Recorded media",Manufacturing
24,Chemicals,Manufacturing
25,Plastics and rubber,Manufacturing
26,Non metallic mineral products,Manufacturing
27,Basic metals,Manufacturing
28,Fabricated metal products,Manufacturing
29,Machinery and equipment,Manufacturing
31,Electronics,Manufacturing
34,Transport machines,Manufacturing
36,Furniture,Manufacturing
45,Construction,Services
50,Services of motor vehicles,Services
51,Wholesale,Services
52,Retail,Services
55,Hotel and restaurants,Services
60,Transport,Services
72,IT,Services
