"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",5,9736.49591927548,9255.86157982105,3909.29621592372,7042.02837990583,1861.37750052952,-911.441972286501,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",7,9806.0603600942,677.636149566869,24020.125881239,6068.23335215498,18811.2989181555,12307.9539225252,0.715982023484131,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",18,798693.843057273,22494.0457306377,1819762.4343983,177582.321537747,-278490.123290754,-315601.334332622,0.382583687515681,-6,18,798693.843057273,22494.0457306377,1819762.4343983,177582.321537747,-278490.123290754,-315601.334332622,0.382583687515681,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",9,16123.1698354217,13542.4677562003,8583.22372627799,8982.07407407407,3583.84779541154,3798.41446208113,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",112,29387.7385051802,19745.3558026852,28688.4911772515,16753.3360913761,23953.206865904,30028.9765674585,1.51401828249949,-50,112,29387.7385051802,19745.3558026852,28688.4911772515,16753.3360913761,23953.206865904,30028.9765674585,1.51401828249949,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",11,7182.13092668746,2241.18012610339,11158.9310097377,4620.04234461525,-2761.28204794146,-889.096423458651,0.39397815974665,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",13,6436.06551161999,5695.9285780632,3462.55186031119,3618.714848228,1295.16294388988,1406.73482615143,0.865300905989418,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",16,40301.0267037674,17201.7857142857,82241.0360128211,6286.66666666667,1553.60292586227,2021.33379531347,0.571428571428571,-12,16,40301.0267037674,17201.7857142857,82241.0360128211,6286.66666666667,1553.60292586227,2021.33379531347,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",133,2764.49008934484,1899.79771232874,2590.78923619633,2530.33235606109,524.332858078218,183.475686488959,1.00409482360758,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",10,17196.3458567222,17808.3199650749,10287.8897934529,9040.71666666667,-8151.55582833213,-10079.2519020125,0.320317290807451,-1,10,17196.3458567222,17808.3199650749,10287.8897934529,9040.71666666667,-8151.55582833213,-10079.2519020125,0.320317290807451,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belize","Belize2010",25,22382.3535045965,21944.9523115679,9952.288265571,16293.3333333333,10644.6251630586,11771.3739460641,2.32970528955451,-24,25,22382.3535045965,21944.9523115679,9952.288265571,16293.3333333333,10644.6251630586,11771.3739460641,2.32970528955451,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",6,5588.67800751328,1848.98058618862,8511.28755514827,1111.97916782688,5058.71456799827,3361.12599033252,1.81809635330557,-4,6,5588.67800751328,1848.98058618862,8511.28755514827,1111.97916782688,5058.71456799827,3361.12599033252,1.81809635330557,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",6,11434.2542013741,6539.43693738298,11141.7544508157,14989.1514457847,3003.8301912833,6182.22898773395,3.5098220039397,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",7,3117.48388655501,2906.45614768257,2513.14870376486,0,-157.433122546882,-546.354266751447,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",7,31445.3242494481,15812.8962014545,49292.3838489836,13593.9615419435,31556.0484695083,32772.4675467101,1.96953848549176,-5,7,31445.3242494481,15812.8962014545,49292.3838489836,13593.9615419435,31556.0484695083,32772.4675467101,1.96953848549176,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",115,17612.4082970692,10349.2564248242,20261.4335126926,16417.6321126653,4777.44571889771,-4746.73214075346,1.34295353127247,-64,115,17612.4082970692,10349.2564248242,20261.4335126926,16417.6321126653,4777.44571889771,-4746.73214075346,1.34295353127247,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",7,69766.2165861209,18739.2173880523,83778.4136218733,155042.973948908,-44200.913037033,-17147.830443559,1.47991170009462,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",8,10036.1022497059,10515.7344111968,6477.06530036063,11722.4418269845,88.0552630707464,-105.210862621958,0.344425815946797,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",19,13253.6615124188,3404.98910051403,45498.7589957475,1966.92112306511,78850.3882610857,86936.1441639588,1.13171957097466,-10,19,13253.6615124188,3404.98910051403,45498.7589957475,1966.92112306511,78850.3882610857,86936.1441639588,1.13171957097466,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",13,18577.7858011524,12266.7227318515,35013.9418052609,15094.4745560942,23056.6614898921,26014.1656792527,0.799506141414449,3,13,18577.7858011524,12266.7227318515,35013.9418052609,15094.4745560942,23056.6614898921,26014.1656792527,0.799506141414449,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",140,24079.7407878784,14800.3627014051,22728.5454577105,24961.6706931098,12202.9273988259,17035.1006705789,1.12626540689055,-99,140,24079.7407878784,14800.3627014051,22728.5454577105,24961.6706931098,12202.9273988259,17035.1006705789,1.12626540689055,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",106,40410.7369168673,21350.1656608565,89264.3354457333,23568.2108449678,4031.23679930417,1689.19769686328,1.79108594374591,-70,106,40410.7369168673,21350.1656608565,89264.3354457333,23568.2108449678,4031.23679930417,1689.19769686328,1.79108594374591,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",99,15887.4487596057,13403.1736459793,30315.6223035962,10001.6760944245,34665.6513764992,57780.6790505513,5.05407342750382,-58,99,15887.4487596057,13403.1736459793,30315.6223035962,10001.6760944245,34665.6513764992,57780.6790505513,5.05407342750382,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",66,16009.5171891136,14083.0562718515,11790.992401294,14867.9402924862,6310.7940487817,5576.17315700849,1.83408569699947,-24,66,16009.5171891136,14083.0562718515,11790.992401294,14867.9402924862,6310.7940487817,5576.17315700849,1.83408569699947,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
