"countryOnly","country","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",3,19656.192611257,12116.969927034,37421.2585533468,54355.4478485674,-8238.57890383277,-7032.30696920868,0.705865619844114,7,8621.09175905744,2708.38728288178,11111.398182619,20301.343077206,2188.82143967214,1333.52762441517,1.52793024495813,4,7861.14726416173,9886.55192707686,4088.98876483317,5266.2650672895,-107.360859314663,-68.624447399206,1.05943462897526,25,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",3,34511.7361691214,47281.1711509348,25760.0479826165,46531.1173195157,-3159.3928992521,-3159.3928992521,0.945945945945946,8,35878.5559486025,12141.3715728039,43198.4615584674,59156.8341383414,16785.6746833338,16692.8731742131,1.17613734079533,13,9133.27601432578,7135.36342637228,8118.56848940509,9593.28110308822,894.739298730472,717.498021935066,0.88995845284677,4,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",3,2622.58386379848,246.174902899714,6054.43050557094,181.982822028707,1920.28669379047,2347.70907405799,1.90011063720531,8,232620.038518214,25479.6886775961,515601.990749516,179451.182745095,-88841.0914334595,-87324.9351734406,0.346541720112417,13,1439338.06787029,28841.1434840026,3331194.60195538,194258.117871675,265944.259734429,335487.082359132,1.37851956237503,6,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",NA,NA,NA,NA,NA,NA,NA,NA,2,97148.7360376249,97148.7360376249,64641.4488386291,91416.8136390359,14661.1870930529,14661.1870930529,1.47222222222222,8,28894.4003527337,27314.8148148148,11777.2619931663,18500.8818342152,-396.457965902411,-396.457965902411,0.9,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",61,163252.873019812,153043.134318953,97861.5499179729,164256.34893769,24979.4822882995,-338.315125713907,0.784408127882866,51,132510.929352523,98270.9584548964,125325.850864615,125858.909549012,7585.54855603638,4498.71975448645,0.766162310793739,38,58365.2152629971,30081.9537446157,54086.1581084218,59971.3189306245,3631.94078809561,2411.54009541553,0.876024693300716,24,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",1,12404.2497515848,12404.2497515848,NA,0,0,0,NA,9,20232.7485335768,8879.90379021703,18971.6158568079,31732.2173640196,-1011.69164394063,1899.47000732552,0.690630580907048,3,11785.822834376,5962.41454080656,16863.6763637613,26251.6537466917,4453.88278398133,1440.86811903022,NA,10,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",2,15945.4640405802,15945.4640405802,3460.50500941586,4893.89311697595,-439.950454388202,-448.848185284776,0.80517336410533,18,15325.8744009281,9632.45730260244,13065.5096558273,15627.5951711782,378.378867413044,4.13783135148649,2.22222222222222,9,9683.04339442335,8268.69769602191,6145.88041410166,7810.79343426822,-504.598802250038,-614.42237992847,1.07142857142857,16,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",1,178571.428571429,178571.428571429,NA,0,0,0,1,5,50498.9683848758,37301.8867924528,38852.553404848,6857.14285714286,5751.03161512422,6706.35497545963,1.74166666666667,10,38700.9430803571,29820,20813.7981582482,24500,-2085.38623580958,-2156.41085164835,1.86,4,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",48,26051.0660769716,19172.7290493453,25872.2578641977,37115.2284096335,-3627.13636112193,-5737.67827361152,0.835825309924118,56,7474.95695385666,4725.11543613157,9296.73715290681,4679.80661625907,840.627437658161,704.32489087186,0.733203348619182,37,5054.333052304,3897.42477862142,3236.62611622355,3849.42364987656,168.412776392707,24.9395671653891,1.07802354207721,25,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",6,130161.285149646,80364.3724696356,118290.601656322,237009.803921569,-5068.58908223042,-5068.58908223042,1.34259259259259,7,55961.9527298099,48076.9230769231,25106.8107427419,27430.5555555556,3404.24445328872,3404.24445328872,0.866666666666667,5,38142.4242424242,35000,13790.1996048764,20833.3333333333,2084.84848484848,2084.84848484848,2,1,"2010","Latin America and Caribbean","Barbados","High income"
