"countryOnly","country","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",6,8576.26867317836,8347.52250707521,3467.91872042695,5755.96866185293,-395.367792981795,-117.760793264367,1.0753972354152,5,3455.56168777551,2999.79202260179,1997.77178449326,2626.18482420622,-195.483979936899,-178.735431604107,0.72289156626506,1,119507.49990163,119507.49990163,Inf,0,0,0,1,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",18,60065.784621821,33340.9980859784,42194.0257076292,75378.4530640869,4417.05259334513,4590.10522306826,0.616378430533371,34,47711.7641952667,38504.8596665326,29117.7525347832,28245.7712767769,-76.1719933416612,-114.716728005652,0.754443215942435,37,58657.4953571329,53906.8035331456,47899.6939718271,44922.3362776213,-5919.16584501701,-3965.51072892413,0.553475146542574,6,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",135,8193.36859407436,6902.17873085385,5875.47002611197,7590.99706818333,-1150.32534236025,-658.640361055065,1.20446119896956,24,6452.80223227252,5241.0384711364,3626.1168073669,1576.27261525117,-623.717062458522,-366.47170983658,1.63242078791366,22,8226.79499696538,7743.09354860226,7461.80515767963,9407.85866155179,-763.836044375546,-623.929562077446,0.780327727884366,11,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",NA,NA,NA,NA,NA,NA,NA,NA,3,41837.6068376068,46666.6666666667,15017.1572560679,28846.1538461538,3362.39316239316,3362.39316239316,1,2,29166.6666666667,29166.6666666667,0,0,0,0,1,0,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",1,6166.36756083223,6166.36756083223,NA,0,0,0,1,4,8235.21391956612,8298.37419236821,2310.88982552359,4725.26779106769,-290.615758789904,-225.840004720147,0.7,2,10362.1175578109,10362.1175578109,7448.02974164139,10533.1046735874,-2137.8443882104,-2430.71646313556,0.747094719847586,5,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",1,6879.58272198741,6879.58272198741,NA,0,0,0,1,2,13487.2889287993,13487.2889287993,3.81537223094175,5.39575115449952,0.0252943765009031,0.0267116393787105,NA,1,8599.47840248427,8599.47840248427,NA,0,0,0,1,4,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",1,13068.82040827,13068.82040827,Inf,0,0,0,NA,1,28490.0284900285,28490.0284900285,NA,0,0,0,1,1,9496.67616334283,9496.67616334283,NA,0,0,0,1,6,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",2,5923.14979552028,5923.14979552028,8094.24151078798,11446.9861216797,-3703.43668642577,-3703.43668642577,0.607142857142857,NA,NA,NA,NA,NA,NA,NA,NA,3,7480.15678065454,6796.05462253188,6373.9357254863,9499.7783565044,-79.6118253950691,-250.02663785695,0.781884727825534,3,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",25,50677.7280850073,41392.6386918462,43494.8909009659,44239.7680146375,896.919738085209,1598.09458477597,1.28266264913882,77,30685.4090509956,23984.0392519232,26378.647024582,40181.073701368,-678.257460992048,132.422500565626,0.878088199464025,45,20503.5880726009,12999.7083865006,23561.4061274507,26293.5746594643,-113.742940647691,-1277.69482975869,1.67125648307485,15,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",4,6346.79124496174,6525.59952117871,1158.19490930524,1824.15622302201,357.834077132443,143.096858416187,1.06221763946281,4,4808.91518172474,4866.19906386517,748.902399414429,1087.78767989474,37.5329040913197,56.016127622013,1.40025011757684,4,17762.6389085777,14880.4275036273,15011.0262348482,24285.5382793009,-2271.12880814434,-2053.58465810288,1.06389017309668,5,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",1,9958.91225860429,9958.91225860429,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,47015.9621902556,21742.5420834758,60830.8378322133,108443.500939602,-27398.03406809,-18331.5331520646,1,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,1,1104.89604730915,1104.89604730915,NA,0,0,0,1,13,4964.17614448169,4282.51109959337,3748.29964789809,5369.56094948918,713.132067320497,783.054530883123,1.3428172077851,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
