"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",6,0.514134195286155,0.382267732106447,0.33982282709663,0.665446331204237,-0.0952605351564636,-0.0880752722383785,1.40776765554716,1,0.122611464968153,0.122611464968153,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",5,0.211369653273664,0.178359163222535,0.236876413967233,0.255730420079632,0.0160927627664526,0.0168809704864712,0.766940900809174,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.0665249930703132,0.0665249930703132,NA,0,0,0,1,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",7,0.46975092216551,0.442307692307692,0.158473073609033,0.239874213836478,0.00750029229249744,0.00750029229249743,0.818181818181818,1,0.247770069375619,0.247770069375619,Inf,2.77555756156289e-17,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Armenia","Armenia2013",4,0.0366848268244839,0.025447457160954,0.0312526637074629,0.0648976040690671,-0.00689088432847319,-0.0049284703823746,0.977966830218919,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",37,0.42226459376075,0.431448811232349,0.22504649367219,0.278634656652361,-0.0309664574864184,-0.0298833435870777,1.14285714285714,35,0.439148612064397,0.455860878492408,0.215731993873357,0.346777323014519,-0.00564323986293132,-0.00680070938650098,0.867452031221099,2,12,0.147346824689597,0.124754330500553,0.171492420104915,0.221260929590428,0.00490509744388312,-0.0525640190820207,1.30253876690092,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",10,0.44435917562762,0.396800410725356,0.216291054787229,0.160859698304632,0.0228902462768811,0.0228902462768811,0.666666666666667,2,0.543795332702617,0.543795332702617,0.0114283262490731,0.0161620939766636,0.000187931325310041,0.000187931325310042,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",7,0.30614169373624,0.17846091162268,0.354332323775047,0.235701404125722,0.0580016690812879,0.0627385907522262,0.660996549380826,2,0.405026561238313,0.405026561238313,0.593326667897006,0.839090620657583,-0.10690930025164,-0.112272688679536,1.41126977907203,0,1,0.31062876475162,0.31062876475162,NA,0,0,0,1,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",1,0.540540540540541,0.540540540540541,NA,0,0,0,1,3,0.492160880155473,0.517199881115957,0.15408100156828,0.321021021021021,0.00359747147165101,0.00448893668741384,0.802285073542437,0,1,0.441151929750548,0.441151929750548,NA,0,0,0,1,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",3,0.405416545329933,0.375,0.11027207199838,0.214159334986454,0.0186831576291337,0.0186831576291337,1,1,0.155440414507772,0.155440414507772,NA,0,0,0,1,0,2,0.23205967893548,0.23205967893548,0.16267959721405,0.230063692701502,-0.0217403042012238,-0.0246496813608752,1.14977923272372,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",56,0.444397314935475,0.430804287673229,0.236373346005102,0.266666666666666,0.0175932562936529,0.0189949859954464,1.00380791420761,65,0.424833528768082,0.378566825676603,0.288906267404416,0.36587056400507,-0.0168452608623457,0.0083317108195963,1.22623147886686,3,19,0.334858785928803,0.307467650618356,0.200137385257929,0.19142748034667,-0.0246222772315419,-0.0231306744913493,1.67319814060236,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,0.634923299985837,0.630242862317043,0.288134873275293,0.569747899159664,0.010683875521266,0.0133800186741364,0.868298735992454,3,0.518218937267962,0.5201118006149,0.049228927231806,0.0589262674468014,0.00857131712471953,0.0106964886180391,0.511101247684196,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
