"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,122,1.6017234065202,1.55889970323557,0.675825798349961,0.885529838217323,-0.0200999900060908,-0.0447070801948905,1,172,2.07567492608227,1.96844657202961,0.714151669540874,1.04356627869914,0.0200742835825188,0.0164951352776651,0.971467121020707,119,2.12217341158726,1.95231555569693,0.719426014826926,1.13695438061436,0.0915865851846153,0.274343186560528,1.26363602916109,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",NA,NA,NA,NA,NA,NA,NA,NA,0,10,2.10185098506651,2.06731851349565,0.466323990303192,0.438862950358716,0.115596963426181,0.109052374383953,2,6,2.0442282298745,1.94683278300153,0.32292610283862,0.355011427083535,0.0426359123397339,0.03994576136539,1.70416666666667,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,302,1.82508711675088,2.00111746200722,1.23454266644183,1.83687433995703,-0.000399241648292844,-0.00346550542757081,1,389,1.92062650944974,2.00128163729615,1.1127447642948,1.53399773000094,0.0468923562911982,0.0547108432516559,1.00323365704466,340,2.52769714213471,2.7103627482149,1.17892248224336,1.87147903062879,0.223541357665093,0.00788389919271277,0.9114015921122,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,0,12,2.31263947591694,2.24339675352413,0.256790970081045,0.345930516450247,0.0513386019893279,0.0538811740683508,1.03719968299493,9,2.34749310446422,2.38439099451766,0.18330076868665,0.211089765858343,0.0331741216032259,0.0222357363096638,3.09921135580318,4,2.64364109760473,2.69580661271991,0.175526719397023,0.167676126132748,0.0736571139808571,0.0736571139808571,1.71359223300971,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,0,12,2.1764315037926,2.19003727178451,0.548409307845738,0.624148577169221,-0.0215543591600346,-0.0402243416792571,1.31571100616174,4,2.32425491186666,2.35013349492694,0.252858920831855,0.327468590619432,-0.0468670006312123,-0.0481831380844688,0.899435771408811,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,0,8,2.72436228303609,3.00894029296811,0.887485998406516,1.67247241532874,-0.022510045115929,0.111771029500697,1,8,2.24150553583556,2.10798869792653,0.429264770757653,0.494265518952824,0.0357002009359825,0.0970843373087557,1.16617182283014,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,23,340,2.10739428657752,2.19488928911418,0.99446189354478,0.975865418301443,-0.0702647191448197,-0.00626221776493951,1.18669124808896,452,2.08120359656267,2.23120132340061,1.02423793002542,0.97626438291895,-0.00718393848958695,-0.0108142593514363,1.02218989635661,207,2.32258233640257,2.4224543465953,1.08564136794465,0.944906982008139,0.269751140806514,0.324191252626783,1.16534871791934,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",NA,NA,NA,NA,NA,NA,NA,NA,0,3,2.47351364036126,2.31569038396272,0.691219752941125,1.42036716749556,0.0557974830710842,0.0614773107368308,1,12,2.55202479702528,2.43220779238049,0.549735574697537,0.642805808340228,0.0410234253268736,0.0425150291619345,0.909536622940226,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,0,2,3.72898949392574,3.72898949392574,1.54868369518818,2.19016948556121,-0.0353170684078295,-0.0353253142832452,0.967551905451306,5,3.89183522262283,3.45901864346771,1.53570058727862,3.23347521717025,-0.135886758898421,-0.150191748252304,0.929514609466507,8,4.38701269560539,3.74641191922613,1.51880173100099,2.11884241135905,-0.651255119956046,-0.631847987195093,1.06307927145708,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,178,2.36491704674756,2.33340663008598,0.853831710361557,1.28859537722812,-0.00990834489366171,0.00625618613685032,0.894786447481506,234,2.2675323007181,2.2200294111287,0.788245555870384,1.02732253031336,-0.0170965943539474,0.0079934919040699,1,142,2.70510724619129,2.64243189452044,1.24087695719739,1.62372996309459,0.310220817757399,0.234698736932276,1.04495108645101,"2010","Latin America and Caribbean","Chile","High income"
