"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,11,-1.4634116606168,-1.52078314395511,1.0721967130442,0.801904733214172,0.429176628303783,0.393479200572012,2.77667059975162,74,-2.09969192982005,-2.1026804210738,0.652413184061,0.772603393044591,0.2137899879343,0.253889440597148,0.509509884185191,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,0,23,1.97294617626018,1.81064112853646,0.762872352096434,1.15515866192526,0.300687946207121,0.303505058511961,1.19829092213467,110,1.34872282520506,1.26101164233175,0.745985548636283,0.833895459643186,0.117666341271684,0.0876939850709978,1.35362339941129,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,3,3,-7.15009547344179,-7.36948160267828,0.693962381090798,1.2885288289481,0.617092314052907,0.636802071888339,1.96562718517787,26,-6.78125154030349,-6.98338437144405,0.670360811970711,0.538991867836128,0.39202055675986,0.341268961243392,0.472361206603606,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,1,10,0.129330335374868,0.0880906378089335,0.529115451757584,0.641949882361768,-0.124468806510591,-0.727243248953261,0.740911376523024,76,0.458686729732693,0.289192332295217,0.798021407840302,0.769037154217463,0.00855437575842038,-0.357852017538869,1.28368459509059,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,4,-0.913112948719768,-0.547136066971241,1.2556839120716,2.12716542402095,0.313871856240301,0.105733242777238,1.49547454822615,27,-1.91127648433507,-2.08082984802431,0.778707511058727,0.824230505185893,0.121423602811569,-0.0350541209794356,1.19434485493217,"2014","South Asia","India","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,22,-4.16634433712707,-4.26964405878865,0.763528618002277,0.593562851753544,0.0966277346677964,0.105331309352652,0.971419728639721,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,80,-0.488328120266155,-0.758068314276165,0.660708406105632,0.48922862920201,0.355883706271217,0.0741799160122673,0.974823779090789,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,0,3,-4.82723138171976,-4.82021557489308,0.544566500856903,0.784494800985851,-0.0639603540856109,-0.0347976461472867,0.860773956788828,21,-4.35189684266338,-4.30695212732218,0.552456353915617,0.739682294540456,0.170100775792584,-0.0462674370969647,1.26310120743126,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,0,10,2.08492857831828,0.81395814552927,4.43558890516543,8.56480475120797,0.604147397796426,-0.300286279077336,0.860067447214365,38,-1.26937450860068,-2.37283332618143,2.39126016262924,4.13281120568366,0.748115368266694,1.15050730467281,0.777777777777778,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Philippines","Philippines2009",NA,NA,NA,NA,NA,NA,NA,NA,0,12,-1.26273405566208,-1.13529290664661,0.34794643968464,0.23988997265611,0.0449391330975749,0.11835296992563,0.495818411197401,5,-1.77497603760675,-1.85667440051043,0.310123165533791,0.425403896616018,-0.0036287891756086,0.152800849286297,0.943691081578669,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,20,-0.896931519596074,-0.901262986860917,0.51095608588768,0.702878245146678,-0.523931176176744,-0.849208900306312,0.230431646727127,"2012","Europe and Central Asia","Russian Federation","High income"
"Tanzania","Tanzania2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,17,-6.91799902845694,-6.71515891376738,1.0180694405259,1.39293228761737,-0.283257681548622,-0.375977341185501,0.325789265719333,"2013","Sub-Saharan Africa","Tanzania","Low income"
"Zambia","Zambia2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15,1.29018266602175,1.28506020905022,0.924312328438017,1.17462142582589,0.261491142576406,0.313965651524538,1.28128943011405,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
