"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,15,1.57189793933182,1.6518775571212,0.338882972985522,0.331914702039954,0.0264065780352533,0.0382437788997842,0.977164567604318,10,1.30887903120428,1.25546850325595,0.299335741491661,0.652147091683943,0.138627083933174,0.135825228425999,1.30290317639779,13,0.955115448609499,1.11561562884956,0.88094043986716,1.53979804396468,-0.0640118172763617,-0.0200455703712963,0.918978568752567,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,2,63,0.973442489129625,0.911237187532713,0.344821824292018,0.480823367834315,-0.0168559660828887,-0.0130469838170107,0.997308369212952,51,1.04889602171814,0.959717451214597,0.317083049986206,0.578109320883609,-0.049094795651148,-0.0474391827465267,1.46202336986608,31,0.868095062531882,0.821366001487931,0.213434391771573,0.22599304802894,0.00839476552457418,0.00327948444108718,1.08941242056872,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,6,49,1.3050030402779,1.05019071128421,0.827093158443053,0.795995015855144,-0.00592506466019966,-0.0483190631349467,1.0294555270526,21,1.1228459091252,1.13715149496706,0.26523755520923,0.291900021459977,-0.0946186211139489,-0.0820681028600857,0.206813971115385,46,1.41255945928234,1.35293811063077,0.44080529522695,0.567921145203776,0.0321756873356595,-0.00984943724066854,1.11111111111111,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,26,1.56372180806975,1.4837041904279,0.43254129391496,0.490527332427085,0.0498446487426452,0.090695888799222,1.1811209538815,5,1.64371293765485,1.59575525664421,0.370353009901147,0.527389796739961,-0.124615408119589,-0.179781077512335,0.312479003587169,21,1.69652041089557,1.54103533274448,0.578413507622134,0.669651598568848,0.0433459818919217,0.0473505184940929,1.06530375004138,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,5,52,1.16513693675454,1.14163525210921,0.344389926537033,0.438009132784563,-0.0034139087425806,0.0122863593536395,0.85190595481106,56,1.43871371890825,1.24822036912907,0.579383572779725,0.475450990624221,0.0568310391969774,0.0894257755477006,1.118213533417,14,1.30414230814407,1.33728443830469,0.217427242642186,0.181516375340172,0.0443045836102407,0.0155448971997358,2.37668499714907,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,0,15,1.1756466073673,1.23365427233133,0.326035835468137,0.323916511090165,-0.0627931748733887,0.00805835062511899,0.896215663822847,12,0.972425141848533,0.967924511927233,0.311266410223922,0.404724643525466,0.0815896412591006,0.0778278990121408,0.960208675650407,18,0.943908323424832,0.824996417193083,0.308869655149449,0.288643763134136,-0.0157999954126168,-0.0183829965135917,0.964508584677767,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,12,48,1.17990573228026,1.1881314161499,0.359832035111671,0.336864613201945,-0.00967801144512571,-0.0110000956021823,0.737475787556093,49,1.172460774973,1.26715035486496,0.387430897449025,0.367060950291007,-0.0347047624752257,-0.0764353561243344,0.952651424559644,50,1.186448039595,1.11206665160992,0.574548234172552,0.834854016296065,0.0296787934995293,0.00613663682864238,1.14417134193156,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,1,13,1.05791253612365,1.08870118708404,0.335415959711741,0.264957856084866,0.0508896580910936,0.036984328620372,1.28370678761206,8,0.897334375619516,0.889193889813431,0.12326916103292,0.0721622569869087,0.0023357754618404,0.00268824090161489,0.660471201950744,14,1.26163643219795,1.13886968012103,0.590133389691662,0.857769496879787,0.0980229901729691,0.0973516268401846,0.91530955347658,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,2,112,1.32903194115335,1.22798886254841,0.489060621988428,0.743254259859757,0.0195026377842363,0.0170456950900063,1.0920854598505,73,1.24065292136837,1.09573821266337,0.469979284933523,0.571615034975947,-0.0863916960999059,-0.0827305218967058,0.884444580140435,52,1.27704620373623,1.24754182329366,0.44597227892066,0.679292673939599,0.00378563200028609,0.00491332184667793,0.787082406402457,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,4,27,1.40929906540345,0.996612561369422,1.02489550853618,1.22890505100176,0.062434142546054,-0.0145506651736367,0.802520627402036,18,1.07090860517298,1.07854824473297,0.443802053127083,0.620242829829447,0.0724615371150021,0.0783551968984481,1.32726774360817,52,0.852379762621718,0.818085381492489,0.311009141750406,0.305233195040906,-0.0107339931475739,-0.0331849360122844,0.700920752157781,"2009","East Asia and Pacific","Indonesia","Lower middle income"
