"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",3,0.00188798251317194,0.000384971335034393,0.00267385092410905,0.00467127255173749,-0.00132306079925894,-0.00132306079925894,10,1,0.00410724323193767,0.00410724323193767,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,3,0.556737637870881,0.563225225367268,0.143794203170498,0.157894736842105,-0.0744321233106896,-0.0808250200665061,0.913680972310485,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",12,4.69195688460671,2.69690898340798,4.34875063080649,6.16899201294105,4.44299793082272,3.62512596878505,0.05,18,4.63706701263082,1.58613366346911,5.64858365562925,6.12179089076369,3.49548254744766,3.20746410422391,0.192999047560681,4,4,6.21482219196382,8.79316665511702,10.3915870957061,11.5006491418226,-2.1410774085008,-1.93213557304699,0.660849780158043,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,7,1.06153552537683,1.29479993314247,0.955902753197378,1.10693400167084,0.341283602947869,0.439224509641231,0.758091035955161,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",3,0.41868996078516,0.461860576011154,0.291687418237263,0.238668661986995,0.0732384376441533,0.0755766361729011,0.615180486791515,1,0.0822510822510823,0.0822510822510823,NA,0,0,0,1,0,1,0.517502230760601,0.517502230760601,NA,0,0,0,1,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",1,1.14408602150538,1.14408602150538,NA,0,0,0,1,9,1.7874876056217,0.717994096086954,2.59485843754151,2.24948727169629,-0.762195469482182,-0.702555127340979,1.29416331082795,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",49,1.10939252081875,0.676292077338462,1.05517317333611,1.46767466110532,-0.132695113688369,-0.120686017430747,0.802678753903123,18,0.924547670800113,0.505523239006372,0.861196891111839,1.8836029482148,-0.084630897635701,-0.129376137404162,1,1,4,1.7950844734847,1.70534952722881,1.33787866788675,1.55301144848183,-0.415026129937424,-0.180143165939045,0.499713239403814,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",7,0.610370841424542,0.551112222920652,0.530120927133832,0.586015525458332,0.176857206523408,0.157998048891432,0.103002640181103,5,2.44960500012826,2.35454259951709,1.79004579467656,1.96551724137931,0.896075913235723,0.727861832261682,0.168244384494936,1,1,0.10946263010316,0.10946263010316,Inf,0,0,0,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",8,0.516796337551839,0.531379760485768,0.13661129431667,0,0.0681043165310119,0.177247901170096,0.145506765749264,18,1.73852824720363,0.599589363190681,2.15230024749588,3.1936186151037,0.129128797529437,0.818341521399024,0.555390861909555,17,16,1.67575247345821,1.81481372817601,0.442054641572513,0.186370667807656,-0.172186782954625,-0.231745055232095,2.61809020030258,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",6,1.98092288231447,0.844667530224525,2.60102989840741,3.03503777453965,-0.0770917789360595,-0.0770917789360595,1.26666666666667,2,-0.139391875336165,-0.139391875336165,1.3732791213777,1.94210995837615,-0.209957833337962,-0.209957833337962,0.822222222222222,1,3,3.10464641659004,2.74509803921568,2.79318373727108,5.55154721258902,0.164189863991115,0.164189863991115,1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
