"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",9,32488.8849757436,26639.9175270205,14862.9000562666,15481.3960775443,7338.20441351765,14704.0411288748,0.715231516328197,1,11859.496777292,11859.496777292,NA,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",9,6672.00156788176,4161.79382856065,5680.05638362789,7140.85293926653,-83.439709187037,-725.297251225261,4.28571428571429,3,9992.21620644877,5049.84361865365,11585.5262004082,21531.7562909209,65.3890007030792,65.3890007030794,0.769230769230769,12,5,3402.81273248505,3365.20094811995,294.533024391979,0,-71.3381944225174,-171.703991501724,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",5,24753.4121015627,27022.2028218731,20319.4279399443,10552.6052145007,-9394.94775734164,-10071.0585075129,0.570131892046853,NA,NA,NA,NA,NA,NA,NA,NA,1,1,131907.565181259,131907.565181259,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",3,196247.180772595,120995.379792324,236965.911567186,397939.677716244,138430.531544867,62602.0846268353,4.57187768670094,NA,NA,NA,NA,NA,NA,NA,NA,2,2,87126.2395720799,87126.2395720799,4673.7979970111,6609.74851516531,3356.22009342849,2703.98802893126,3.79513119659565,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",4,79774.796980073,80266.8152018784,8287.20932887508,11888.7262131597,-410.712543478372,2243.48630503652,0.532214641731018,1,44939.3850857437,44939.3850857437,NA,0,0,0,1,2,10,31213.8029650822,31418.8424466517,18510.008945305,16665.0219692966,-2722.93309372364,-2414.43059596144,3.11341619668578,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",26,30826.9219504452,6901.2397857834,37142.8937035068,66368.4731792451,18642.3243425737,14885.0544809331,2.39041097547063,15,67041.3682230077,94735.6556399966,47368.7879860143,80001.0865030653,-17196.0786755364,-1083.3216130743,0.290565456036416,8,27,17973.70922832,12373.1538688878,25977.7651353801,14758.0647886752,28191.0320770496,6171.51703297823,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",3,17071.4732217302,8387.27562641183,22002.5894964813,41699.5344304981,-5703.07782970349,-5765.6463383243,1.18516746411483,1,10887.0647345823,10887.0647345823,NA,0,0,0,1,2,1,10309.6119160406,10309.6119160406,NA,0,0,0,1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Guatemala","Guatemala2010",1,867.890122864141,867.890122864141,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,60949.1665012995,60949.1665012995,NA,0,0,0,1,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",4,14970.5949622311,12702.4620930136,19450.501076983,29646.1472374672,14372.5807195353,15499.4993686957,4.39852027581988,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1587.71321665405,1587.71321665405,NA,0,0,0,1,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",56,15328.0013604622,15988.0398654017,9597.5800216167,10043.7686333933,-330.619541350332,-2015.55849536765,0.481029458559963,36,21055.3742053226,13417.222836577,16913.5897025822,20133.0872379132,2262.33151821735,4064.16645349431,0.842524893754136,11,72,16348.4680715592,11380.3326909496,13198.1729893322,17586.8438519418,-344.216291467793,-1198.20706419238,0.557937277986425,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",4,52105.7450395402,49568.9763821453,32658.6453959662,62954.5337646427,424.217780692611,1077.05346922642,0.834535524148788,1,47405.5224131345,47405.5224131345,NA,0,0,0,NA,0,1,11377.3253791523,11377.3253791523,NA,0,0,0,1,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Kenya","Kenya2013",5,19301.233584567,18723.5038206745,9217.25742292276,14194.494401534,-5518.98520213698,-4584.5636547602,0.579080341354818,NA,NA,NA,NA,NA,NA,NA,NA,1,1,14060.2421023427,14060.2421023427,NA,0,0,0,1,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Latvia","Latvia2013",1,12196.1938980189,12196.1938980189,NA,0,0,0,1,4,31693.9982421546,25219.7113614229,30806.1666453297,63725.1131171487,-1954.38009396338,-1604.40840686401,1.52489036108518,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Latvia","High income"
"Lebanon","Lebanon2013",6,63091.7254940531,56629.351246116,31230.5041067573,51412.5029058359,-505.338502438309,-249.002317964181,12.7418254822765,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",3,79718.7455889936,80786.2057517028,32628.0525927681,39217.1421697266,-9320.30112147449,1294.48306770931,0.478572917325561,1,9250.02636257513,9250.02636257513,NA,0,0,0,1,0,2,112010.862742013,112010.862742013,164702.474616142,232924.473358559,120124.921286624,111575.709266163,21.9933852394886,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",1,6678.53145643795,6678.53145643795,NA,-9.09494701772928e-13,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5,22336.6689627953,16925.4537724254,14867.7222693728,27307.7730663241,6606.22617604159,6658.74321508554,2.62931837497988,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nigeria","Nigeria2014",1,2.97773429142247,2.97773429142247,Inf,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2266.67822711534,1542.71032522663,2437.16269673424,3275.50772056472,1910.44179030734,2706.72154627177,1.57896773255871,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",9,9624.71152188564,6759.77997807337,8756.67854444478,8907.8955943159,9823.09114655414,8841.97808313369,1.09399064240861,NA,NA,NA,NA,NA,NA,NA,NA,13,1,20360.9042155792,20360.9042155792,NA,0,0,0,1,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",4,79301.1907379781,79523.0389122649,21455.6298523188,24317.4898178897,-1960.31416740097,1549.28976782073,6.41821205597772,1,451600.941942161,451600.941942161,Inf,0,0,0,1,2,2,52921.0248605759,52921.0248605759,963.922093580793,1363.19169781302,-486.553315559851,-674.458719598591,0.642021755208716,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",6,22378.0322208447,4782.34626374866,59606.3966078745,11382.120709257,8899.09893758196,17341.1845030712,1.01108350235115,1,1097.7605088235,1097.7605088235,NA,0,0,0,1,2,1,181777.727198014,181777.727198014,NA,0,0,0,1,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",4,60795.1507881556,62922.5756498868,75057.2947722503,124158.705575588,-25599.6470589861,-16899.751385059,0.816010293472404,2,119369.980109195,119369.980109195,81903.3891390353,115828.883724745,22296.8493648383,21511.0784060241,1.46359644891125,3,8,38281.9975270729,30602.2644734878,33447.4952160474,9852.14432265431,3863.94288776462,7465.47631092611,1.06368109476602,"2012","Europe and Central Asia","Russian Federation","High income"
"Serbia","Serbia2013",2,114609.672672583,114609.672672583,90529.794741954,128028.463522924,-21338.0772538207,-21338.0772538207,0.75,NA,NA,NA,NA,NA,NA,NA,NA,0,3,86539.1195036951,75563.9867194857,40724.557298372,63231.5115936761,5242.22851094206,-4859.62636113739,1.37139346624693,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Sweden","Sweden2014",7,757857.446771061,603142.290131546,526083.074708556,1071719.89056803,-54214.0821812232,-31895.0981621471,0.296328180483187,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Europe and Central Asia","Sweden","High income"
"Tunisia","Tunisia2013",4,174982.393500456,164503.611386682,129016.95347753,179981.491799622,-102899.111002462,-35002.0131587123,0.511337441888048,NA,NA,NA,NA,NA,NA,NA,NA,0,1,784641.286345179,784641.286345179,NA,0,0,0,1,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",3,96724.6488567635,85154.2719249785,97922.0350432568,89301.4014225948,17344.8840868173,-8669.42450518703,3.0573305639835,NA,NA,NA,NA,NA,NA,NA,NA,3,3,38965.5526436819,30850.169219074,26062.7308657866,40451.2207809069,9621.78473521574,8989.16017353486,3.65785809063204,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uganda","Uganda2013",1,4661.84684530457,4661.84684530457,NA,0,0,0,1,1,4455.6482363403,4455.6482363403,NA,0,0,0,1,0,3,68902.0254311205,76566.4917654693,34315.0549007041,71545.5072099485,2028.22606799082,2063.54637519983,0.999887692446409,"2013","Sub-Saharan Africa","Uganda","Low income"
"Uruguay","Uruguay2010",4,91907.2132258712,92029.7525289254,34434.0166231811,33837.1556003615,5298.51833738077,11029.3062063244,0.787905899868751,NA,NA,NA,NA,NA,NA,NA,NA,3,1,94223.6299393546,94223.6299393546,NA,0,0,0,1,"2010","Latin America and Caribbean","Uruguay","High income"
"Vietnam","Vietnam2009",9,36283.7296677606,36818.945202419,19364.8232929932,38186.2186856299,-5419.96679116657,-3555.3592455135,0.503651887617208,1,29650.6190372736,29650.6190372736,NA,0,0,0,1,5,10,26151.2207981814,26354.9096409317,10355.1368841247,8728.19223725501,2051.99261817653,2619.84520435543,0.294239554740985,"2009","East Asia and Pacific","Vietnam","Lower middle income"
