"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",6,38404.7933273833,35989.6840127204,35200.9521830119,64920.1943824072,7503.24818412837,7625.77935313558,0.633176597981031,6,38404.7933273833,35989.6840127204,35200.9521830119,64920.1943824072,7503.24818412837,7625.77935313558,0.633176597981031,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",7,184082.834167384,116912.885766722,165780.886306119,286752.14561614,146871.507399467,115475.415253065,9.13733226678712,7,184082.834167384,116912.885766722,165780.886306119,286752.14561614,146871.507399467,115475.415253065,9.13733226678712,-11,7,184082.834167384,116912.885766722,165780.886306119,286752.14561614,146871.507399467,115475.415253065,9.13733226678712,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",39,14887.710530601,11536.937208548,16946.4628316468,10136.4133727156,6581.85232365413,4005.63304811854,1.34189798777003,39,14887.710530601,11536.937208548,16946.4628316468,10136.4133727156,6581.85232365413,4005.63304811854,1.34189798777003,-77,39,14887.710530601,11536.937208548,16946.4628316468,10136.4133727156,6581.85232365413,4005.63304811854,1.34189798777003,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",3,104493.355628495,104639.311308117,72173.1432202606,0,-2335.04159473386,-19906.9857628325,1,3,104493.355628495,104639.311308117,72173.1432202606,0,-2335.04159473386,-19906.9857628325,1,8,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",9,63492.5386491064,49539.18401863,70595.1717352833,63429.2175307106,7421.09503729969,10875.2289511521,1.40042386417325,9,63492.5386491064,49539.18401863,70595.1717352833,63429.2175307106,7421.09503729969,10875.2289511521,1.40042386417325,-17,9,63492.5386491064,49539.18401863,70595.1717352833,63429.2175307106,7421.09503729969,10875.2289511521,1.40042386417325,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",10,54862.9202662594,49945.6843082234,29434.0370762722,0,9146.95882209161,9509.5499205488,1.07452863090243,10,54862.9202662594,49945.6843082234,29434.0370762722,0,9146.95882209161,9509.5499205488,1.07452863090243,-10,10,54862.9202662594,49945.6843082234,29434.0370762722,0,9146.95882209161,9509.5499205488,1.07452863090243,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",76,57974.3303289604,47019.2996176566,39105.5941578417,42505.1683935993,-7139.82779806467,-2970.09582457793,0.800330421354832,76,57974.3303289604,47019.2996176566,39105.5941578417,42505.1683935993,-7139.82779806467,-2970.09582457793,0.800330421354832,-147,76,57974.3303289604,47019.2996176566,39105.5941578417,42505.1683935993,-7139.82779806467,-2970.09582457793,0.800330421354832,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",14,56064.1267325963,27012.5796497401,89966.8197452453,14494.1949538238,94280.9135691055,79711.3701151412,1.13023355188497,14,56064.1267325963,27012.5796497401,89966.8197452453,14494.1949538238,94280.9135691055,79711.3701151412,1.13023355188497,-27,14,56064.1267325963,27012.5796497401,89966.8197452453,14494.1949538238,94280.9135691055,79711.3701151412,1.13023355188497,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,6,25150.0973752697,22619.763047292,10813.3519782777,12361.2198343041,9571.37862454375,8847.51368563394,4.38621672334209,-5,6,25150.0973752697,22619.763047292,10813.3519782777,12361.2198343041,9571.37862454375,8847.51368563394,4.38621672334209,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",5,10866.5337927145,11431.8291948249,10233.5721230589,11146.4012395956,4819.05088507279,5599.66866287508,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-5,5,10866.5337927145,11431.8291948249,10233.5721230589,11146.4012395956,4819.05088507279,5599.66866287508,3.33333333333333,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
