"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,17,2.52849596402347,2.46631960791668,0.604903020463876,1.23765087446154,0.582672760739256,0.554145354587317,1.10757818803649,22,2.05753494618208,1.98051347345098,0.245681305547475,0.273323366824956,-0.004325478050979,0.00865494327529544,1.0349523050992,2,1.75281960972161,1.75281960972161,0.164766868005173,0.233015539362653,0.0924503391561622,0.0809630263887183,2.65792888094412,"2013","South Asia","Bangladesh","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,4,5.00597396854562,5.00886441821538,0.674430392870817,0.970488413148999,0.0863136057391711,-0.00222947707742106,1.47325035989302,NA,NA,NA,NA,NA,NA,NA,NA,13,5.87679654188759,5.59349859498509,2.01636660636116,1.85108839681721,0.875873182387651,1.01747501432705,11.8164509240262,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,4,77,2.41375287094594,2.40317206736078,0.364826997685806,0.498136037012147,0.219077504249327,0.229383748949992,3.1406540216422,14,2.61820248708511,2.46513528469962,0.731111354469028,0.907189181974584,0.27891942793854,0.302721749335586,1.21266936098722,27,2.37414935968344,2.30263541476807,0.542964672705605,0.556622999167391,0.0789407401632936,-0.0580861884184872,2.81043151065795,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2.38911377896211,2.24626077038578,0.750468050410984,0.938857118052432,1.09213217443759,1.285446069888,1.42899412411856,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,2,41,2.58967364269013,2.45859339777389,0.883561175794641,0.831524182859098,-0.152984148019239,-0.00751293922735053,2.37650841986271,48,2.19240879600345,2.15465078466834,0.599770817294266,0.74693998869029,0.64762224090322,0.860798415314834,1.53465011732808,71,2.39387204461722,2.08906776694553,0.828027838056434,0.922975526616499,-0.0418165373537794,-0.0795194507531334,2.02441828173031,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,1,83,2.67377015092762,2.60697173463501,0.559971418991799,0.990619882939207,0.0845903170319771,-0.0600035777689389,1.2706416203059,46,2.41086693853423,2.27473062371214,0.364224331940876,0.267520513806723,0.065149910567903,0.18836861032035,0.964044251587065,82,2.44735473020539,2.31264971637989,0.570403314277528,0.613178160635924,0.151939210425609,0.433570297678592,1.46884014000188,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,3,42,2.3909438515007,2.22258845343608,0.474186765048338,0.553542795556321,0.104178057122336,0.119753426770046,0.906391140451671,2,2.81255158606383,2.81255158606383,0.490356477754882,0.693468781238455,0.0219473482048686,0.026671876201479,1.11586782884686,48,2.29430595330211,2.20671823864826,0.415651114197946,0.579626457179273,0.050107931803269,0.390482136827772,0.804903670149934,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,4,87,3.23760453219395,3.13861486814437,0.68921057517884,1.12865830192908,-0.00850548941130284,0.0168509398942645,1.43676445506281,26,2.48402506742539,2.4221812072548,0.465629085662935,0.293141947710101,-0.0172281682223196,-0.0219073499205074,0.992528592836579,20,2.72963573325424,2.92359521811572,0.688572102737106,1.06922359979871,0.134374330176036,0.114882959238026,1.42690755665213,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,7,28,3.17995472146937,3.05256079558455,1.54250010267486,2.31670580829957,-0.451054239908491,-0.595287905489186,1.12016289423559,7,2.39133227579166,2.5838539387731,0.560971545258405,0.749782463709799,-0.0219050577090444,-0.000992661892972032,0.649099508813632,13,1.83885105903372,1.75302760052391,0.273023717093213,0.124015602477336,0.292291665152726,0.205539197939341,1.06792834974463,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Philippines","Philippines2009",NA,NA,NA,NA,NA,NA,NA,NA,1,20,2.88090167038105,2.64350698674569,1.15681601649806,2.22243023053261,0.0873711908897139,-0.167288658550072,4.44444444444444,NA,NA,NA,NA,NA,NA,NA,NA,37,2.34573935115675,2.29893479974953,0.557986632726142,0.59337133145013,0.123007758433822,0.0901935234478262,1.58600229304348,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,0,12,3.43783321654896,3.29873774719781,0.418464689815312,0.492027761222106,0.294445938374131,0.155204863894142,1.00387537093827,5,3.49990825909107,3.46201027023432,0.474640115352492,0.822227640632095,0.00612633404972241,0.0194572628981927,1.25,3,3.83421089767938,3.75103732332967,0.267318524963814,0.463435021908037,0.0198724485327894,0.0110561653484694,1.67373428853904,"2012","Europe and Central Asia","Russian Federation","High income"
