"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Non-exporter","mean_Non-exporter","median_Non-exporter","sd_Non-exporter","iqr_Non-exporter","OPcov_Non-exporter","OPcovNoWeights_Non-exporter","indAlloc_Non-exporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,28,155,0.108737673826572,-0.0448275754631725,1.39191072644231,1.45502088897134,0.152048927799522,-0.160310928833227,2.25217475709135,183,0.450965483281583,0.460293818507916,0.671225809261951,0.726957790870292,0.014694401167874,-0.439456087847612,2.78616864075255,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",NA,NA,NA,NA,NA,NA,NA,NA,0,11,0.596484142815461,0.47233202275103,0.45806378651345,0.895198837011881,0.0238280576912137,0.0470145526319111,0.411764705882353,5,0.86616344445968,0.584346572760197,0.896782567981382,0.700088377794881,-0.0305180828854277,-0.0238442356008831,0.4,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,733,-3.25708602240487,-2.96037219051611,1.99249290182265,2.55301983354608,-0.1098744201087,0.303566423767107,1.2378136122516,294,-1.65774699753441,-1.58162747368619,1.46458004020081,1.58666519396767,0.395455576114506,-0.00220517209296589,0.909278736227279,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,0,18,1.28775807925987,1.34351661136077,0.459694482789692,0.4294606208692,0.0122063281511635,0.0137861557539997,0.733420396268789,7,1.67881133017907,1.74398375153122,0.253033507665288,0.354153501776546,0.0522846899157519,0.0698551623164925,1.48303871824305,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,0,13,-1.25017884984483,-1.37061170264924,0.807580165020238,1.00739255969858,0.0178951070124656,-0.0030356298241207,0.863352716555499,2,-0.70475827759064,-0.70475827759064,0.166300714341782,0.235184725654483,0.0160869801732984,0.0167989089753202,1.19142126946603,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,2,5,4.15031556184051,4.16982179890952,0.875579458197761,0,-0.0534511408847443,0.0678782134906973,1,9,2.56420569450968,2.50074365140286,0.656834508011589,0.59632386267527,0.0967888160012851,0.0483177733825855,3.01673027871529,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,8,734,1.27177284008569,1.28609627280622,1.51357942918956,1.52865579258794,-0.0076646274007257,0.804321167784145,0.977993433757902,252,1.35215303086415,1.35150917021568,1.87061931887045,1.92771916416129,0.516681323565861,0.57290719971283,1.2504012361459,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,3,365,-2.70496967306836,-3.83621902455661,3.19699628349704,3.72827968900973,0.652224564038375,0.0247989640980411,0.867896309687349,181,-2.52186191749164,-3.70043292246864,3.40721843564887,2.86231802267841,-1.06792844423445,-0.959747459852899,0.288768924973896,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",11,0.069940664733737,0.972660621230367,1.36145099876225,1.86050267571158,-0.396109762350449,-0.61810572951504,0.744522561615305,0,745,-0.643085134362669,-0.60025620215214,1.88956820223514,2.54668412438145,-0.172385515419936,-0.644003405825023,1.6,351,-0.883383214434235,-0.816383669089742,1.8907698776694,3.34950237423674,0.817627889825118,0.533915566423898,1.98339308269798,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,15,263,-5.54662791580948,-5.41603264431859,1.44186728885431,2.43871058532069,0.528117807333605,0.352408939766311,2.4,194,-4.22021934618539,-3.97655933960934,1.30897270975139,0.856705607139878,0.179671623385514,0.932651463949568,9.21733201565015,"2010","Latin America and Caribbean","Colombia","Upper middle income"
