"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",1,335.670355112533,335.670355112533,NA,0,0,0,1,8,9232.93492841808,9891.13150199464,7997.39856869301,7468.26259682772,1633.96204404099,2605.41048796136,0.974709438413103,3,21302.3047512331,7341.10457429012,30489.0809292929,53845.2289087963,25269.4911237024,25735.7303780796,1.91298245614035,27,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",8,12793.0239678725,6608.6495887176,19623.782118331,5660.03585082205,-5022.80840621749,-9898.90738340562,1,5,6413.73573160664,4007.06278306181,6668.08202736674,5717.59553744058,-1692.8284346745,-1661.38944738352,0.833333333333333,10,17950.9106782919,11680.0703841647,15204.9677157217,14389.9216546323,16687.6595469008,16753.3184669358,0.781830575346971,5,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",12,61087.4243206433,15605.0661836915,82385.5155881915,175301.932929005,-24941.4198992773,-23727.1681706199,0.171155102894235,1,472.71986200782,472.71986200782,NA,0,0,0,1,12,2884742.3775632,52453.7568624735,5577645.28008873,2168712.66826201,-1116903.79230492,-1271125.51886845,0.136831518871859,5,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",3,19047.619047619,20105.8201058201,3815.39817509417,7407.40740740741,-865.800865800866,-865.800865800866,0.7,NA,NA,NA,NA,NA,NA,NA,NA,6,37358.4990071168,38717.7094282181,11832.129268125,13888.8888888889,2951.56132208703,3165.29492455418,0.727170872749185,1,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",36,142869.532035347,74810.8137077014,118359.19413792,101396.130455202,-3497.70385924476,3994.33966075964,1.06074346831861,1,99012.4962853695,99012.4962853695,NA,0,0,0,1,106,77637.591025565,50160.6225383783,75517.4063545589,89844.6725552425,103760.314795308,45528.4039316776,1,31,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",5,9713.71220130599,9287.81677987208,3937.94755942697,6341.27025523366,1342.28047871117,1288.74523408093,1.43884056111692,3,18901.6770835821,9664.98120090154,26889.10927022,45505.2019415942,14485.2178032378,10050.2961701128,NA,4,28387.4341774947,31635.6003456477,13764.5161202518,8328.37410245159,2884.65189120655,2716.59309290532,0.982533975651592,11,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",16,11515.0254349401,9280.10074896594,6513.32573141755,6828.86511681736,2314.98344780685,2134.37470025554,1.67823856810464,5,22513.8672441499,18349.6782689407,17416.6113123034,33093.7309507303,-535.758082041316,-1444.26572585562,3.05681839242715,8,11909.8860713381,11131.7558950789,6678.98890453103,11314.1936541547,1944.85587747798,1784.26592955598,1.9396418462286,16,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",4,27833.3333333333,28650,2839.45417290014,4500,806.538049303323,843.283582089552,1.15625,3,38928.0530789965,37735.8490566038,11675.7448096499,21428.5714285714,-225.124208703589,-363.295441228174,1.22857142857143,10,71552.5229732548,45707.1910714286,57703.4341514775,46000,43021.9120878983,39856.9283482578,2.55,3,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",52,8874.60264986335,4506.75350031759,10197.7566596881,7632.47792647937,3466.9732622007,1638.99180402315,0.717718919094677,12,5740.5064816864,4983.09095246957,3521.20264139122,1703.4805806925,-810.006203837266,-1163.59018446375,NA,78,13082.8894009943,5520.93940537862,17485.0440585026,11933.025154023,6074.12010407814,2842.53005663893,0.738700501756855,24,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",6,38792.3969520133,38457.8727195429,9011.36701537324,20833.3333333333,1540.55231629389,1591.96730272312,0.899443327322891,3,39516.2188848838,48076.9230769231,20032.3364652873,32545.4545454545,6656.58189553913,5665.08981214864,1.7743069146082,9,104629.978256113,65961.5383545558,94283.8596914132,80921.0526315789,12123.1165982022,10252.6596300351,1.10688729150526,1,"2010","Latin America and Caribbean","Barbados","High income"
