"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",6,115650.228801103,8784.21563019253,216174.423696683,70369.5384444177,134753.516738231,126298.037169866,2.04819626987224,6,115650.228801103,8784.21563019253,216174.423696683,70369.5384444177,134753.516738231,126298.037169866,2.04819626987224,6,115650.228801103,8784.21563019253,216174.423696683,70369.5384444177,134753.516738231,126298.037169866,2.04819626987224,-10,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",18,67943.0889759823,54103.8251021594,59820.0988696038,59896.4483701618,5602.61704023895,17796.4538511171,0.523161376593424,18,67943.0889759823,54103.8251021594,59820.0988696038,59896.4483701618,5602.61704023895,17796.4538511171,0.523161376593424,18,67943.0889759823,54103.8251021594,59820.0988696038,59896.4483701618,5602.61704023895,17796.4538511171,0.523161376593424,-34,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",NA,NA,NA,NA,NA,NA,NA,NA,15,16856.3768149077,18583.0027694193,8595.1408191908,18560.1413153607,1075.6586115163,787.672899901715,0.409650357319101,15,16856.3768149077,18583.0027694193,8595.1408191908,18560.1413153607,1075.6586115163,787.672899901715,0.409650357319101,-13,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",4,20358.7982047791,10670.3767800676,19220.1077556845,36975.0944572974,-1268.03243428592,-18.5711172563018,3.13809524404254,4,20358.7982047791,10670.3767800676,19220.1077556845,36975.0944572974,-1268.03243428592,-18.5711172563018,3.13809524404254,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",51,4027.53453287969,2448.73623204301,4021.90984245957,2765.39055307224,-451.247005104819,140.444765680773,0.950287134695661,51,4027.53453287969,2448.73623204301,4021.90984245957,2765.39055307224,-451.247005104819,140.444765680773,0.950287134695661,51,4027.53453287969,2448.73623204301,4021.90984245957,2765.39055307224,-451.247005104819,140.444765680773,0.950287134695661,-96,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",NA,NA,NA,NA,NA,NA,NA,NA,7,68895.3707160613,62753.1657053463,36971.8900419178,66969.696969697,19615.9800465899,29043.5845474436,1.99322251739072,7,68895.3707160613,62753.1657053463,36971.8900419178,66969.696969697,19615.9800465899,29043.5845474436,1.99322251739072,-7,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",5,20755.3724480121,21914.0971330522,7653.65192427457,15411.1675015868,2158.92299879192,3532.25115310489,1.18269679184279,5,20755.3724480121,21914.0971330522,7653.65192427457,15411.1675015868,2158.92299879192,3532.25115310489,1.18269679184279,5,20755.3724480121,21914.0971330522,7653.65192427457,15411.1675015868,2158.92299879192,3532.25115310489,1.18269679184279,-5,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",7,38768.4258312035,36000,19170.4561562866,35416.6666666667,363.760669508634,174.603174603175,1,7,38768.4258312035,36000,19170.4561562866,35416.6666666667,363.760669508634,174.603174603175,1,NA,NA,NA,NA,NA,NA,NA,NA,-7,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",15,4035.87055555693,2532.45061883266,3939.47655566004,4503.1458699207,2819.02730430513,5481.56017667041,1.03877672648551,15,4035.87055555693,2532.45061883266,3939.47655566004,4503.1458699207,2819.02730430513,5481.56017667041,1.03877672648551,15,4035.87055555693,2532.45061883266,3939.47655566004,4503.1458699207,2819.02730430513,5481.56017667041,1.03877672648551,-29,"2015","South Asia","Bhutan","Lower middle income"
"Bolivia","Bolivia2010",8,22738.5835316496,24209.4200255799,10368.538210946,2767.19026719026,821.622173645958,314.566966424131,1.89180688121352,NA,NA,NA,NA,NA,NA,NA,NA,8,22738.5835316496,24209.4200255799,10368.538210946,2767.19026719026,821.622173645958,314.566966424131,1.89180688121352,1,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
