"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",5,0.0135182752765837,0.00784529940820087,0.0165653180651366,0.0206253908692933,-0.00680881116047739,-0.00695420851311621,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",6,0.182709075448664,0.171149583306087,0.106920597203931,0.132205076100801,-0.0794908836050564,-0.139653818472114,6.71673619750465,1,1,0.123529411764706,0.123529411764706,Inf,0,0,0,1,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",38,0.114837681728757,0.0681338487552778,0.111126443643111,0.131111111111111,-0.0475638129535775,-0.0454650707023421,0.499840014870905,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",1,0.15,0.15,NA,0,0,0,1,9,1,0.181818181818182,0.181818181818182,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",7,0.139933139611452,0.150573211468718,0.111243035235302,0.221947194719472,-0.0190664318169687,-0.0188787239402366,2.84548698828569,0,1,0.0808988764044944,0.0808988764044944,NA,0,0,0,1,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",7,0.382400201869141,0.400691991431247,0.0876301415711242,-5.55111512312578e-17,-0.0209226126386252,-0.0345017028951025,1.08129072243232,2,6,0.0499928314615168,0.057327868852459,0.028660595680198,0.0500674093638527,0.00652844504222607,0.00764384183830376,0.86573063047018,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",75,0.116510946891401,0.106536936899887,0.0633292184022286,0.075,0.0115373905481865,-0.0258947859188184,0.394030710851248,1,5,0.18015443663591,0.174889145070054,0.116596392799747,0.225705794947994,-0.0252532076654338,-0.0122876524908662,2.71207246634727,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",13,0.249187969735661,0.167703263832591,0.143106983505653,0.132653268962778,-0.103030205069118,-0.11891535257846,0.707452542270346,0,1,0.0081203291750269,0.0081203291750269,NA,0,0,0,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",5,0.458527222077517,0.426516386803745,0.315731995989589,0.250833333333333,-0.239439361411268,-0.237948284421889,0.96404766250918,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Egypt","Egypt2013",69,0.192924275394706,0.160812244923477,0.15859492738553,0.186913580246914,-0.0178215929762966,-0.0647705642218043,2.43168519607189,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",10,0.138122005675651,0.1125,0.0880551171188363,0.169953051643192,-0.0322113481937858,-0.0322113481937858,2.36363636363636,2,8,0.0428336638806197,0.0506666666666667,0.02610796173226,0.0432595946373474,-0.000638943821847911,-0.000638943821847911,2.91666666666667,"2011","Sub-Saharan Africa","Ethiopia","Low income"
