"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,0.395685248793878,0.395685248793878,0.190007771677469,0.268711567662568,-0.0563963695359165,-0.0581855756749654,1.39464805718839,1,0.192715778571429,0.192715778571429,NA,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",3,0.101331194918093,0.139906299078888,0.087237648251818,0.156790697674419,-0.013424975878832,-0.0135162612492203,1.04620934847051,2,0.0194243334311051,0.0194243334311051,0.021920310216783,0.031,0.00376794238866222,0.003875,0.734507528143292,1,15,0.330231829794767,0.353780529679094,0.201917499145143,0.400833333333333,-0.00317377618337562,0.00221032571032571,0.75,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",41,0.234798926950091,0.214751487310563,0.140445082691215,0.222556390977444,-0.00988385078277213,-0.011602270807167,1.13805048334958,1,0.15,0.15,NA,0,0,0,1,43,1,0.315789473684211,0.315789473684211,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",3,0.191311553685945,0.192468927633849,0.107118392513179,0.140413878333742,0.0221481714688716,0.0057027707587526,1.95595388020485,1,0.0532258064516129,0.0532258064516129,NA,0,0,0,1,0,1,0.55878,0.55878,NA,0,0,0,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",51,0.228628252398928,0.28788503009803,0.126400230599509,0.185829307568438,0.0128733137615963,-0.000445360062898847,1.22331527043712,61,0.104409256027959,0.0613338010220369,0.0863881657174109,0.115555555555555,-0.00731233466179296,-0.0142916588624366,1.05754906571783,4,10,0.169439827212936,0.116720939484365,0.104851915666537,0.142028985507246,0.00306954758302584,0.00183641033960632,1.27791593377443,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,0.159377556581791,0.156898267981121,0.123953808233798,0.255626670534677,0.0290001587339555,0.0252462971021317,1,1,0.2,0.2,NA,0,0,0,1,2,1,0.325217391304348,0.325217391304348,NA,0,0,0,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",1,0.0333333333333333,0.0333333333333333,NA,0,0,0,1,4,0.0606948577384432,0.0576539620167409,0.0470422794360366,0.10543853820598,-0.00528308509365412,-0.00459343352075706,1.30834285354614,1,10,0.047667930297632,0.0348465634930948,0.0379650563615706,0.08,0.00307168216584697,-0.0109052613125523,1.00427290975217,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",258,0.13308163211137,0.125778929968226,0.0859432031896446,0.141521739130435,0.00115157772415756,0.00403006943387694,0.921293790904513,159,0.12148843666359,0.12,0.0761753847396217,0.109166666666667,0.00451964562173603,0.0165165392525079,1.59884128050949,3,105,0.105513020637947,0.0893959225175797,0.0694226677619248,0.0807662835249044,-0.00216738935704172,-0.00180910739392571,1.19505956206154,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,5,0.0433601281919492,0.0352058330205835,0.0232145733011892,0.0352380952380952,-0.00246287185965833,-0.00300309065934066,1.24658102484094,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",6,0.137042931196993,0.148999203952983,0.100071920507884,0.162873372567091,-0.0203989092919954,-0.0168755483980959,1.03211706903587,3,0.227428461329514,0.217618093061649,0.077035082072974,0.105714285714286,0.0187487260538803,0.0194422968336012,0.8294888657744,0,3,0.252651456481612,0.175395212546892,0.273659561170188,0.466666666666667,-0.0338460332265416,-0.0287505589090096,1.14100919799805,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Pakistan","Pakistan2013",2,0.005,0.005,7.14734567577831e-19,8.67361737988404e-19,-1.33256857563358e-19,-1.44560289664734e-19,1,2,0.134546535774542,0.134546535774542,0.288249999624869,0.407647058823529,-0.0927452585619385,-0.136864419880962,3.8291804641384,1,1,0.3,0.3,NA,0,0,0,1,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",1,0.14471587353685,0.14471587353685,NA,0,0,0,1,2,0.158333333333333,0.158333333333333,0.0117851130197758,0.0166666666666667,0.00166666666666667,0.00166666666666667,0.833333333333333,1,3,0.277914067688378,0.0724137931034483,0.39680808660767,0.709320478927203,-0.0536955600255428,-0.0536955600255428,1.2,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",5,0.142523570369733,0.152540787962053,0.0573396472086914,0.059873417721519,-0.0118069989622072,-0.00967989252805056,1.16022774058404,2,0.10137350054944,0.10137350054944,0.0391164428490214,0.0553190039888781,-0.00395135742777701,-0.00395135742777701,1.16666666666667,2,3,0.207423656535447,0.177356650785071,0.197290235730275,0.291284426135321,0.0443365750586572,0.0449701685853283,0.834409014718668,"2009","East Asia and Pacific","Philippines","Lower middle income"
