"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",47,7689.29472233766,7211.65107278545,6601.97230138776,10004.7141700741,-1766.04743559405,-779.502142028693,0.312130762743057,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",94,28070.8122638471,15122.4335159129,30738.3133592602,25852.0237518287,-4615.68938392314,-2827.60093801455,0.669875337523159,10,7,17210.4729888605,10659.7882994541,14833.582752048,26221.6350151078,-7140.18067889019,-5811.47451841893,0.577643476412028,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",71,33866.0944257411,4746.42186415704,68457.5156811215,38153.4651766536,-8514.02806834114,-9124.08757621956,0.241255433229873,29,36,129326.00992611,6579.30609989148,220536.67098901,178332.942651627,-78870.6160947401,-75708.5578505888,0.1944837927472,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",29,49368.7709235249,40678.4936641332,34387.4271573586,30687.8306878307,12479.995874712,12945.9245996848,1,3,2,34722.2222222222,34722.2222222222,21606.0405362556,30555.5555555556,6944.44444444445,6944.44444444445,1.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",634,67574.3367260214,48124.2281470377,51667.4431668058,57500.5904353553,27563.3889724356,29928.4056988281,1.76923076923077,83,83,277421.046410449,190259.306587573,246101.197455545,277141.458324031,-94064.8185588183,-26682.8118055417,1.26843209278267,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",77,15747.7750972026,12617.2737085634,11438.1203901242,13685.0108631926,-935.906584917642,298.048175112012,2.0101073206145,33,1,64960.4952533672,64960.4952533672,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",84,14840.4855016392,9805.54991132749,12682.5305283212,13303.0423018605,-974.136568199612,-2118.21348989777,0.90628281579701,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",30,89669.4530306208,51160,83407.2369428377,98888.888888889,20767.2683069589,10558.7966051506,1.6,5,7,746162.911757004,773684.210526315,597280.396647796,953333.333333333,-115529.714108881,-128546.2242232,1.10932475884244,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",1004,7198.18284249491,5162.06236573484,6486.82291400442,6558.85571175721,-66.6714852539122,777.967892128659,1.36363636363636,161,14,8287.18993044673,6535.18282097592,8057.30240331005,12342.0006037585,-2102.9058815574,-1496.17854079074,0.4380695079833,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",59,54671.7696680887,50000,33728.6989044316,36458.3333333333,5086.03052331639,6372.9358579809,1.67316490149324,6,6,89541.3480117184,42176.3780729301,99803.9642019718,124230.769230769,11570.9654334678,11672.7083456767,2.31060605277919,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
