"countryOnly","country","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",5,30291.3803998066,34787.4861125525,14290.9283256323,9611.30993295617,5062.299009282,4831.74874283164,1.10054157776147,5,30291.3803998066,34787.4861125525,14290.9283256323,9611.30993295617,5062.299009282,4831.74874283164,1.10054157776147,-2,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",20,3507.05748646115,1700.85365907113,4020.58533451781,3721.84696569482,3727.16407557888,3769.53897814298,1.15475868791903,20,3507.05748646115,1700.85365907113,4020.58533451781,3721.84696569482,3727.16407557888,3769.53897814298,1.15475868791903,-17,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",28,39885.3620492024,19392.6146014195,46512.3923424055,68833.1362991574,33373.1985065186,9307.16005691134,0.999369732362287,28,39885.3620492024,19392.6146014195,46512.3923424055,68833.1362991574,33373.1985065186,9307.16005691134,0.999369732362287,51,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",89,23067.5909605435,19908.6524483167,15504.4938783374,22969.0190438246,4159.26320199037,-1957.86941506701,1.16542130818904,89,23067.5909605435,19908.6524483167,15504.4938783374,22969.0190438246,4159.26320199037,-1957.86941506701,1.16542130818904,-51,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,1,12705.1906095043,12705.1906095043,NA,1.81898940354586e-12,0,0,NA,7,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",8,15944.0067772174,19252.2540134755,10312.1145230783,16053.3204749152,-738.002854415483,-2847.22765589496,14.9663492679596,8,15944.0067772174,19252.2540134755,10312.1145230783,16053.3204749152,-738.002854415483,-2847.22765589496,14.9663492679596,4,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",401,10870.850778043,7905.29700984177,9857.24794466376,9616.80597903909,144.895909082752,561.891156123255,1.16666666666667,401,10870.850778043,7905.29700984177,9857.24794466376,9616.80597903909,144.895909082752,561.891156123255,1.16666666666667,-252,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",5,30638.8751809745,24910.442484732,22157.6965471397,31827.0070167016,5364.5503269699,3876.66477761852,1.10917725062379,5,30638.8751809745,24910.442484732,22157.6965471397,31827.0070167016,5364.5503269699,3876.66477761852,1.10917725062379,-4,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,12,11656.2641153808,11544.3274864454,7837.98603070199,10109.8892522946,3904.50753638976,5007.30839765231,1.74349614243015,3,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",5,18173.8104952451,12881.8004945823,12565.2413233452,24196.2914486373,2929.07740203536,5618.96492787881,1.43456947417437,5,18173.8104952451,12881.8004945823,12565.2413233452,24196.2914486373,2929.07740203536,5618.96492787881,1.43456947417437,-3,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",8,10910.8482528596,8184.40195987612,23991.9781756659,33174.1483289465,5497.88965120398,3628.10315060564,1.10742185209584,8,10910.8482528596,8184.40195987612,23991.9781756659,33174.1483289465,5497.88965120398,3628.10315060564,1.10742185209584,-4,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,5,8598.53473756369,7436.48825838,6822.0872748946,13651.2612961307,-2780.71362408166,-2076.24895849571,0.998552264710912,9,"2012","Europe and Central Asia","Russian Federation","High income"
