"countryOnly","country","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",1,196.246316412991,196.246316412991,NA,0,0,0,1,5,1043.74205510094,1108.19653153926,1265.45753230742,1259.71160679232,-227.491034222572,-899.781595740642,0.848582342607346,7,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",NA,NA,NA,NA,NA,NA,NA,NA,5,11074.9550340045,5535.69253397906,13659.7868183775,7674.62488247057,-4543.84440144883,-3634.95897153731,1.02003520791405,0,1,46512.8780755792,46512.8780755792,NA,0,0,0,1,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,6,28777.5708662288,23153.5300966587,22463.0457818169,12306.1808459018,-1009.10291509675,-2525.42509502181,0.961803244720771,12,43,53210.4355209535,46205.8315998391,38469.0143898985,28467.9262467898,2757.18147177131,284.261674236686,1.70672120324875,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",23,5704.44496676247,6968.78419374204,3316.10294800445,4892.22728752597,909.796184894508,-751.861844751709,0.93941410924992,57,5613.09389276849,5504.0889924389,4342.12918944837,5323.37681466405,1437.56729736198,1057.79330645217,1.29948725692217,16,66,6463.60425969219,4228.45720024781,5216.39329055211,5815.92359872792,-1244.32551994892,1269.15973767392,0.297687468332956,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",NA,NA,NA,NA,NA,NA,NA,NA,1,19456.9850220434,19456.9850220434,NA,0,0,0,1,0,4,32534.2713836294,32510.9971042361,20135.5884841141,28293.6990528882,-13398.9383385299,-1297.18762038045,0.411125930852422,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bolivia","Bolivia2010",1,28490.0284900285,28490.0284900285,Inf,0,0,0,1,3,25792.0737990239,23336.5525980567,20005.0127654545,17625.7589805671,-12407.9748270632,-14786.2243443886,0.299264885244884,1,9,17883.4608235876,20140.5591272208,12200.5808956602,9458.68945868946,6912.31696012254,3220.73926996394,7.88172517451405,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",2,24412.0311501189,24412.0311501189,35882.9020463711,50746.0867312833,16303.4165600329,15772.4323624259,2.54831489659211,6,12185.8177980949,12513.3796650161,7622.61986271512,9089.63555255774,4711.65375977904,4839.73957443613,1.07988028864449,0,3,14507.7627396616,13525.133639644,12114.0156857651,24168.1779266713,-88.5366533622902,-88.5366533622901,5.28571428571429,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,42,26058.5462003702,23824.1094166682,23814.8273372518,24911.6858813748,34357.3351825364,39480.0439783873,0.944444444444444,93,33,1947.26856286545,859.463692958308,6231.97737256684,0,-828.5035167863,-4800.44198875138,2.27463828044788,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,20167.4725865057,20167.4725865057,NA,0,0,0,1,2,24763.1783198868,24763.1783198868,1778.05425617135,2514.54844371273,-1427.67106724724,-1226.70220430363,0.422393169867038,2,5,11986.4064068632,11539.6271028043,5553.79838306381,10481.088189462,-5130.56003842778,-2117.38879224938,0.00790701203987889,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",1,35659.5295615855,35659.5295615855,NA,0,0,0,1,4,15672.6868870139,16378.7721059923,4141.8428248063,1687.73779103584,233.364058071413,622.261055524501,0.828721147751122,11,54,51241.6242837795,38032.4379911885,36348.7558446486,36451.963551843,629.192872788683,180.62615131614,0.839603643213165,"2010","Latin America and Caribbean","Chile","High income"
