"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Local Ownership","mean_Local Ownership","median_Local Ownership","sd_Local Ownership","iqr_Local Ownership","OPcov_Local Ownership","OPcovNoWeights_Local Ownership","indAlloc_Local Ownership","N_Foreign Ownership","mean_Foreign Ownership","median_Foreign Ownership","sd_Foreign Ownership","iqr_Foreign Ownership","OPcov_Foreign Ownership","OPcovNoWeights_Foreign Ownership","indAlloc_Foreign Ownership","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,3,0.893006453544905,0.936533818667815,0.584914123636136,0.580751693785412,0.201797465350451,0.230613907790993,1.83890135173778,27,0.5249338241143,0.309881724074304,0.780082943407089,1.00166272661852,0.040549467396425,-0.0209838336946741,1.21086271533736,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,144,-4.07958257650321,-4.14510699323318,0.629872367792527,0.86497633298927,-0.0976505563226657,0.0426444768514068,0.046957240779361,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,2,43,0.0745725313056821,0.119895154109618,0.862227272833758,0.937134825393153,-0.344465133753807,-0.292319010976894,0.756861130666396,76,0.381398264634285,0.381614716721969,0.941372999547879,1.06867528213679,-0.133785452580596,-0.127357607319022,1.73413605123656,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50,-4.09009839881709,-4.1673276101931,0.927908256371319,1.14208844177488,-0.0222153825567153,-0.0842959749139352,1.77413418891104,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,125,-0.93444063329826,-0.922003635784284,0.597144858788325,0.726369616122922,0.196256309474485,0.274388540679515,0.754097877283484,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,41,-7.22934404055436,-7.17806079173556,0.505344333900781,0.566108497212083,0.160056602999627,0.128487367998684,0.118643232766596,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,3,11,-1.54431918242957,-1.78962109613943,0.973144885214776,1.31312896876711,0.791616696308987,0.645085796809845,1.30472823581775,135,-1.03385066495457,-1.04191026235193,0.771936089997695,0.897131421137368,-0.11969440255565,-0.165565514815666,1.90293446533838,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,34,-1.66488308750292,-1.77872882628687,0.719979840696706,1.06559129607478,-0.283537484746954,-0.254782310262705,1.04903529099824,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,202,-3.0325100604484,-3.17770867218715,0.895954038941672,1.20646761323142,-0.155961404896277,-0.307945453599693,1.93235618531794,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,81,-8.7539691094125,-8.87756017719845,0.496906049061084,0.561998198831589,0.266723823115389,0.471513610211239,0.675535347504059,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,-1.7245535618192,-1.7245535618192,2.72591021672725,3.85501919830706,2.07470761011296,1.84159615907623,19.555063318538,22,-3.15639569205751,-3.03541670403208,0.98967115594069,1.50545719117715,-0.401648031360668,-0.473466285270063,1.0754793413802,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,0,6,-6.50350844946688,-6.69969960685008,1.71167620891285,2.42049876432678,-0.163242215525818,-0.168714994023956,0.844101820781686,19,-6.63839949628165,-6.63518068933278,0.616917681541291,0.759254976827002,-0.0543412626217733,-0.0475551831056362,0.922477385127639,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mauritius","Mauritius2009",NA,NA,NA,NA,NA,NA,NA,NA,1,13,-2.89250131918914,-2.92535392274871,0.963102576467592,1.779435704565,-0.668339614401542,-0.460946767842871,0.0427958014802648,16,-2.18582823893256,-2.10928580239263,0.732569808799285,0.897723825433276,-0.241530005257132,-0.299294975926214,0.788055820603517,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,17,-2.21408357759484,-2.12341507274095,0.254622389714547,0.222094242420322,-0.121222754694889,-0.0488908469483213,1.24867711267247,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,17,-2.33846430639416,-2.49880883261386,0.806355071898785,1.2078920087141,-0.0328510594129973,0.663145890374817,0.605395945376319,"2013","South Asia","Nepal","Low income"
"Pakistan","Pakistan2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,17,-2.61740129805601,-3.09465010862705,1.81333661499935,3.95347796358442,-0.744955403296398,-0.179912332068881,0.132790672937893,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,32,-0.602250356824718,-0.702640646289441,0.890241280471839,1.01052639002702,0.0660917441826533,0.0938970030680869,2.18784594640735,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Tunisia","Tunisia2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15,-0.356563166129555,-0.204527100385055,0.692649510164794,0.842459775853696,-0.0659211445351256,-0.152007860103281,0.615158837344781,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Uruguay","Uruguay2010",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,21,-1.3106604591136,-1.46492370988033,1.07092417523616,1.14823121393598,-0.430674618258071,-0.424422828027701,0.346198247945296,"2010","Latin America and Caribbean","Uruguay","High income"
"Vietnam","Vietnam2009",NA,NA,NA,NA,NA,NA,NA,NA,0,21,-8.58098761979154,-8.59820235548555,1.58324380961502,1.74250640499989,-0.497265137386889,-0.577864761006495,0.352603653450685,41,-9.27202545254572,-9.2669210363631,0.789040150794645,1.0141904013505,-0.047010643635698,0.0355578916581832,1,"2009","East Asia and Pacific","Vietnam","Lower middle income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
