"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,15,2.8189747531235,3.17592469461973,0.942426824799675,1.53451418439376,0.0395206013697685,0.0309571821800625,1.38729962428221,10,2.51577170092131,2.54819053609976,0.621042484496572,1.04087847676468,0.294869365225692,0.316243918867064,0.911565651950071,13,1.94140172575751,1.72673277723192,0.747165313030146,0.640823023225094,-0.0549498046878472,-0.0469574353272977,0.970690584561897,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,66,1.60422402891009,1.48158438073145,0.963889901483342,1.15986053063534,0.0231189438961791,0.0587226501154853,0.98486667084132,52,2.09048624976268,2.39001486468032,0.582847377393444,0.524151092542042,0.138200854952712,0.145291695723138,1.71723287206564,31,1.56121116534996,1.58661615322574,0.480578583893242,0.64888787721963,0.0111008423704769,0.00378650440163951,1.46929144644267,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,3,52,1.50193944668483,1.36837137390263,0.756444112773528,0.709729495808615,0.00767138901137749,0.0205258842142422,0.977960231609821,23,2.08075959238661,2.09955222584706,0.932607682215337,1.16187251798223,0.277622306034008,0.47075486653558,0.673338188145216,50,1.98629211591404,1.97601236322652,0.767983005382213,1.13414538994523,-0.0563952083244192,-0.104683711128917,0.685887218953229,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,26,2.58789331626053,2.47688331385767,0.690732455135407,0.93595103951013,0.032344511256695,0.0761896842141316,1.53061371852421,5,2.9588620037584,2.81831303380698,0.49186310069319,0.776822140031857,-0.128532705499571,-0.117841145717684,0.278383439972942,21,2.73867853958281,2.77332988342973,0.871002477638513,1.49744444168288,0.0114328905058491,0.0185968117012066,0.920142957236953,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,3,54,1.90303558395351,1.91301324734966,0.499146005835972,0.637367618296132,-0.0299772866795879,0.0310892221801132,0.82567804758399,60,2.09576209487119,1.95139561336174,0.665339979097841,0.798049662469914,0.230940894977562,0.160952868997242,0.699233102091408,17,2.19562266620551,2.18623663525432,0.611749233765228,0.521410866160169,0.0855611859235513,0.0206287501476383,2.32423215428926,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,0,15,1.59008917263759,1.52298269047473,0.545531011721594,0.514369318285624,0.0762638986902466,0.0458398066535113,0.333462726902417,12,2.11781743885759,1.9822245511368,0.728234658380046,0.684864218467123,-0.0293166254623621,-0.0219553039459414,1.22543947989013,18,2.00724231314938,1.92522793961931,0.679961648854634,0.886948644469478,-0.0320140222187685,-0.01781706424401,1.01914127292671,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,4,54,1.87952068205711,2.02416450835772,0.526517897400636,0.615302327427605,-0.00249532990731037,0.0697583625190244,1.22117039949782,51,2.07577193982864,2.05715056174453,0.64041953812352,0.913346619249976,-0.06190818995264,0.015350164327217,0.99346008323428,51,1.76126475498987,1.59964878448909,0.78112852320005,0.865495825045457,0.00102020244409606,0.0462611520992623,1.21705771996504,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,0,13,1.78923694273131,1.84514618211545,0.757263373360231,1.16257079630505,0.0236535978024515,0.00617310327268518,0.728998686342554,9,1.59119031003105,1.76456492549803,0.507663776717622,0.73394631615146,-0.0816691344482342,-0.0907462321733991,1.0222093745627,14,1.62457334141002,1.40470950105076,0.785468393218798,0.996349713945994,0.114057770250668,0.124594772494077,2.06974398051791,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,114,2.6570826482407,2.55508027939661,0.888062311679617,1.58168005722008,0.0599520175028003,0.0400042855629045,1.12051920981697,74,2.65230608803854,2.52210478557857,0.640482014850343,0.88566227971517,-0.129834096891597,-0.159288983446511,1.12585708033225,55,2.12377191127892,1.91931253919773,0.771022530945686,1.15582403166367,0.0641168490090097,0.0574923653297865,0.924021949389057,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,3,28,1.88139258903869,1.87258023517289,0.674192465157613,1.08967603466032,0.0520663827219544,-0.00851961360949574,1.1026605962927,18,2.48242088530035,2.66590319190248,0.658702654424291,0.76503126119178,0.236441218124428,0.269870055601601,1.20243114762218,59,1.76932514781289,1.70891220491806,0.707806509475567,0.793614884948298,0.0339820669877284,0.0123675109356632,0.875,"2009","East Asia and Pacific","Indonesia","Lower middle income"
