"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",10,54136.3190733892,57403.7966390896,38639.848808673,41251.1169939384,25840.0858547578,60899.6567820534,0.974763489808449,10,54136.3190733892,57403.7966390896,38639.848808673,41251.1169939384,25840.0858547578,60899.6567820534,0.974763489808449,-7,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",12,66416.8847398619,39818.6378341258,82939.533680244,72010.770002001,37635.589560033,10851.4544280813,33.9650642297694,12,66416.8847398619,39818.6378341258,82939.533680244,72010.770002001,37635.589560033,10851.4544280813,33.9650642297694,-22,12,66416.8847398619,39818.6378341258,82939.533680244,72010.770002001,37635.589560033,10851.4544280813,33.9650642297694,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",15,70129.2267655863,62029.984191779,54182.872458019,10552.6052145007,11991.8768544715,50275.5776444569,1.04027086009721,15,70129.2267655863,62029.984191779,54182.872458019,10552.6052145007,11991.8768544715,50275.5776444569,1.04027086009721,-24,15,70129.2267655863,62029.984191779,54182.872458019,10552.6052145007,11991.8768544715,50275.5776444569,1.04027086009721,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,4,246517.985442226,279093.146677851,130526.538789274,79218.8806473341,-113051.03100198,-45144.6939949728,0.278514858495736,-3,4,246517.985442226,279093.146677851,130526.538789274,79218.8806473341,-113051.03100198,-45144.6939949728,0.278514858495736,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",96,41716.2190151668,40404.6050596847,23168.4970487886,33704.5388143078,-6880.7495128252,-4498.95519097059,1.44200901350205,96,41716.2190151668,40404.6050596847,23168.4970487886,33704.5388143078,-6880.7495128252,-4498.95519097059,1.44200901350205,-184,96,41716.2190151668,40404.6050596847,23168.4970487886,33704.5388143078,-6880.7495128252,-4498.95519097059,1.44200901350205,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",6,95750.6794825262,80997.584419845,87145.6519305523,108268.392503707,39719.1584789883,41665.8621995991,6.5728054426475,6,95750.6794825262,80997.584419845,87145.6519305523,108268.392503707,39719.1584789883,41665.8621995991,6.5728054426475,-11,6,95750.6794825262,80997.584419845,87145.6519305523,108268.392503707,39719.1584789883,41665.8621995991,6.5728054426475,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",NA,NA,NA,NA,NA,NA,NA,NA,5,29853.5571846438,37946.9401403237,21001.9663033786,39338.2222209726,16079.73905305,13358.0677336946,2.29227141173372,-4,5,29853.5571846438,37946.9401403237,21001.9663033786,39338.2222209726,16079.73905305,13358.0677336946,2.29227141173372,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",27,13068.9467423289,15700.0689241225,7691.12939068155,11513.3838776898,-7621.3645366224,-1056.00246966303,0.0172648277272392,27,13068.9467423289,15700.0689241225,7691.12939068155,11513.3838776898,-7621.3645366224,-1056.00246966303,0.0172648277272392,-29,27,13068.9467423289,15700.0689241225,7691.12939068155,11513.3838776898,-7621.3645366224,-1056.00246966303,0.0172648277272392,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",5,13705.8754034701,13236.3919723393,10696.8446117858,22608.1439527548,-4513.01766159207,-4424.05880924225,NA,5,13705.8754034701,13236.3919723393,10696.8446117858,22608.1439527548,-4513.01766159207,-4424.05880924225,NA,-9,5,13705.8754034701,13236.3919723393,10696.8446117858,22608.1439527548,-4513.01766159207,-4424.05880924225,NA,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",496,35442.5515865883,19985.0498317521,41395.2983915192,34721.5007177915,-604.308960096406,2014.91071635649,0.626198142369116,496,35442.5515865883,19985.0498317521,41395.2983915192,34721.5007177915,-604.308960096406,2014.91071635649,0.626198142369116,-937,496,35442.5515865883,19985.0498317521,41395.2983915192,34721.5007177915,-604.308960096406,2014.91071635649,0.626198142369116,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,2,15237.4732981661,15237.4732981661,26893.6865562506,38033.4162700606,0,0,1,3,2,15237.4732981661,15237.4732981661,26893.6865562506,38033.4162700606,0,0,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",5,15516.4142490724,13253.4702245689,10896.1121798971,0,1188.96049859139,658.592324791811,1.09791272820381,5,15516.4142490724,13253.4702245689,10896.1121798971,0,1188.96049859139,658.592324791811,1.09791272820381,-8,5,15516.4142490724,13253.4702245689,10896.1121798971,0,1188.96049859139,658.592324791811,1.09791272820381,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",7,286093.079871551,292191.595444033,157477.292798852,162105.586378165,-32754.4504243468,2748.68504186288,1.94121743847081,7,286093.079871551,292191.595444033,157477.292798852,162105.586378165,-32754.4504243468,2748.68504186288,1.94121743847081,-11,7,286093.079871551,292191.595444033,157477.292798852,162105.586378165,-32754.4504243468,2748.68504186288,1.94121743847081,"2013","Middle East and North Africa","Israel","High income"
"Kazakhstan","Kazakhstan2013",6,16299.8318417768,14563.358855166,8556.12326408583,12296.86388547,-8869.35814173713,-9056.42903453802,0.00942534536971147,6,16299.8318417768,14563.358855166,8556.12326408583,12296.86388547,-8869.35814173713,-9056.42903453802,0.00942534536971147,-9,6,16299.8318417768,14563.358855166,8556.12326408583,12296.86388547,-8869.35814173713,-9056.42903453802,0.00942534536971147,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",7,127759.675646413,105148.853688639,82660.2442665053,122524.966891844,-26269.2109295001,-5126.4266285267,0.375909964047346,7,127759.675646413,105148.853688639,82660.2442665053,122524.966891844,-26269.2109295001,-5126.4266285267,0.375909964047346,-11,7,127759.675646413,105148.853688639,82660.2442665053,122524.966891844,-26269.2109295001,-5126.4266285267,0.375909964047346,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",5,113513.302127358,119793.047361707,120526.346578171,82662.1048838547,119670.802522276,202720.004142731,1.32810235576384,5,113513.302127358,119793.047361707,120526.346578171,82662.1048838547,119670.802522276,202720.004142731,1.32810235576384,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Lithuania","Lithuania2013",5,70853.2675704694,70654.311931115,42423.7667348665,0,3723.94553236305,18040.03839664,1,5,70853.2675704694,70654.311931115,42423.7667348665,0,3723.94553236305,18040.03839664,1,-9,5,70853.2675704694,70654.311931115,42423.7667348665,0,3723.94553236305,18040.03839664,1,"2013","Europe and Central Asia","Lithuania","High income"
"Mexico","Mexico2010",11,106112.023757933,106937.893571204,79730.6506173286,116704.49927449,37040.3763771004,62206.5246643614,53.2692965938874,11,106112.023757933,106937.893571204,79730.6506173286,116704.49927449,37040.3763771004,62206.5246643614,53.2692965938874,-14,11,106112.023757933,106937.893571204,79730.6506173286,116704.49927449,37040.3763771004,62206.5246643614,53.2692965938874,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Morocco","Morocco2013",3,64442.3104739388,46702.9436833806,138037.783153757,3673.14302995377,74052.8504609365,197018.209269146,0.524535347057183,3,64442.3104739388,46702.9436833806,138037.783153757,3673.14302995377,74052.8504609365,197018.209269146,0.524535347057183,-3,3,64442.3104739388,46702.9436833806,138037.783153757,3673.14302995377,74052.8504609365,197018.209269146,0.524535347057183,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,8,156426.399523882,6754.18198434391,250972.366952034,394446.598000652,-13877.3261662026,-19901.9875722403,1.20604204493648,-8,8,156426.399523882,6754.18198434391,250972.366952034,394446.598000652,-13877.3261662026,-19901.9875722403,1.20604204493648,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,6,22714.4845344303,262.89878665693,88894.7047241665,277.921867199431,131451.642801991,152076.683165382,0.596814941448218,-3,6,22714.4845344303,262.89878665693,88894.7047241665,277.921867199431,131451.642801991,152076.683165382,0.596814941448218,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
