"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,23990.2701448036,23990.2701448035,16826.0096739705,23795.57108155,-4994.14235012929,-5152.58428931201,0.551728901744857,1,39748.3352103559,39748.3352103559,NA,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",3,42959.783707959,17789.0370889176,64193.1271531942,109495.085870785,10411.3536602728,10684.2379155299,1.25545121816462,3,6451.97570623006,6320.39109221346,4701.4710152322,6258.74251533523,1333.70326882657,2201.32221930614,2.76859200427801,4,13,1703.09687210138,1459.96034601387,1112.39105882705,397.801431059441,162.04829378646,77.3508987017462,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",39,33633.39714875,21323.1025112873,33534.4185576304,42537.0491146421,4618.00398234443,5779.37738684135,1.11334239355217,1,87687.1242823986,87687.1242823986,NA,0,0,0,1,66,1,18853.9879832412,18853.9879832412,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",40,20308.6248828019,17966.1828018881,12540.9743051194,14573.2005920912,-239.582803820877,1224.39613543679,1.74455920761123,47,32645.4542219586,33009.3928350493,25454.2861148225,27622.7420327038,-308.247959433201,-2307.67001093968,1.91593010708896,32,8,18649.5028736588,8767.7150896127,18526.3136102872,20960.6984848456,-1955.82828451227,-1601.40719581799,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",2,11637.2108180666,11637.2108180666,12581.6501368168,17793.1402605197,3999.60037354367,3812.81577011135,1.6108341177161,1,9390.29826749799,9390.29826749799,NA,0,0,0,1,4,1,12705.1906095043,12705.1906095043,NA,1.81898940354586e-12,0,0,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",1,22961.3508015291,22961.3508015291,NA,0,0,0,1,4,47840.016071977,7093.40463146399,72397.3525691813,134392.589990488,2600.07294054602,1494.49774890582,0.711055898666382,12,3,7292.66239016874,6528.2631038604,8475.14642727266,9963.37494806968,547.359709755892,472.231906456064,1.13333333333333,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",212,10669.4687814549,7198.50908924209,10600.8551225964,9963.21350945614,23.8999074656364,180.611563168377,1.38987356624609,116,14251.7131082856,10143.7778910423,14362.920683926,13820.7722392028,-1355.86342679681,-1905.72052540589,1.6756887628638,146,76,10694.7674607627,7948.87356891156,7381.93831294503,7614.30398589754,-96.2144416601967,215.967346144693,0.857142857142857,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,5,30638.8751809745,24910.442484732,22157.6965471397,31827.0070167016,5364.5503269699,3876.66477761852,1.10917725062379,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",6,9492.06396892984,9268.91637898442,5459.45309470896,4098.491969564,-695.750846554439,-586.13271478369,0.528768404852984,3,18951.3560573038,19940.0453944007,7327.3991996431,10155.1339193767,-1491.9492405307,-1403.4543072146,0.8294888657744,3,3,5461.23669937525,1460.98660921361,8083.7208751986,14570.7370463662,-141.78904099722,-333.266467869701,1.14100919799805,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",1,12766.1830588769,12766.1830588769,NA,0,0,0,1,1,30261.6905703399,30261.6905703399,Inf,0,0,0,1,3,2,19997.1774941129,19997.1774941129,17109.3617628975,24196.2914486373,1099.83142948351,1099.83142948351,1.1,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",5,9457.53710741621,4834.73831699251,27372.1510888455,33174.1483289465,6472.16491377948,9045.10053987956,1.14492975292696,1,17816.5629791146,17816.5629791146,NA,0,0,0,1,4,2,22342.6957905614,22342.6957905614,3337.92654079404,4720.54098419605,-311.565784891522,-380.688789048068,0.911832451135897,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",2,5270.00874911873,5270.00874911873,2924.25288368892,4135.5180879215,-987.513786924109,-990.801208564526,0.678275100879154,NA,NA,NA,NA,NA,NA,NA,NA,9,3,9893.33199017984,9644.4417663473,8324.92498244212,13651.2612961307,-562.357871999567,-429.976337699012,0.943470696307278,"2012","Europe and Central Asia","Russian Federation","High income"
