"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",8,0.229680438266749,0.219098517015688,0.0880368291272425,0.131216765558877,-0.0584230320444956,-0.061972870026519,2.64647801853901,8,0.229680438266749,0.219098517015688,0.0880368291272425,0.131216765558877,-0.0584230320444956,-0.061972870026519,2.64647801853901,-7,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",28,0.206626271284192,0.11941721795417,0.217853910763145,0.328947368421053,0.147817021966468,0.194414103354423,1.69519918669762,28,0.206626271284192,0.11941721795417,0.217853910763145,0.328947368421053,0.147817021966468,0.194414103354423,1.69519918669762,-28,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",5,0.344206510345021,0.352627125978667,0.0583055133357005,0.00416666666666671,-0.0142656444863142,-0.0207299741602067,0.265113443553888,5,0.344206510345021,0.352627125978667,0.0583055133357005,0.00416666666666671,-0.0142656444863142,-0.0207299741602067,0.265113443553888,-4,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",16,0.133154456001915,0.125512227696039,0.0689462721379367,0.0666666666666667,0.014699548675492,0.00165621620103364,0.399389908898626,16,0.133154456001915,0.125512227696039,0.0689462721379367,0.0666666666666667,0.014699548675492,0.00165621620103364,0.399389908898626,-15,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",64,0.131165227138413,0.0823554869320605,0.108440162505494,0.0979059113572388,0.0063953910424303,0.00649595086978554,1.17436010405803,64,0.131165227138413,0.0823554869320605,0.108440162505494,0.0979059113572388,0.0063953910424303,0.00649595086978554,1.17436010405803,-59,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",5,0.184018329842277,0.195332634763904,0.0664185182300758,0,-0.0277046002994073,0.0172930185137579,3.08022440392707,NA,NA,NA,NA,NA,NA,NA,NA,1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Guatemala","Guatemala2010",4,0.188096409586425,0.123760256207279,0.129192235133126,0.207353414186517,-0.0490865297783736,-0.0280922986297392,1.65984508803454,4,0.188096409586425,0.123760256207279,0.129192235133126,0.207353414186517,-0.0490865297783736,-0.0280922986297392,1.65984508803454,-1,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",6,0.229735178411437,0.254444109726252,0.123063073537981,0.188888888888889,-0.0110213020619374,-0.0116094621195808,0.35644759270788,6,0.229735178411437,0.254444109726252,0.123063073537981,0.188888888888889,-0.0110213020619374,-0.0116094621195808,0.35644759270788,-6,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",166,0.136435174375411,0.101341328319455,0.0932724016164871,0.120833333333333,0.000413971580716167,-0.0175695964626794,0.478142778285072,166,0.136435174375411,0.101341328319455,0.0932724016164871,0.120833333333333,0.000413971580716167,-0.0175695964626794,0.478142778285072,-166,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",6,0.15834567569444,0.152046460176991,0.0619018385004591,0.055,0.016905199286608,0.0184308282320779,0.453754884741472,6,0.15834567569444,0.152046460176991,0.0619018385004591,0.055,0.016905199286608,0.0184308282320779,0.453754884741472,-6,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
