"countryOnly","country","N_Do not export","mean_Do not export","median_Do not export","sd_Do not export","iqr_Do not export","OPcov_Do not export","OPcovNoWeights_Do not export","indAlloc_Do not export","N_Export","mean_Export","median_Export","sd_Export","iqr_Export","OPcov_Export","OPcovNoWeights_Export","indAlloc_Export","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",20,0.241886989411005,0.171082804974055,0.219841442532151,0.270871394007072,0.00360873789223787,0.0262028752254083,0.914878969727942,5,0.80091125735041,0.599255279034691,0.952797301751511,1.60343915343915,-0.265709527654494,-0.0184364161367316,1.71697175373646,2,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",30,0.291541855087199,0.259959095600196,0.277636247016547,0.476722294820587,-0.0545475319258291,-0.0470481068747316,1.4083470272635,8,0.442390966701195,0.466634588252298,0.384479006228679,0.705852747295869,-0.0923694372058958,-0.0705642935663715,1.10905321773829,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",106,0.0252544195492089,0.00489846607046122,0.0390021536263187,0.0259300751879699,0.0111330303085004,0.0118916691181102,0.761766034303807,11,0.0635777950815512,0.0297301958597536,0.0833455300089133,0.102481979349308,-0.0262381877803782,-0.0241910347792481,0.849804312191956,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",23,0.388668973824223,0.386106769724423,0.113419046795535,0.135599415204678,-0.000138468932561268,-0.000276645733503819,1.25,8,0.446116864878466,0.457088723656566,0.0762503653751297,0.1,-0.035770748970962,-0.0369983296249205,0.539390772809443,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",284,0.454126664892704,0.457201813509855,0.24573420742468,0.4142,0.018945702363808,-0.0166393349932789,0.671957230444006,363,0.473584967122866,0.45,0.223593898411022,0.369428484823434,-0.103256959181793,-0.0695476802733337,1.06931030229341,9,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",50,0.367172350824437,0.365642742473254,0.220764623609902,0.263216326530612,0.108603546629168,0.0506241570986111,0.140050380955496,13,0.35283111199892,0.396650593401434,0.159760264997975,0.204087586809313,0.0241070212460412,0.0605251843984622,0.55645974413784,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",70,0.333064795178548,0.344369248701222,0.156703601818197,0.165291871249319,0.0288784622006531,0.0274741993616799,0.49054319771812,3,0.349300745421329,0.30928014595105,0.148258551223901,0.275,0.0187872120618638,0.0171714954638572,0.967363836915834,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",26,0.468350368263679,0.463333333333333,0.0986360571184448,0.158,0.0188687941592228,0.00949896610316641,0.500000000000001,10,0.512755275053491,0.490196078431373,0.126122608824615,0.125394157663065,0.0143708515522608,-0.00342592775008967,0.20375,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",792,0.465712130713045,0.48005790141199,0.239687026432593,0.369987468671679,0.123411032347672,0.0633586274329965,0.92,325,0.474844135105484,0.516645101341873,0.254563465355032,0.397151661821092,0.00561980384406146,0.012486165762519,1.0125297209714,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",17,0.404000661510776,0.4,0.0166152302991798,0.016666666666667,0.00101133131107474,0.00334577900319259,0.0976103307973227,42,0.387674957644717,0.4,0.152366694948577,0.125819107541119,-0.0402838251089273,-0.0363402151310076,0.439460607301175,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",42,0.337590119843252,0.276173340262986,0.236551422321534,0.278571428571429,-0.0246378606105842,-0.014640209121223,1.93186589770315,39,0.377889631092033,0.31675445504551,0.24830780269538,0.285714285714286,0.27968887471308,0.221545276598155,0.239614135443116,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",52,0.422821642275609,0.401040989874572,0.153882030812291,0.25,-0.0154910536101352,0.00962563542201434,2.1197455164069,20,0.37525122513194,0.363706945287162,0.134983461947053,0.121212121212122,0.0205707581889268,0.0134939207156036,0.260060821825688,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",49,0.409249198008899,0.393647606489678,0.267582253197575,0.453363636363636,-0.0421165301455072,-0.0512292618357696,1.42274850180405,25,0.556543172386909,0.442808935735187,0.353168785040699,0.719005822940634,-0.17140201911136,-0.0626147038064324,3.23333967256962,0,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",38,0.473961611135568,0.475938498144369,0.243864517071511,0.2383572498402,-0.0977795080119574,-0.0653185867721081,0.423763145933602,42,0.423423078659764,0.377463328965458,0.224325565182648,0.276923076923077,0.000592572991322991,-0.00653651360766915,0.737408724702197,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",32,0.317404571092066,0.106440581445535,0.336854458540259,0.641065535124941,0.0258516447143213,0.0609589732851931,0.855065820112567,16,0.465344447354244,0.351665227382023,0.240933363642079,0.399931330555976,-0.0898786055677113,-0.0981906041043943,1.04664836076287,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",55,0.409420500531021,0.4,0.234342376627916,0.358549253168162,0.0243214267123215,0.0288634530978606,0.719440454979544,13,0.42112684445474,0.500983046424406,0.264255537437064,0.48,-0.0134712906223282,-0.0397653430912785,0.891585151757795,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",836,0.337963518656042,0.328354469028597,0.188406144394603,0.213762486126526,-0.0082928001069935,-0.0179266452990358,1.0063869115395,289,0.335563399203142,0.333333333333333,0.194947787705594,0.241666666666667,-0.0185509809389514,-0.06264122969932,0.898388615171537,3,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",51,0.407819009297474,0.426690608451786,0.253470067096944,0.462451508995632,0.0579281470154207,0.0855237718320986,1.03191472983795,39,0.352597563948388,0.415929992674936,0.250739297134366,0.514317925591883,0.13393060655154,0.105953934031007,0.111052957573644,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",34,0.152590485592473,0.158339423056658,0.128366877176847,0.191974578461912,-0.0203826412387816,-0.0265895518016292,0.333531180318918,17,0.0923583665310585,0.0508430241409777,0.11434960193911,0.177269882291183,0.0272402818641907,0.0051295692301195,1.31287775756622,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",36,0.430526670666328,0.476307018386496,0.197287195708357,0.288888888888889,0.0178992706677301,0.0227285500157518,1.04146964930833,18,0.366714689633558,0.358807895982594,0.231014320261054,0.409303437791519,-0.129913932398444,-0.134083842838393,0.794331065224939,0,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",55,0.196037061072944,0.161911553181347,0.170733712608585,0.218681318681319,-0.00219530325134239,0.0151519005998851,0.56405439727751,28,0.245132571218554,0.282368141170178,0.201995624233276,0.341354166666667,-0.0448163201797996,-0.073175189616873,0.537352741061031,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",416,0.404311731057671,0.428571428571429,0.194660332606367,0.315582714971628,-0.00959969989447798,-0.0202222024983316,0.973083419418223,226,0.436122343153061,0.444444444444444,0.22719616213068,0.308689118971594,-0.0126877572107875,0.00501127836561052,0.974589096239024,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",1045,0.357854281181906,0.333333333333333,0.195872489423267,0.3,-0.0400674146028655,-0.0272034441098524,1.54459853161097,500,0.430615734676426,0.4,0.219724438070285,0.328571428571429,-0.0450080563207317,-0.00911259194189102,1.4396653219478,6,9,0.581483614841689,0.648125835933969,0.229227703251616,0.05,0.0791120533692638,0.142847503481339,0.415115735788844,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",340,0.406137222975877,0.398577533885608,0.213219764437979,0.4,0.0472173142439963,0.0374655937290397,0.705882352941177,285,0.362858792519762,0.300482227986541,0.196492901223544,0.322440576923077,-0.0693026431941386,0.0222967943644136,2.19318168747306,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",133,0.496440556665223,0.520287682231419,0.292735901488849,0.325906344410876,-0.0181537154364114,-0.00165411800109482,0.8,93,0.404241052993222,0.396278978944906,0.216421086285487,0.257471264367816,-0.0104761362460019,-0.04674015533232,0.340678828244213,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",124,0.146455359938672,0.0840531217100242,0.163912822894746,0.208932395227898,-0.0312387335659033,-0.0794467216719124,0.573962458936214,26,0.137703549368555,0.0497024312658555,0.22263470117797,0.236120298945845,-0.0260816844408598,-0.0649397322105744,0.303449024896946,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",35,0.379402675822453,0.352217058822064,0.189047552362426,0.265217391304348,0.0199593896936534,0.0298359756820146,0.641155971527533,61,0.404604388033429,0.430481648701718,0.196872297563346,0.298327759197324,0.0228249785694398,0.0210172511972413,0.862052860618277,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",12,0.338105764343303,0.20270586955178,0.387713303863423,0.497142857142857,-0.0410253188627978,-0.142211875034074,0.632771301980721,47,0.36293041919814,0.324006662683249,0.220197577404578,0.32962962962963,0.016338099431204,0.020216643758282,0.619420270476581,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Czech Republic","High income"
"Djibouti","Djibouti2013",10,0.252302873045586,0.304051297816625,0.100133554284426,0.17499416969697,-0.0278763035041727,-0.0254030632447991,2.82598486027966,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Djibouti","Lower middle income"
