"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",10,35719.9095453037,26479.9059252887,22577.6821206802,26594.0230763518,-2322.86354110742,-1273.00263456191,0.514285714285714,1,24625.9969156179,24625.9969156179,Inf,0,0,0,1,9,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",13,11054.5384607955,12199.933551014,11519.3305319659,15406.0309002282,-4.87602725130603,17.3539484485256,0.914250607726957,1,11655.7687460465,11655.7687460465,NA,0,0,0,1,3,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",49,1912.64568440316,1627.03901151907,1183.51442962847,932.397514810856,-299.945106835364,-181.869041341441,0.833338068068832,1,9215.96460404291,9215.96460404291,NA,0,0,0,1,7,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",2,27880.2083333333,27880.2083333333,7726.6147235905,10927.0833333333,176.243279569893,176.243279569892,1.03333333333333,3,34684.2557478636,28803.5732173657,44926.479524728,35061.6883116883,52816.2386250698,40292.8945478133,1.83489884333509,2,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",7,10399.0154752251,8625.57970763085,8603.07444830051,4658.86696916707,2038.28820302349,994.995384206247,1.43483190381738,1,15658.2403272635,15658.2403272635,NA,0,0,0,1,2,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",6,24733.0751779345,23205.6396617068,13592.8258202465,26341.6666666667,-875.514202145655,-1007.85230352304,1,1,26986.1111111111,26986.1111111111,NA,0,0,0,1,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",8,2604.95538736102,1946.34772410357,3498.14209684311,1053.03562296665,958.120029174118,2643.01918235231,1.11782053786967,2,1074.7123664239,1074.7123664239,377.11128266736,533.315890472095,50.448800450063,50.448800450063,1.23333333333333,6,"2015","South Asia","Bhutan","Lower middle income"
"Botswana","Botswana2010",9,17747.357831849,12867.7541809835,14570.478518478,29725.497396539,3340.56640089426,1908.24587564138,4.11630090256873,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Burkinafaso","Burkinafaso2009",5,45715.3448995727,37477.7653438039,44722.8658627067,75650.4611495107,-8565.05426193272,-2956.39172987361,0.77939701393599,NA,NA,NA,NA,NA,NA,NA,NA,8,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",9,6102.98477098681,5654.05787181277,2856.50066868201,3245.10488161092,-186.872891668375,-190.38838424388,0.666439632196586,2,6395.15620811582,6395.15620811582,1644.72647231617,2325.99448354359,-452.276705133476,-452.276705133476,0.72,2,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",11,11326.9964101848,7423.59367824477,9193.28241304885,15728.8153847704,-423.351931189777,-738.862908965976,1.51045558541936,NA,NA,NA,NA,NA,NA,NA,NA,2,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",20,22906.2591176221,18351.9319567472,14993.2146953848,13305.4619676666,8518.88422477607,6153.30840208907,2.54097542784195,2,20505.3561281378,20505.3561281378,1627.87453678813,2302.1622477676,998.776999927013,1003.34878712866,7.82711884901917,6,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",20,28518.7759592146,25206.8362773411,16531.3133888461,31626.0922540921,1961.07306492365,10719.6108272204,0.240409090428291,3,28348.5951862787,24356.7206531304,27590.946148584,49528.8580013881,-3858.12472877578,-3617.62277657259,0.621652213289819,3,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",7,14272.3030783383,12992.251211972,5586.06140456475,5253.70199040042,443.613852670016,956.406822812705,0.938475128371845,2,9529.32753538023,9529.32753538023,1094.97364124921,1548.52657389568,-387.131643473921,-387.131643473921,0.666666666666667,9,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",4,9659.11393485742,8788.30605230424,6991.58998696826,6250.4946968575,8941.51231676082,6205.31072847855,1.58379774992477,8,26968.5897725005,19646.6526684968,28944.3809583405,39706.2549445096,-16998.7794534497,-5633.30537271557,0.172137820831043,6,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",8,2352.40624727132,1493.89560893522,2053.16969119007,2994.16630734136,-504.276161025734,-560.512210973761,0.373507892893979,NA,NA,NA,NA,NA,NA,NA,NA,7,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Dominicanrepublic","Dominicanrepublic2010",10,18059.0750289679,12134.8998058349,12030.2920485281,19419.0337799863,-2918.965852177,-1108.13277433107,0.965620860345301,1,13845.0262227195,13845.0262227195,NA,0,0,0,NA,2,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
