"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",83,91337.905612069,76195.3033600974,56812.8618630049,68546.3229530798,19868.2048127173,19770.6219943603,2.44225462859198,21,405528.814290992,246196.166314868,295701.332929078,595178.058107553,-149571.4763196,-48655.8314343148,0.667511214105073,6,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",5,21930.3889594122,12194.902448235,15484.3035493866,23730.2056492705,8577.10167883896,8768.48492802126,1.41402598206163,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",4,85508.9355089355,73333.3333333333,62669.17675176,38888.8888888889,-25640.5144563039,-36163.8093089706,0.0769230769230769,2,1331666.66666667,1331666.66666667,280485.689870664,396666.666666667,6397.8494623656,6397.84946236559,1.03333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",106,13427.7711590035,9687.09540743146,12605.0981712797,13937.568387484,-1759.12367291529,-1222.4085387727,0.271693511134686,1,806572.244646069,806572.244646069,NA,0,0,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",5,112799.259670584,104282.180898633,50646.8097650714,72916.6666666667,-12249.9150980467,-12487.7981495629,0.74912667511273,1,144230.769230769,144230.769230769,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",3,24791.0155883687,24321.2312775543,903.096485273098,1621.4154185036,-345.839062187119,-393.070404485726,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,81090.1412358108,66666.6666666667,55186.9573510976,61111.1111111111,16773.129313529,16776.8281101614,0.706040427249848,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bolivia","Bolivia2010",3,17004.8181957071,16842.6460317449,675.020583270128,374.868795921429,-59.5037157413059,-124.348445398062,1,2,80488.5308592031,80488.530859203,51279.4350510835,72520.0725200725,-22431.4869995865,-34050.2833577626,0.686022981811604,5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",2,12166.5660669526,12166.5660669526,7741.29493328269,10947.8442849785,1283.02604090558,1368.48053562231,1.38627054323234,3,49668.558489394,51898.5082769421,8983.19144846719,17243.0816314942,-2080.21667260565,-2012.42543157589,0.639872992104943,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",89,91999.1086482262,43588.6424197847,123063.675652193,103641.658356703,31733.5312724174,20432.18195915,0.441655856727251,1,222777.221195015,222777.221195015,NA,0,0,0,1,47,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",7,156865.917902562,75685.8313579653,204368.968035846,263085.274247756,56080.6270112262,60580.2937264405,1,1,15064.2732632364,15064.2732632364,NA,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
