"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",5,35053.986359823,17427.0847464322,37141.9403038148,11436.2641947907,47926.6325670889,50119.3078902546,2.56652786646722,5,35053.986359823,17427.0847464322,37141.9403038148,11436.2641947907,47926.6325670889,50119.3078902546,2.56652786646722,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",22,1796.28248887261,1331.53116513865,1679.13527687273,2072.00078024191,-494.235459541627,-16.9714440745062,10.7003149742548,22,1796.28248887261,1331.53116513865,1679.13527687273,2072.00078024191,-494.235459541627,-16.9714440745062,10.7003149742548,-37,22,1796.28248887261,1331.53116513865,1679.13527687273,2072.00078024191,-494.235459541627,-16.9714440745062,10.7003149742548,"2013","South Asia","Bangladesh","Lower middle income"
"China","China2012",15,20960.2447224632,14660.2600450543,15688.8492131402,16808.5783383205,3522.65152520073,5958.97339744095,3.41441182264604,15,20960.2447224632,14660.2600450543,15688.8492131402,16808.5783383205,3522.65152520073,5958.97339744095,3.41441182264604,-28,15,20960.2447224632,14660.2600450543,15688.8492131402,16808.5783383205,3522.65152520073,5958.97339744095,3.41441182264604,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",61,17686.0410812276,13635.4766506256,20115.7001696913,8804.67622945908,3690.77973161091,2042.22226394565,2.49549824485409,61,17686.0410812276,13635.4766506256,20115.7001696913,8804.67622945908,3690.77973161091,2042.22226394565,2.49549824485409,-107,61,17686.0410812276,13635.4766506256,20115.7001696913,8804.67622945908,3690.77973161091,2042.22226394565,2.49549824485409,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",5,24765.9930888687,25404.6782353386,14955.4681539214,0,-3815.34918702918,-124.100216434535,0.338631607684819,5,24765.9930888687,25404.6782353386,14955.4681539214,0,-3815.34918702918,-124.100216434535,0.338631607684819,-7,5,24765.9930888687,25404.6782353386,14955.4681539214,0,-3815.34918702918,-124.100216434535,0.338631607684819,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",124,5281.64019160239,3999.62994461555,4472.63959881609,3937.40122438558,433.488751000821,814.420052979429,1,124,5281.64019160239,3999.62994461555,4472.63959881609,3937.40122438558,433.488751000821,814.420052979429,1,-197,124,5281.64019160239,3999.62994461555,4472.63959881609,3937.40122438558,433.488751000821,814.420052979429,1,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",5,18900.9668545426,16983.8711191987,13359.3839202904,6959.13069024815,-2785.47509134956,-2927.61291855111,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,5,18900.9668545426,16983.8711191987,13359.3839202904,6959.13069024815,-2785.47509134956,-2927.61291855111,NA,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Lebanon","Lebanon2013",NA,NA,NA,NA,NA,NA,NA,NA,6,33664.9973122148,25141.0577220938,23144.1323096002,29226.4386911005,-8615.29298496407,-8885.77038241433,0.163823470486412,-5,6,33664.9973122148,25141.0577220938,23144.1323096002,29226.4386911005,-8615.29298496407,-8885.77038241433,0.163823470486412,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",6,24280.848661192,13791.7066681073,32146.3900598726,28865.4209331163,30376.8215845377,14351.4710100691,3.53635351925263,6,24280.848661192,13791.7066681073,32146.3900598726,28865.4209331163,30376.8215845377,14351.4710100691,3.53635351925263,-12,6,24280.848661192,13791.7066681073,32146.3900598726,28865.4209331163,30376.8215845377,14351.4710100691,3.53635351925263,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",6,8229.88112030395,6320.1381513405,6102.16995427879,2608.7827986948,2195.31356952707,2316.04854961105,0.418362122557668,NA,NA,NA,NA,NA,NA,NA,NA,-5,6,8229.88112030395,6320.1381513405,6102.16995427879,2608.7827986948,2195.31356952707,2316.04854961105,0.418362122557668,"2014","East Asia and Pacific","Myanmar","Lower middle income"
