"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",3,0.0164514169591025,0.00884095576392843,0.0208144013943041,0.0394867048866208,-0.0100922498746703,-0.0100922498746703,10,1,0.0212421077399705,0.0212421077399705,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,5,0.380396886847424,0.372884952566116,0.156312103741001,0.211184210526316,0.0557944280767172,0.0674260774882957,0.296869452688942,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",13,0.376979932927651,0.408912427746258,0.216702028905674,0.348659003831417,0.0327433971970842,-0.00382863552785037,1.21102315503648,19,0.357970821337063,0.377158815840365,0.243780989719982,0.233301225628591,-0.0188040584949393,-0.00586804914054338,0.258492394472054,2,4,0.598091044057287,0.604304701775626,0.414414854978633,0,-0.0330536938303892,-0.0665565218304431,1.05253810541686,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,2,0.498376748016069,0.498376748016069,0.0177219744658283,0,0.00268293167553054,0.0111126873788244,0.89211831109069,5,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",3,0.264541438802743,0.155599779669102,0.421456580233861,0.704244003272899,-0.112243331700414,-0.101642489589559,1.80709267995008,1,0.303030303030303,0.303030303030303,NA,0,0,0,1,0,1,0.293199531116052,0.293199531116052,NA,0,0,0,1,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",1,0.874551971326165,0.874551971326165,Inf,-1.11022302462516e-16,0,0,1,8,0.371840142082928,0.337073009964994,0.267837036942739,0.502119582415798,-0.165004507235814,-0.160081672097561,2.14920297991146,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",49,0.298665512891872,0.279159624947907,0.18510957884161,0.300560747663551,0.00498640763187012,-0.0201411192110826,2.08021780146479,18,0.226193000063346,0.157613535757627,0.197843124006973,0.193548387096774,0.00763413935514426,-0.0324632616750526,0.768377144458394,2,3,0.262305228422129,0.260430352605576,0.0194533021653412,0.0294508047121286,0.0135834618158906,0.011049691592512,0.26184862736964,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",7,0.540417873259226,0.592363103933832,0.206725936332961,0.304893113578885,-0.126558299835366,-0.10051234196659,1.43062594548762,5,0.461139635291954,0.541433352527874,0.270480616199371,0.091715976331361,-0.0529403102737564,-0.0148200060860705,3.81353938188523,1,1,0.185339088972695,0.185339088972695,Inf,0,0,0,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",23,0.640461905071766,0.849627078780631,0.447708828975747,0.740800931162086,-0.313874808822789,0.0123942143486131,1.06999323880504,17,0.264380213945891,0.296653009724196,0.168821601975443,0.193711510078338,-0.115523718171027,-0.021935696858259,0.963786257096852,1,18,0.453628104109108,0.490522140899587,0.203989536020291,0.379704123608495,0.0385325217713207,-0.0705380729607301,0.335275678802338,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",6,0.159897222159662,0.133970991627373,0.0710410740225444,0.0976420427460465,0.0399025218995641,0.0399025218995641,0.345454545454545,2,0.232230730017518,0.232230730017518,0.331802399457769,0.469239453341112,-0.0507285895503904,-0.0507285895503904,0.822222222222222,1,3,2.14063798205981,0.188235294117647,3.46794436101199,6.05565220241784,-0.571841113208462,-0.571841113208462,1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
