"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Small firms","mean_Small firms","median_Small firms","sd_Small firms","iqr_Small firms","OPcov_Small firms","OPcovNoWeights_Small firms","indAlloc_Small firms","N_Medium firms","mean_Medium firms","median_Medium firms","sd_Medium firms","iqr_Medium firms","OPcov_Medium firms","OPcovNoWeights_Medium firms","indAlloc_Medium firms","N_Large firms","mean_Large firms","median_Large firms","sd_Large firms","iqr_Large firms","OPcov_Large firms","OPcovNoWeights_Large firms","indAlloc_Large firms","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,1,18,1.56389214498566,1.45016875707312,0.325423196307826,0.293376379821495,0.0281125632931287,0.0325983672849705,0.941770775666808,25,1.77620250439805,1.74212376484165,0.284238947876038,0.398373439611959,-0.0137159716419439,0.00992773973012138,1.03042764479934,29,2.0217954634822,1.91832148067579,0.412246282658413,0.36330600546378,0.00677209429625417,0.0798318290210652,0.532471636867066,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,5,23,2.22070904757713,2.15059852353933,0.363244534517697,0.55780685177726,0.0100348915925354,-0.0214889788713313,1,45,2.39256878204648,2.33861751543855,0.354560911922093,0.305992143419569,0.0257457102237464,0.0208412360930446,1.59975933712594,37,2.57136717586934,2.33735619582134,0.607453300128374,0.594591924022229,-0.130184606170055,-0.133165121383554,1.53010227004949,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,11,34,2.72031412318512,2.96021195439785,0.649589256705296,0.699616101879244,-0.0342746414054805,0.0144550189926805,0.9,44,2.40235952797685,2.43918772941072,0.452094839261939,0.489768639741801,0.0140154485783011,0.0122426178586503,1.03961135580681,20,2.64437431152267,2.70277832596161,0.493195489145084,0.554782229997372,-0.0230200346506918,-0.0867679397957454,1.28498357012533,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,14,2.28742133370733,1.93328420272699,0.750594812638533,0.59974032408488,-0.17194496684589,-0.124731422592736,1.1512925045385,26,2.04683788407674,1.90674997148846,0.480309452327319,0.392213786139987,-0.00948113430935164,0.069313672062981,2.01721235376211,25,2.64538178644477,2.31491241244192,1.08642740886323,1.06990383735131,0.541482236810946,0.33446877251086,1.16957816037592,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,3,12,2.41138059505834,2.35504488670082,0.380001134257795,0.126804301746605,0.0397920461372677,0.0163713315160594,1.77164079804783,47,2.50148615962078,2.45357629107589,0.446171859378969,0.582019479611777,-0.0504094543250618,-0.026346465763462,1.02046103922517,45,2.62112255456118,2.5094185547295,0.515219641716152,0.526922253864598,0.149326138974189,0.131543276811165,0.987472208679281,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,50,31,2.37663211919239,2.33571776523888,0.318878938189727,0.470369472968603,0.0599553675188771,0.0689592102284473,0.990589499255869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,2,32,2.73035573438261,2.59553669522726,0.794253147380242,1.55495669760162,0.0549772374387185,0.0553012237409382,1.08974359914866,55,2.64991223924197,2.16821160567388,0.943657382612884,1.01595512128053,0.0434553905030301,-0.00253016771725082,1.47800526276398,25,2.82732274338731,2.60873080802167,0.718342574872247,0.834030744343121,-0.0257608660377636,0.0224918791623081,1.12704827049302,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,0,7,2.14864920256663,2.18550680925387,0.615518233135149,0.879492053571358,-0.0956337278018278,-0.0762502715740604,0.466666666666667,5,3.08266854150617,3.03387643556163,1.24813207666417,1.08534130777277,0.0897119260772741,0.0875466003072662,1.08513377925643,4,3.96656053483297,3.7675716685637,2.01371230210218,2.84446864377963,0.407064545450917,0.261664651976047,0.713416783765947,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,65,2.33006281759977,2.32159228463764,0.385342071667427,0.510314327138092,0.0457410304841036,0.0185606163593489,2,102,2.54639890925139,2.41393340275046,0.530535625350824,0.836338578006988,0.0602133002677913,0.0769900406801057,1.04861005542272,51,2.46186011790745,2.56954114723277,0.374864996436123,0.670435305897971,-0.0565269856940733,0.0141766155755632,0.784213730465952,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,9,27,2.528942749655,2.39386155933858,0.568156326904372,0.57240312334779,0.0642187357692159,0.0531533118660725,0.857142857142857,10,2.75676428192719,2.77925560071121,0.224566208556158,0,-0.0611884639517229,-0.0410273159337558,0.512077409442758,19,3.4653865432509,3.69252669101525,0.690061458491799,0.718957756258622,0.31827138765915,0.380924447886608,7.70259311772572,"2009","East Asia and Pacific","Indonesia","Lower middle income"
