"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,13310.8869305588,13310.8869305588,3680.82889147317,5205.47813909608,1140.28324921721,1884.74208484513,4.79709115042877,5,19138.366480092,19296.0068844325,5831.44777442691,6160.87380879437,6855.19454552956,4419.21016354288,6.23788145606512,6,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",37,2563.68719303238,2109.00011003336,2075.19808081807,2471.20830603641,-27.9276041840079,43.3354048665723,0.821116266402552,65,16381.2498937448,7514.45110013799,20528.7723787948,18860.8484969296,-7473.46355512839,-7385.06292770908,1.04274001901536,11,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",81,10014.8513393374,7397.47993787704,9188.63891805903,9829.29324661083,659.110075343473,360.740525882674,1.23064202060471,34,16139.7726522709,14334.0567444141,11821.6305703381,16363.0706476089,7564.79320987241,2959.20176166548,0.490664174650453,16,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",8,18307.1849123788,9837.93755702348,16883.804560498,31631.7650406165,19220.0304481013,18489.6139803115,1.42857142857143,1,16578.5532172283,16578.5532172283,NA,0,0,0,1,2,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",13,13479.992807955,10041.2499356482,7446.71013802366,13162.1731347456,-233.062495702384,-132.492975892758,2.08551578952276,2,16435.8078065789,16435.8078065789,2938.8480830146,4156.15881675342,341.415574972294,395.824649214611,1.12661386580084,4,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,12664.5470055072,12664.5470055072,NA,0,0,0,1,6,18941.9360263203,18400.535770824,4296.82827786992,6709.70446053017,686.146768642761,3006.42996987197,0.886225575883734,3,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",7,1608.47182699099,1707.24814872051,1034.51898657789,1463.0282079528,320.335593746763,445.864658048966,3.07712992737886,NA,NA,NA,NA,NA,NA,NA,NA,5,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",64,5155.2482126338,2645.86502397275,6630.72046932241,6535.41535748139,2146.73830602589,541.345948282651,0.542522649528265,15,7531.32348369269,3184.12282693467,14366.5284659671,25619.2919572091,2831.84950248753,8004.91576677065,1.07142857142857,32,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",5,1841.02014969112,69.7339506510753,10207.585605937,5166.71030293423,-1523.33159737022,-1538.3480696533,1.01875,6,6036.16120504894,4821.05518248717,3964.95841530394,7303.90283759123,-2165.24384097444,-2182.04695482496,0.486507936507936,16,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",1,5122.39913188201,5122.39913188201,NA,0,0,0,1,8,12246.6555970863,5416.60083630667,12492.6321091025,23387.7045085984,-7673.96987014602,-2874.89351719436,0.498253659555753,0,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
