"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",3,0.0504166666666667,0.053,0.0471780757697189,0.09425,-0.0144951550387597,-0.0144951550387597,1,3,0.0504166666666667,0.053,0.0471780757697189,0.09425,-0.0144951550387597,-0.0144951550387597,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",5,0.104546620303395,0.0896113136696125,0.115437083007237,0.122212121212121,-0.0046135678283845,-0.0232313561980732,0.8471163401501,5,0.104546620303395,0.0896113136696125,0.115437083007237,0.122212121212121,-0.0046135678283845,-0.0232313561980732,0.8471163401501,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",12,0.143835493643427,0.134319301375372,0.0984990638114752,0.0619639692841998,0.0223771201982454,0.0058545312169939,0.575854028543153,12,0.143835493643427,0.134319301375372,0.0984990638114752,0.0619639692841998,0.0223771201982454,0.0058545312169939,0.575854028543153,-21,12,0.143835493643427,0.134319301375372,0.0984990638114752,0.0619639692841998,0.0223771201982454,0.0058545312169939,0.575854028543153,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",NA,NA,NA,NA,NA,NA,NA,NA,5,0.221327180831635,0.179098528458793,0.118042449972099,0.12407960199005,-0.0186430788310098,-0.0193938804306228,1.71646687616402,-5,5,0.221327180831635,0.179098528458793,0.118042449972099,0.12407960199005,-0.0186430788310098,-0.0193938804306228,1.71646687616402,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,15,0.28488308680885,0.275619537372,0.171577916973357,0.3963133640553,0.00351501590637923,-0.0128276893594702,0.704433619976044,-15,15,0.28488308680885,0.275619537372,0.171577916973357,0.3963133640553,0.00351501590637923,-0.0128276893594702,0.704433619976044,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",42,0.180664640199687,0.17395364404629,0.108420173342473,0.14,-0.108830330822245,-0.0779306665198492,2.3781668058526,42,0.180664640199687,0.17395364404629,0.108420173342473,0.14,-0.108830330822245,-0.0779306665198492,2.3781668058526,-84,42,0.180664640199687,0.17395364404629,0.108420173342473,0.14,-0.108830330822245,-0.0779306665198492,2.3781668058526,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",5,0.218651282439047,0.258301061996523,0.219266922307577,0.235,0.0608898438520497,0.0102261297376093,1.7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Bhutan","Bhutan2015",12,0.211444167066882,0.211083251445917,0.16598124921901,0.375654255565436,-0.0318381016792067,-0.0575749489596468,0.72911412779269,12,0.211444167066882,0.211083251445917,0.16598124921901,0.375654255565436,-0.0318381016792067,-0.0575749489596468,0.72911412779269,-24,12,0.211444167066882,0.211083251445917,0.16598124921901,0.375654255565436,-0.0318381016792067,-0.0575749489596468,0.72911412779269,"2015","South Asia","Bhutan","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,18,0.212411284021987,0.188345163736399,0.145694879470103,0.227443540811662,-0.0641434572056557,-0.0997790498887311,0.379104801968752,-18,18,0.212411284021987,0.188345163736399,0.145694879470103,0.227443540811662,-0.0641434572056557,-0.0997790498887311,0.379104801968752,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",7,0.150150080052248,0.123952403305219,0.0827377176426067,0.124329460809858,0.0267979159903263,0.0252442735503309,0.258396863989065,7,0.150150080052248,0.123952403305219,0.0827377176426067,0.124329460809858,0.0267979159903263,0.0252442735503309,0.258396863989065,-14,7,0.150150080052248,0.123952403305219,0.0827377176426067,0.124329460809858,0.0267979159903263,0.0252442735503309,0.258396863989065,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
