"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",78,0.479371926239065,0.5,0.203911617702016,0.304953560371517,0.00755916613304413,-0.0112623695401605,0.692809010220392,78,0.479371926239065,0.5,0.203911617702016,0.304953560371517,0.00755916613304413,-0.0112623695401605,0.692809010220392,78,0.479371926239065,0.5,0.203911617702016,0.304953560371517,0.00755916613304413,-0.0112623695401605,0.692809010220392,-155,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",176,0.52352713038547,0.558328497255601,0.243982247552977,0.403333333333333,-0.0369818971129153,0.0122376591721381,1.4,176,0.52352713038547,0.558328497255601,0.243982247552977,0.403333333333333,-0.0369818971129153,0.0122376591721381,1.4,176,0.52352713038547,0.558328497255601,0.243982247552977,0.403333333333333,-0.0369818971129153,0.0122376591721381,1.4,-348,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",5,0.445413574393588,0.4,0.0848360348208722,0.142857142857143,-0.035403460652377,-0.0231282586027111,NA,5,0.445413574393588,0.4,0.0848360348208722,0.142857142857143,-0.035403460652377,-0.0231282586027111,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",7,0.312406280274186,0.317268113360429,0.0450085088063794,0.0520940129449838,0.00596226848380094,0.0437587964396058,0.829617722014211,7,0.312406280274186,0.317268113360429,0.0450085088063794,0.0520940129449838,0.00596226848380094,0.0437587964396058,0.829617722014211,7,0.312406280274186,0.317268113360429,0.0450085088063794,0.0520940129449838,0.00596226848380094,0.0437587964396058,0.829617722014211,-11,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",142,0.285825519333723,0.3,0.168460238176142,0.228571428571429,0.0116326601553719,-0.00668127204487402,0.784832314002841,142,0.285825519333723,0.3,0.168460238176142,0.228571428571429,0.0116326601553719,-0.00668127204487402,0.784832314002841,142,0.285825519333723,0.3,0.168460238176142,0.228571428571429,0.0116326601553719,-0.00668127204487402,0.784832314002841,-281,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",12,0.142723576317876,0.135133747819396,0.144199304205005,0.049213691026827,-0.06399691379955,-0.0719667883294561,4.39232469938413,12,0.142723576317876,0.135133747819396,0.144199304205005,0.049213691026827,-0.06399691379955,-0.0719667883294561,4.39232469938413,12,0.142723576317876,0.135133747819396,0.144199304205005,0.049213691026827,-0.06399691379955,-0.0719667883294561,4.39232469938413,-21,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",10,0.0952296088855469,0.0833196251689729,0.0653702491898517,0.0615384615384615,0.00782005882105272,0.000878473653976105,0.583333333333333,10,0.0952296088855469,0.0833196251689729,0.0653702491898517,0.0615384615384615,0.00782005882105272,0.000878473653976105,0.583333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-9,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",28,0.3036990564113,0.235733444202667,0.17972085322664,0.2,0.111794890131809,0.0425190727532197,0.481489486449796,28,0.3036990564113,0.235733444202667,0.17972085322664,0.2,0.111794890131809,0.0425190727532197,0.481489486449796,28,0.3036990564113,0.235733444202667,0.17972085322664,0.2,0.111794890131809,0.0425190727532197,0.481489486449796,-46,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",118,0.356213930628211,0.333333333333333,0.190644588447441,0.276190476190476,-0.0129380823808827,-0.0135153193288071,1.41484954447148,118,0.356213930628211,0.333333333333333,0.190644588447441,0.276190476190476,-0.0129380823808827,-0.0135153193288071,1.41484954447148,118,0.356213930628211,0.333333333333333,0.190644588447441,0.276190476190476,-0.0129380823808827,-0.0135153193288071,1.41484954447148,-231,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",98,0.331647500035536,0.29742608651408,0.206899909484364,0.362679775280899,0.013079928111775,-0.026303528347957,1.00821273821455,98,0.331647500035536,0.29742608651408,0.206899909484364,0.362679775280899,0.013079928111775,-0.026303528347957,1.00821273821455,98,0.331647500035536,0.29742608651408,0.206899909484364,0.362679775280899,0.013079928111775,-0.026303528347957,1.00821273821455,-196,"2010","Latin America and Caribbean","Colombia","Upper middle income"
