"countryOnly","country","N_0-10","mean_0-10","median_0-10","sd_0-10","iqr_0-10","OPcov_0-10","OPcovNoWeights_0-10","indAlloc_0-10","N_+20","mean_+20","median_+20","sd_+20","iqr_+20","OPcov_+20","OPcovNoWeights_+20","indAlloc_+20","N_11-20","mean_11-20","median_11-20","sd_11-20","iqr_11-20","OPcov_11-20","OPcovNoWeights_11-20","indAlloc_11-20","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",12,0.254268491362414,0.0822149518158486,0.489131534471026,0.751933849026407,0.0168817864374776,-0.0514249193256128,1.13805210779381,3,0.264225086552099,0.264551465302591,0.304908523390069,0.451761257391216,0.0260158250756869,-0.0187771773974732,1.80323069156991,7,0.0282614829441967,0.0204917051323759,0.0309995879853421,0.0355449819367345,-0.0192912420114789,-0.0162978814602265,3.2002827598415,3,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",6,0.566624879968937,0.0909248375516032,0.802820476783699,1.21340533672173,-0.330775040346612,-0.353433232793716,1,11,0.285045059257927,0.255429653646387,0.448420808681103,0.635204118007728,0.0423111173309777,0.0785903254923031,0.423353182199442,17,0.472636515100217,0.394958563039619,0.327575854445217,0.519365079365079,0.0782072605271782,0.0583294881019832,0.143676695563488,2,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",4,0.0014762823715971,0.000667125489439116,0.00235859498063273,0.000359958826042707,0.00256974948625811,0.0026371360446572,0.103322977785208,28,0.0997162064400272,0.0284382626804181,0.132259829375013,0.15789365982029,0.0614593983937434,0.0679020394388635,1.29283901616064,67,0.0372487342867436,0.00787735932713804,0.0591226026351324,0.0428819260005403,0.00630652273398892,0.00731169681702994,1.18288523281203,7,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",2,0.32859591881878,0.32859591881878,0.121064126226486,0.171210529226345,-0.00570701764087817,-0.00570701764087817,1.07142857142857,16,0.389224058803133,0.433261829038401,0.183027181380258,0.238675958188154,-0.0372361180521815,-0.0375905569476928,1.28403364866014,13,0.457559198014103,0.444100596928477,0.156590253152567,0.185138058277134,-0.0181957897801082,-0.019198485469473,0.950343776874444,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",12,0.597013414343672,0.605722354996969,0.312020212805251,0.307088657795491,0.018864933242149,0.0383996111050197,6.56777648467445,414,0.509897810442967,0.495776864988582,0.299786135520896,0.353388875008136,-0.0816981899301494,-0.0411975813843624,0.97854087060745,109,0.397503239011041,0.459795663708941,0.248095078510309,0.391089584654712,0.0111736216261563,-0.0968099198441613,0.496879662691533,24,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",3,0.865643351569608,1.00363470183018,0.744523239633563,1.2679843861011,-0.411123254275654,-0.282668320257159,2.53929320504226,23,0.229714797338092,0.230219217312895,0.289740211830991,0.316482027201922,0.0185384772245385,-0.0288413832606382,1.64658603169138,35,0.503410534968365,0.3125,0.557270332801013,0.689441897323636,0.0598545043630238,-0.00414647700783026,0.12404734610065,2,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",2,0.41882105177657,0.41882105177657,0.451076792088448,0.637918917043232,0.0411560591640795,0.0411560591640795,0.885714285714286,20,0.565606498081183,0.635581809503236,0.265291068143617,0.349993008016453,-0.00889233861066631,-0.020650965750663,1.43501095723597,26,0.593137042454034,0.635307028384022,0.237793125969176,0.370299570381828,-0.0696605853380701,-0.0571298199885333,0.951124920317355,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",3,0.688213459007039,0.693374422187982,0.415295794942336,0.487930148947098,0.276099528958868,0.273134503541469,0.162264150943396,17,0.463441887561902,0.362618676370159,0.232332585000792,0.4248058624084,0.00358285222700429,0.0059613995375407,0.331034482758621,14,0.496832236039624,0.466439135381115,0.349501840700493,0.415150684931507,-0.15516536271013,-0.144330423070854,0.525,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",135,0.411607920004061,0.399344730721106,0.233175994628367,0.395577494720702,0.0461278529439398,0.0750155260103243,0.988077637125842,572,0.400986093775449,0.378471740243186,0.272854147913394,0.388644542183126,-0.0582773493104175,-0.00416679468277883,0.055452335791652,375,0.413224851044478,0.379543067967232,0.263875881970693,0.334316617502458,-0.0391004130809852,0.0202748098753025,1.40928459475315,21,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,0.498710544466087,0.513449696519252,0.288446232838784,0.381944444444444,-0.155210530982884,-0.0757553637422099,3.70136161234825,20,0.413710532148342,0.496652722516019,0.320802291649985,0.456894526661969,-0.0907577340998597,-0.122428848958126,0.514405637153514,15,0.478494676100795,0.514506859919484,0.139388928273891,0.197177833847304,0.0163810926379577,0.0144817070608401,0.813280143504115,0,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",10,0.359977245949397,0.356769351452203,0.210895716774373,0.26286296484972,0.0696775081011335,0.0520802803203528,0.393438572025261,36,0.370010773058166,0.345958108319732,0.286021899191507,0.266803278688525,-0.323111873825212,-0.223343560436469,1.43008159974453,25,0.432689659460131,0.419969168497711,0.227432874454263,0.492701789579264,0.119160775863537,0.0632621617618489,1.47796841420061,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,47,0.529782476174473,0.386021594719763,0.37424865002043,0.34996534996535,-0.155297451657071,-0.062167456444324,2.91029828927176,25,0.388836810450281,0.321849260423374,0.207559406997556,0.226725897981384,-0.0925886511785605,-0.103999225934385,2.10238473970174,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",23,0.653810802828697,0.69858706591412,0.337966379531749,0.443802422495802,0.0386944705655166,-0.0143142940013956,0.657022580121873,30,0.433482059511148,0.399841593627475,0.449606659133964,0.567613427043191,-0.145532008223927,-0.11030304617073,1.49155050816228,16,0.7622008847581,0.376181037519248,0.890444243969551,0.630955751985923,-0.211158054338343,-0.196011074752944,1.10275116371119,2,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",9,0.96766535375714,0.674556183962414,0.824003039942942,1.17344635020613,-0.354419791537521,-0.295878664010785,2.89049936253572,20,0.249742975446139,0.10736217936126,0.260041483829621,0.510748593826649,0.0949722505927918,0.00717330121389437,0.360901603954876,43,0.59325315542433,0.509894119638471,0.403211669972186,0.533654275342767,0.200495670928651,0.156100864918558,1.42831300464096,1,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",NA,NA,NA,NA,NA,NA,NA,NA,26,0.20542345742274,0.165888673579765,0.211406820044366,0.24313200126992,0.0263884825784309,-0.0147885827156877,1.13911350298411,8,0.326546599164182,0.125366217620829,0.371809963549782,0.497446930067308,0.446903976515793,0.403575672932099,0.219197129355253,4,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",2,0.485022438656662,0.485022438656662,0.47264505900364,0.668421052631579,-0.214746546196838,-0.207752489331437,2.54831489659211,28,0.382596180721455,0.396305295612102,0.229619160306466,0.202695667811947,-0.0612429608751501,-0.0700120557725636,0.333499230444542,29,0.343639468416057,0.29386852032613,0.21361835513228,0.211797036257325,-0.0606643783108387,-0.0636762372927246,2.61068589756127,3,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",6,0.557828695921543,0.778285898983584,0.419884927180887,0.626961618453394,0.00819861151714153,0.211524585933236,0.90527781743316,729,0.357406110341952,0.302647592482371,0.274454525969957,0.39023190963405,-0.0344435517931344,-0.0809087950198814,0.766666666666667,336,0.416029524723574,0.3735622662822,0.273582273155759,0.330955781519396,-0.0147135997177098,-0.0176613292283158,0.509675893201483,35,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",8,0.526296463491618,0.577907205457566,0.188494291054942,0.282623910415474,0.0374786515522083,-0.0411915548815549,0.608342448543002,37,0.480927485790073,0.370483642691035,0.297533866880571,0.486396717628096,-0.00860142709980703,0.00398363922427913,3.08816943963375,34,0.456757081253355,0.529186835572038,0.261311450635169,0.454050704686413,0.0889535661775966,0.0646297724569418,0.353311957617428,1,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",5,0.160334931726701,0.171439717934085,0.10016295596824,0.17196682464455,0.0127111951128521,0.0353331512559562,0.798819217449801,18,0.149733968346058,0.149274492982554,0.0797976646081851,0.096894991418318,-0.0174092385471258,-0.034552385686597,0.611587365188324,18,0.144119715516244,0.0685487543943403,0.191705879014041,0.23416451032315,-0.0729410831810732,-0.0800621643552587,0.849679272438422,2,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",10,0.289261370771889,0.240359773474563,0.17432747556451,0.338451050167223,-0.0474601622152082,-0.0454459484024468,1.26734426153899,21,0.278929250566983,0.196431074715986,0.205973195648018,0.373897228865148,-0.110121701611505,-0.119439583581917,0.667234245253048,16,0.235002814008839,0.15038064088324,0.201023319029199,0.120724547297778,0.0163784658680681,0.00616248463703933,1.15444590664094,1,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",1,0.204081632653061,0.204081632653061,NA,2.77555756156289e-17,0,0,1,43,0.305227912067648,0.252976324528915,0.228670062016327,0.394116084057939,-0.066910076158039,-0.0248162387285184,0.611279842456586,26,0.282312351283216,0.253964821379692,0.169432605444218,0.264412394834184,-0.0650700913967486,-0.0587346866585712,1.14278846949548,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",7,0.551384316907134,0.616601738299835,0.31301640804428,0.419457735247209,0.0384297737123589,-0.0695507038266697,0.634093943954175,502,0.434209572118183,0.39084436913518,0.26815783935646,0.34400522335643,-0.0757378229653234,-0.0683012343429279,1.01622866947113,102,0.400973978194138,0.312168312179458,0.243890960335758,0.339932571709326,0.0322201644079455,-0.0334949463202869,0.446385423986659,23,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",157,0.331441348049749,0.327127186573802,0.184573635581327,0.252660111565371,-0.00367076133589607,0.0131697603423092,0.777017943147393,333,0.274036572433413,0.216243991004563,0.212169663528769,0.263195605445427,0.138555315525539,0.0696017651391552,1.14432816853212,908,0.296847775303265,0.260451066093342,0.184347441465676,0.264101976948325,-0.013168803143615,-0.0241644403802998,0.8,13,"2012","East Asia and Pacific","China","Upper middle income"
