"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",8,27805.0619689445,16346.8238418383,20233.9071549337,18775.4215874727,1420.07013018072,-3412.19969548191,0.503746858224592,1,19570.2934503,19570.2934503,NA,0,0,0,1,4,15390.1749942545,12403.8758357711,13354.5552961326,15269.3057557487,-1005.16813117904,-2813.4840507826,0.345447357839727,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",4,27348.0957675658,1838.3550189193,51803.8960144649,26489.4440722137,-16031.392368815,-16031.392368815,0.144859813084112,NA,NA,NA,NA,NA,NA,NA,NA,2,12788638.7019166,12788638.7019166,20035685.7272134,28334738.4868702,2519622.8876038,2500123.98413561,1.19300163710801,0,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",6,47643.68864085,42237.5011944197,21707.5090391954,38518.5185185186,1364.56179393916,1610.0493721777,1.16153128284654,NA,NA,NA,NA,NA,NA,NA,NA,2,25154.3209876543,25154.3209876543,8074.98484688341,11419.7530864198,0,0,1,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,47805.1005543956,33766.1691256399,37767.2627628481,30803.8877332261,58210.7169538996,35411.47898957,0.980532281672622,0,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",2,17400.1324831506,17400.1324831506,1640.50022298401,2320.01766442008,-77.333922147336,-77.333922147336,0.9375,NA,NA,NA,NA,NA,NA,NA,NA,3,19926.7439587298,17322.7985610033,13155.7352256442,25922.034688774,-548.698110827874,-548.698110827875,0.863636363636364,2,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",3,12256.9373891594,12256.9373891594,1.81031838066651e-12,0,-3.78698991306314e-13,-3.74118387963332e-13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",28,4839.71250415962,2758.18978349481,4771.55341320722,5273.04670659814,5557.94850774473,5825.64926403254,0.869565217391304,7,3518.05150605139,3460.69638619034,1730.22075666633,1493.31089865901,1409.94849462871,1224.61013567317,2.00245599767341,49,6805.52279434307,6334.04114096011,4996.38585191648,9524.00506478078,1447.61412433708,539.092169244448,0.912458545697417,4,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,37452.8703331179,37500,15781.8812291746,25000,1042.84630079267,-370.003741348131,0.255787360621,1,83333.3333333333,83333.3333333333,NA,0,0,0,NA,3,133774.901145524,39285.7142857144,154570.724594495,245000,-63312.9287447792,-59621.3425129088,0.866970910815063,0,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",3,33887.6987772866,26223.1914826098,19532.9772760907,31562.932613635,-8623.46953384136,-6644.01824259357,0.277277819994516,1,4864.24625551086,4864.24625551086,NA,0,0,0,1,1,8704.24745042736,8704.24745042736,NA,0,0,0,1,4,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",2,35625,35625,7954.95128834866,11250,625,625,1.125,NA,NA,NA,NA,NA,NA,NA,NA,10,38336.3016725027,37844.991919387,14999.1622492146,25000,-5.00820867937615,-895.295105830663,0.545454545454546,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",1,15131.5385414002,15131.5385414002,NA,0,0,0,1,1,1815.78462496802,1815.78462496802,NA,0,0,0,1,6,18482.9228733864,15049.2502792957,14018.0555983861,29783.0433781367,-4089.90139230992,-4227.95135815035,0.942846666339922,2,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",6,32713.4804498962,32966.8758432251,13433.6734224204,24280.8801952497,-844.325400384055,-1309.55908281838,0.978773281398015,NA,NA,NA,NA,NA,NA,NA,NA,1,34397.9136099371,34397.9136099371,NA,0,0,0,1,1,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",5,15100.0909079197,17469.2204427617,9334.27225381545,18925.7946415852,2316.60243123406,2785.22172362556,2.54870420883286,NA,NA,NA,NA,NA,NA,NA,NA,2,42818.5399130886,42818.5399130886,44083.7195825234,62343.7941134571,5374.46500978078,5374.46500978078,1.20833333333333,1,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",51,25428.6968584184,22408.049844797,26668.7801256534,29899.048107752,-6000.81708388327,8174.09698342133,0.0845337546108399,1,7914.45391087552,7914.45391087552,Inf,0,0,0,1,104,26034.6683114862,16594.6959841124,30112.2372139971,35803.4819777702,32985.1466190657,33694.3235847567,1.5,17,"2009","Latin America and Caribbean","Brazil","Upper middle income"
