"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",25,14812.0852358713,13154.4509239617,42668.8250795141,32052.9853808084,106.992639124695,-5406.48474366821,1.01587080275395,15,27688.1772988288,16824.1249561263,33139.8443580219,10879.0157272408,10042.5379754614,-3558.44557365063,1.04968441105815,21,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",109,2700.49719701031,1904.2237243916,2509.32385938923,2696.53232830074,-1556.66608470742,-585.389887973321,0.0292665808930922,42,3534.47803284878,2869.40616785594,2750.70063914274,3879.28986784973,-311.209050872516,-30.0679984550541,1.56756982509376,11,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Bolivia","Bolivia2010",1,19898.4134615385,19898.4134615385,NA,0,0,0,1,5,6196.72123512176,6305.06790089754,2622.02294397426,3211.33496133496,1249.45366429272,379.315173737121,0.889578615978111,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",5,7691.49836237678,5861.59323316964,6581.67867077154,8363.66264876121,2136.98453348432,2396.63125971226,2.91940865837512,5,8991.57255491455,7531.76148813474,9007.31300475127,5994.66125608164,2234.1937606642,1263.29175854537,4.94537119352052,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",91,17088.3610623773,14237.1478466924,15362.4511184399,20826.3201483324,16557.2109604304,24086.7668477372,0.831742931370305,29,22846.6773022595,20736.8522257935,17485.5658084546,19480.349057905,287.355369829378,-6370.93995567791,5.04821297831027,48,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,1089.63765894219,1089.63765894219,NA,0,0,0,1,5,10707.6530139788,10713.8658710041,4379.98881236381,9651.89568420893,133.73048796757,-567.046010985768,32.3486215766644,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",36,26873.3558531292,22289.5063441414,19767.8592269237,17444.5145060649,1736.48973214056,1981.06205774418,1.87838308852343,19,39292.37984986,24729.6586019858,38019.2816746452,59267.8249088066,-7774.39900442843,-9563.17374829624,2.2762378872249,15,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",76,21458.5164149824,17458.645992254,13068.3959646804,16427.8418813441,-8712.29430833816,-8269.71463315962,8.0243775739065,56,29845.7173610262,23075.8320300233,26474.0750338418,37362.1054337864,28423.7986469574,29111.6106655882,0.882295264892408,18,5,14082.5521870806,4705.54195556912,18325.9356768196,38198.4773228821,-8912.69770024306,-7118.01815834298,0.111111111111111,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",17,39639.571353401,40737.4992471686,30617.646922348,37837.0288694444,-14490.7342579714,1964.17157303038,0.277777777777778,31,18278.7207369938,10193.7604364902,15612.778562227,15994.8035230904,23349.6385696662,18276.453318138,1.17195500595936,10,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",1,6340.782269045,6340.782269045,NA,0,0,0,1,2,26071.7664516878,26071.7664516878,22361.1514987859,31623.4437198624,-964.640856176175,-964.640856176175,0.9425,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",2,39408.4492631262,39408.4492631262,11969.2293161704,16927.0464300818,403.253361322379,403.024915001948,1.04876680752667,1,34187.6198922303,34187.6198922303,NA,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",6,9297.78081323689,8996.55368847422,4544.95925115403,5224.89137603477,1280.66861349353,1178.5936445754,3.29658490342675,3,21844.3486864007,20124.2138417121,14319.5240114484,19943.3014666923,7090.4630707691,8712.4103439071,2.86103375699171,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Ecuador","Ecuador2010",7,20123.5326144103,14739.1088052665,17145.8051286117,30638.5776397516,6054.93051763028,5476.16127416407,1.83390477108017,1,21133.3333333333,21133.3333333333,NA,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
