"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",57,21785.7771534094,17904.4536088219,14931.9658362186,18217.7079918774,5436.58126992793,5129.32901789067,1.24606667064866,24,19895.3238407827,16372.8481091245,14664.3901660001,10437.9204613194,7209.5657330059,10799.9300514848,0.824430034520399,37,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",3,2476.00202472839,2172.70840768505,1051.82662002864,1653.08713118331,132.802348328847,39.4554734977688,1.2183112782358,1,3663.97177409712,3663.97177409712,NA,0,0,0,1,5,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",3,20404.4891319259,16043.3665251095,21112.678524185,32793.1073345518,-3091.74621705545,-2621.38912499953,0.845979265548713,24,1380.94034026703,949.928050621267,1083.05731019917,1256.65853532904,-122.677950264811,-236.540446207373,1.80376298242174,0,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",46,49876.707515555,43193.5673579591,32736.9387444886,42617.5755425289,-19224.2903028701,-27372.5404520913,0.775407368198318,81,28059.8395537603,22099.6065553873,26910.1845896892,27697.0711529929,13177.7016077463,9765.05458473941,0.385491992841913,34,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,12047.2318669972,12613.8298845406,7725.34333219436,14179.3401571137,492.051757802649,385.948984548887,0.960080261471789,6,10264.9444812121,10391.4775221195,7436.7885149585,7129.42977956078,-1488.51638056572,-3291.58275750566,0.998389222129991,5,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",8,29425.0385063743,23437.211157179,16045.0572282083,29385.1504315827,10118.3572953166,11866.5486934234,13.6868141122115,8,25190.356122799,26704.5704473919,10127.2109323471,16539.452855867,4711.0413421586,2774.35757579672,0.810733742902138,5,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",43,18378.8892206139,8759.50652759344,19018.3951799658,19380.109818227,5776.93073495762,-3606.86940207584,1.13901402057111,70,23546.5989463872,14458.8955126518,24718.2318625488,23470.7232900199,48460.8464324039,81857.4026923544,0.917528279558948,40,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",9,20759.9499483462,12292.6560065519,19181.4814689237,12372.4240048923,9580.86728216977,-1930.97122074896,1.26610466757122,10,20836.1628645684,14645.3997176861,15864.6369496355,24531.6074266754,2843.77993423521,6306.38122088626,2.16431995232308,5,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",7,28181.4938239724,27752.6963705086,11303.8341633436,17642.5923403659,-6277.31182971236,-5226.0307740235,0.406273591210826,6,17990.8774453676,17086.4087774751,6815.79730267196,10468.2703741602,-579.208762926589,-222.325181803285,1.42857142857143,6,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,27502.6914549343,27502.6914549343,NA,0,0,0,1,4,29018.579863756,39848.3696840365,20921.4974632378,35847.1121916993,-6074.03592878642,-1783.58826752,0.818421382215379,3,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
