"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",2,0.276268649133534,0.276268649133534,0.30220506391046,0.4273825,0.197302093485743,0.189499787735849,0.507917451429392,2,1.45762565878378,1.45762565878378,0.548797015586589,0.776116182432432,-0.0120017966355531,-0.0120017966355531,1.03191489361702,2,1.1422,1.1422,1.53131044533759,2.1656,0.103830136986301,0.103830136986301,0.9125,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",9,0.288598681259632,0.286479885103295,0.125055978537174,0.0833333333333333,0.0232345577129025,0.0343518641037114,0.648975344366952,12,0.3279861496955,0.37618859844548,0.169375560069901,0.18375,0.00356389735724745,-0.00754131209103192,0.916449524347891,28,0.220332414124378,0.197452239968343,0.160372614840525,0.224,-0.0285658901044627,-0.00512709733209341,0.933069071636477,1,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",81,0.250729722001166,0.215363971246788,0.154381099373551,0.196666666666667,-0.0557371253891537,-0.0359646533945421,1.04305711178301,42,0.335717865099847,0.299141002135953,0.217022543028474,0.387820512820513,-0.0380064532722518,-0.0535041025910859,1.08,32,0.117579665117086,0.1,0.0510304026044593,0.044,0.00141129181680656,0.022014559959266,0.615453578950095,5,"2013","South Asia","Bangladesh","Lower middle income"
"Bolivia","Bolivia2010",2,0.0672981671653488,0.0672981671653488,0.0423415540574505,0.05988,0.00186697678659426,0.00187125,0.935986025316022,2,0.154269527024744,0.154269527024744,0.238136044591347,0.336775223950967,-0.114797941777259,-0.152350696549247,12.9829054104767,6,0.366108022057976,0.358491119330406,0.22880623713598,0.318114,0.182408267196051,0.234372546616186,0.0508840548912905,0,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",1,0.50099980223692,0.50099980223692,NA,0,0,0,NA,1,0.25,0.25,NA,0,0,0,1,8,0.215668296397032,0.149564690365883,0.151643217191749,0.226177217450226,-0.0708310450353752,-0.0612403120435299,1.57894736842105,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",5,0.2,0.2,1.19807634579707e-16,0,2.94110082737586e-19,4.25879202567851e-18,1,39,0.191883406520681,0.20015818852831,0.146163764066667,0.187216414565826,-0.0431447607956531,-0.0965039127664216,0.243131407165145,21,0.138532590818951,0.125665133535212,0.0750748204386944,0.111,-0.0152831377860856,-0.0126818089861016,2.13952721295115,69,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,0.5,0.5,NA,0,0,0,1,1,0.4,0.4,NA,0,0,0,1,4,0.143296884534039,0.124057133010185,0.0825937844740203,0.121003939393939,0.0101208741955579,-0.046684424777888,1.02657442854404,4,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",3,0.225449767204395,0.233990978033233,0.212494778435681,0.281746031746032,-0.0601497482203851,-0.0791501322751323,3.02101721521756,18,0.268092420168545,0.27738853212338,0.1520830111093,0.220152901826736,-0.00102766403763329,-0.00893833885827535,1.04782825800876,34,0.233565883057364,0.218054511018353,0.145001169414241,0.185858874722897,-0.00172864364548909,0.0252250518202999,1.54691400443997,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",138,0.187187242085923,0.15,0.119965563934642,0.135294117647059,0.0317806090331268,-0.00506533987418905,1.17659493818036,1,0.1,0.1,NA,0,0,0,1,12,0.119534449787649,0.0670622151592726,0.113014876770356,0.18875,-0.0498546365799097,-0.0468019754601428,0.494268335451545,3,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",14,0.22263742527724,0.177972119643114,0.154754944881147,0.152758970886933,0.0814803763177964,0.0737557769987274,0.30746223276449,1,0.3125,0.3125,NA,0,0,0,1,18,0.175863191934523,0.184362308896344,0.0651123751271867,0.0945121951219512,-0.0352565116161125,-0.0274444208911937,2.55745809204991,17,"2010","Latin America and Caribbean","Colombia","Upper middle income"
