"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",3,3389765.03721881,79227.8488725106,5797502.44567248,10077954.6041864,-220628.234191723,-220628.234191722,0.625,2,360.716726998879,360.716726998879,318.813021946037,450.869699497236,158.255929114363,154.244897196423,3.08165538649904,1,714331625.589061,714331625.589061,NA,0,0,0,NA,1,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",15,17624.6360674336,15109.5873199044,10545.4412775144,13035.054782051,2281.58663416329,-2808.79668564125,3.29889044053846,15,31279.9113297476,28779.3182048884,14561.3100327481,17119.2603313897,2675.08014054925,-135.85810300597,1.89977509205271,12,5199.55378330381,11395.4415007044,16865.632560156,35298.8487885479,2948.31131625239,11252.0517043046,1.06344899223986,30,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",6,12758.2665555845,6014.24390128287,13712.1938121281,27706.5789555704,-4526.85735042668,-2783.89392776365,0.357677000918557,1,7899.19614381749,7899.19614381749,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,5,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",6,1745.90625147962,1572.40273413704,912.654144515021,1567.97644359196,498.145928142543,592.780059236441,1.19049493084051,3,6525.27424237397,7035.89603488692,3120.05865965059,1293.09500947209,33.7313557114726,-98.445871009136,1.06274020955982,19,2429.71551962264,2464.44471816814,1652.30524325782,2481.30952352936,489.336388373171,445.422581063714,2.86829437398894,3,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",3,50928.5892315559,11923.7966639191,86600.4236340335,158944.110645073,-28087.6993542949,-32136.6789652246,0.500684721979735,4,27749.7311817777,16210.0964961802,32521.3180652908,60217.97885858,-17411.8943078206,-12964.4855489377,0.651117111525135,1,23194.7742499623,23194.7742499623,NA,0,0,0,1,5,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,3,7500.97115969648,7966.6482829139,3032.59440705182,1857.71360313244,-887.318152405494,12.4277046859802,0.586732737011084,2,4805.45446507392,4805.45446507392,6100.66194241724,8627.63885841985,1312.90156541172,1312.90156541172,1.4375,1,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",1,25974.2467659036,25974.2467659036,NA,0,0,0,1,1,60652.0682528545,60652.0682528545,NA,0,0,0,1,6,63491.4833171682,68996.3028444201,40186.5105948737,28740.2758190455,-737.706579825146,3242.16099724084,0.96131794668249,11,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",NA,NA,NA,NA,NA,NA,NA,NA,6,17729.9155218591,10639.0033321788,18941.9203543612,20071.6451195301,-4382.37787117063,-4412.13229165157,0.362136753620843,3,14376.7177261089,9873.95999282402,17302.0917002043,28906.2066554858,4612.71659563217,4494.80233589791,1.18111829968948,2,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",5,29444.9366495813,24569.5313702503,26596.0275569595,51432.9581235925,23981.4363623726,20046.1983910799,1.90993988081921,14,49580.860503912,38466.5998840868,46518.3486513526,29357.8888659827,-4894.57236916752,-3564.00411738949,12.0106537831249,35,25080.2186667641,16120.4581853561,26687.3336995729,34474.8587307636,-2028.84888513042,-1095.34811994645,0.527409286683064,50,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,4508.62241608031,4508.62241608031,NA,0,0,0,1,4,26044.3436982831,18133.3810197384,24884.7986391437,45565.9908766459,-8046.7484218692,-5857.68153240562,2.31552212057832,3,70731.2385197722,70336.8138291331,72544.480119254,103318.921463166,2646.32091142018,7126.51331225044,1.0550671864199,2,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",2,39202.6178902077,39202.6178902077,50507.2386183165,71428.0218520373,19841.1171811215,19841.1171811215,2.25,3,23640.6418956183,23858.693187721,10571.7520570265,12423.8860232468,-8697.87657192795,-5961.19508955902,0.284973196013053,1,3076.26455306219,3076.26455306219,NA,0,0,0,1,5,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
