"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Non-exporter","mean_Non-exporter","median_Non-exporter","sd_Non-exporter","iqr_Non-exporter","OPcov_Non-exporter","OPcovNoWeights_Non-exporter","indAlloc_Non-exporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,183,2.41678454701695,2.22658196190963,1.48335415325421,2.27301531604372,0.268846158521127,0.271739764683587,1.87484456981298,234,3.08600871728526,2.96401303268038,1.55228405364114,2.14507120448759,0.069305152756844,-0.624311021003748,3.05388772768681,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",NA,NA,NA,NA,NA,NA,NA,NA,0,11,1.28547951403069,1.24825069501293,0.372005509961893,0.391512403414275,0.0534173089598393,0.0731265482674831,0.21,5,1.65472685344125,1.12791596096839,0.923819155711807,0.812760472222923,-0.0164649287455071,-0.00655243400414259,1.2,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,759,2.41678813888664,2.313746965555,1.25347271774019,1.7333959595783,0.2788903307339,0.284513940198,0.966972800111791,309,3.39290072304547,3.41187174504639,1.21143667038347,1.65986559830419,0.279256137112565,-0.00231893312358792,0.977413239445385,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,0,18,2.10926012267016,2.12129786149795,0.421352736091062,0.461502008934097,-0.0222034362362397,-0.00123902621082128,0.800953895880695,7,2.33991568963589,2.35947931396025,0.43685587974534,0.425321283385826,0.086863009187553,0.0973505952078959,1.48303871824305,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,0,14,2.5231424309259,2.76130473871366,0.667349678029263,0.961595249518112,-0.0308929007067276,-0.0300737532052258,0.878863048229456,2,2.94388713259815,2.94388713259815,0.395602756870976,0.55946678407912,-0.0382683485845174,-0.0399619131485086,0.893565952099522,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,0,9,3.62256371746701,3.74331349720258,1.0761937968917,1.14739794527295,0.0559724960359122,0.356406309413879,1.03958457755114,10,2.78834458995777,2.80776229178003,0.559471937801861,0.740263607595887,0.242436018420675,0.116870821881446,3.12232868708328,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,14,758,2.12938613583413,2.03304138608322,1.23492478748017,1.2128723266833,0.0401163960504178,0.671863026908415,0.9375,261,2.18749279181272,2.10406446041613,1.27866106398683,1.48218397797369,0.476070790967638,0.474963633984786,1.23076923076923,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",NA,NA,NA,NA,NA,NA,NA,NA,0,12,3.52816146074235,3.50656324281975,0.484450810285574,0.512585620595473,-0.0646922097126433,-0.0500439360180946,0.652848142587729,3,4.19201922297628,3.99931764820322,0.554047465872916,1.00526667207902,-0.0472596040370741,-0.0414717123217387,0.692025213743421,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,0,9,2.39211688741161,2.56343031679948,1.03634314871988,1.64674719113659,0.220645997686959,0.24382720179052,0.945114866013233,9,3.13878653850831,2.93462427810133,1.37866971131663,1.65877374064918,-0.159592749734985,-0.247933670687788,0.152078145993994,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,368,3.9280193857423,3.18429971932822,2.39274089511108,4.3756007556536,0.576427967448364,0.0947285839383894,1.38240686891515,190,4.27868678974798,3.14442638317957,2.69975491315376,4.31786706198456,-0.522981505087837,-0.29685522021918,1.1528600443304,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",11,2.71893622045743,3.16289914546261,1.03630356944108,1.64643266262934,-0.224113532926103,-0.240942870352833,2.5,0,848,2.36712896734505,2.18876826981954,1.70752680841906,1.85126327418739,-0.275281696336929,-0.508279743305515,1.77777777777778,402,2.57263712159904,2.28403656991532,2.35861019239984,2.97866172342553,0.246224885804911,0.331270230501516,3.1171284761738,"2012","East Asia and Pacific","China","Upper middle income"
