"countryOnly","country","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","outliersOut","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,43948.1612898556,43948.1612898556,10138.1919782523,14337.5685935865,3009.1254488375,3104.59162459549,1.39464805718839,1,128787.585232771,128787.585232771,NA,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",3,411780.689669799,5794.05732859343,679775.602253719,1155914.81524717,110097.256777313,112914.922521059,1.04620934847051,3,118546.43375345,114559.968127763,102583.555432656,139375.683874841,-3019.98092713717,8023.64041630525,2.76859200427801,4,13,2470.80795471962,1858.34245166454,2227.96185863979,638.80521775968,-48.7923610209642,-182.090331802295,0.762832929250554,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",42,56860.9406578445,28966.3164761552,63782.7918234927,52574.0722132038,7546.68602797776,7242.91017157313,1.13233405307776,1,125626.25255358,125626.25255358,NA,0,0,0,1,63,1,33416.5831792522,33416.5831792522,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",2,65971.8432159922,65971.8432159922,7155.62152742955,10119.5770112998,2520.11453686996,2586.11412510994,2.09441887404896,1,85034.2628007039,85034.2628007039,NA,0,0,0,1,1,1,27430.4073550658,27430.4073550658,Inf,0,0,0,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",47,37013.9733473666,42203.0284843749,14025.7754745697,13107.3206500085,1517.81224895987,854.582325742392,1.38731648547694,64,83755.7507781933,67409.0776286155,61748.8480763186,103360.58569721,16736.673420696,28037.2584238227,0.651240940065615,6,10,40570.3193704171,28310.5523798885,28482.2714640854,22969.0190438246,-2358.76199896074,-1363.63687840141,0.979733566651851,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,32900.832941524,38920.3151876562,17054.9718073227,31000.9808879936,7373.52029363447,6612.98338018777,2.5,3,78841.9818900777,78908.6457293372,51018.7544136383,67956.1058832092,-2982.57653413658,-3277.02084023051,0.860431475290553,1,1,28044.0867580229,28044.0867580229,NA,0,0,0,1,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Djibouti","Djibouti2013",1,77574.8353884276,77574.8353884276,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2170728.82433507,571027.245162425,2674643.25149115,5150434.07092685,-1631596.27327863,-1493882.83950862,NA,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Egypt","Egypt2013",1,141300.620317102,141300.620317102,NA,0,0,0,1,5,168581.096286614,125014.575912024,161642.727682833,218100.124137602,5372.57155509059,4014.0857151197,1.2856967015531,4,10,40923.6904692179,19778.2709640364,37418.419111927,47410.0765537646,-2366.62373099512,470.054503817865,1.00427290975217,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",256,28639.2466428312,17962.7393960742,27534.7013687415,31176.6777375333,-411.935528089896,226.453245256357,1.02149463939972,155,31058.1632310613,19886.5507535749,31930.2827338401,27740.2873508787,-552.466627786888,-3183.39608804882,0.691403950512367,35,104,23923.6225645263,21317.3864872022,17625.4942236002,14655.7032099515,111.771184338028,988.022165347076,1.33333333333333,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,4,56782.1288183155,63025.7162513056,26059.3053081096,14909.7497851271,3028.47313671847,604.377357361399,1.14807537469077,1,1,2273.17207898244,2273.17207898244,NA,0,0,0,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",2,16052.4174554525,16052.4174554525,50.8040928573809,0,-15.2930900942009,-16.3290538961296,NA,3,20574.796395895,21815.2354069333,8021.66432262103,11397.066833546,-1666.67879158447,-1583.85455872187,0.8294888657744,7,3,2941.69304699982,1891.15562089753,2928.62378084395,839.962515204889,363.234450417782,437.44988596607,0.960720057581031,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Pakistan","Pakistan2013",3,13606.4481192613,7251.14404186144,27292.9505492896,0,10896.1850937317,15314.5637260195,0.821221316109979,2,28399.2666161199,28399.2666161199,28517.0428314431,40329.1887310013,9175.43977195511,13540.2203952311,3.8291804641384,17,2,21402.0199207677,21402.0199207677,32394.000244333,45812.0344850532,-9793.66916798118,-12334.0092844374,0.750758597928315,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",1,25495.1311773447,25495.1311773447,NA,0,0,0,1,2,28778.491398275,28778.491398275,21914.8099908112,30992.2215058346,-3099.22215058346,-3099.22215058346,0.833333333333333,1,3,73458.9440691865,44938.7211834602,76853.4542227355,145552.754572045,-1352.220140701,-1352.220140701,1.2,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",4,21732.0644821741,16034.3652784155,15330.3822542808,11504.2308809859,2021.10806077896,1810.51883091289,1.14492975292696,2,58813.2904565795,58813.2904565795,7787.10165335349,11012.6247697505,-786.616054982176,-786.616054982176,0.875,3,3,212513.35371426,212581.394888292,251879.07918853,293028.767172807,-70131.6234603006,-82743.4761576014,0.834409014718668,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",5,11296.8018391559,10671.4486215557,4359.09574857915,4879.59978244671,-123.077810130003,259.427122034951,0.87790965078326,1,127799.041921223,127799.041921223,NA,0,0,0,1,2,6,211223.89262671,226543.295219793,158919.173366159,306717.700610936,22775.3691962829,11572.7654118403,1.04767304419504,"2012","Europe and Central Asia","Russian Federation","High income"
