"countryOnly","country","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",9,4298.14840047921,5288.9404085202,4499.623803107,8123.22259372329,-815.54364984621,-485.458617362941,1.25,26,9131.17527343119,7290.15412270594,7711.28130313187,10902.573134055,-955.263349773637,-412.277375783911,1.00139447984744,12,6531.8476596823,7416.04153317137,4717.8574275506,7816.0170847243,-484.020240844683,-472.690994069469,0.8,4,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",9,9579.84368988939,10547.9188956514,3374.19622344779,5775.15522405911,-768.125679663242,-646.248601671586,0.625,32,25420.1856883533,15573.3062086918,24654.9748997295,26163.4939175133,972.553423185902,3352.07215668317,0.944117004411667,56,26487.315052685,15881.5600683556,27989.8186328953,25582.0829415686,-976.713041486697,-1421.12924092587,0.95979037594594,8,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",21,14516.3440470271,698.159355133173,26235.110505015,11755.9566450213,3445.87056199299,2780.56131178525,0.947502165676172,29,9857.92177464665,1686.79613725851,19327.3079607802,12343.2408413153,-3042.73103725255,-3033.21782669189,0.403753921639494,58,207834.108949393,14235.8665509697,479728.131724805,141553.336456786,-20347.0940163909,-14265.9310778835,0.928145664393153,22,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",NA,NA,NA,NA,NA,NA,NA,NA,6,81971.3893787968,63492.0634920635,44690.6862490661,80834.8030570253,1744.55797351421,1744.5579735142,0.591666666666667,25,41095.7030623697,37037.037037037,26464.1883199781,29320.987654321,-2158.29403762446,-2158.29403762446,1,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",234,127897.535874988,106554.944465229,86198.2881137228,94178.3567608485,33356.1522193259,18713.43777962,1.55346062261356,277,72574.7877158088,57652.0829311408,48460.7086389798,60046.7676421335,1814.60924005168,2795.09958047601,1.12730622350715,196,44628.2899746218,44825.4530274454,27979.7874744717,33897.4066636949,15.4038979304365,374.120263474563,0.769230769230769,29,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",11,14396.8073310634,12631.543203425,7207.50899121198,7075.33408357374,-361.207474713065,598.635846817908,1.38146817343987,33,16396.4778791666,9010.70318524451,14523.9535597659,18807.6098662321,14.032727946936,557.120116137077,0.776545952544625,34,16122.8634968959,15590.5187049029,10882.4249176268,14291.3088128277,327.315615898199,-25.9861035926504,1.01737318074653,2,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",6,13823.1524825696,12187.5039826792,11879.3391785759,14495.1607384841,-5598.99734611203,-7080.53585331194,NA,47,16726.6970274596,10911.2897800749,14702.5803117868,15977.793382297,1042.21373284023,671.52535243951,1.01473571650234,31,12407.7753615678,8988.4207520502,9279.86793550477,6993.66427499092,-557.723974294291,-549.568137224479,1.0465664613031,5,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",NA,NA,NA,NA,NA,NA,NA,NA,12,122209.333166244,131064.676616915,91345.0758344892,164000,-12917.3463385816,-12819.5252652261,1.07692307692308,18,62413.3724390919,50000,48557.5035808479,51428.5714285714,-1826.6320681932,-1553.94962226128,1.41818181818182,7,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",330,7932.36438862491,6856.80533664846,6373.46845995628,6228.93585962009,-778.445816140939,-632.057585395774,1.06540998394159,389,7876.91622206325,5049.84361865365,8002.07172301941,6823.60118970574,305.123050919622,414.26601177761,1.19207708670114,307,6205.97408883477,3871.54677430113,5906.82931042349,6271.90577436783,73.7856611073611,-35.9792369887441,0.981780084133726,118,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",11,95925.2172799081,49347.7984718564,95037.1977386337,94237.8251424501,-222.672493313628,-1058.74290013623,1.39473683824169,32,49501.3789796246,47902.0979020979,23531.0073782294,22852.3666666667,890.504378473503,890.504378473503,1.44230769230769,22,55660.5257116621,50000,37102.9357846349,36458.3333333333,6887.32117829008,6887.32117829008,1.6,3,"2010","Latin America and Caribbean","Barbados","High income"
