"countryOnly","country","N_Do not export","mean_Do not export","median_Do not export","sd_Do not export","iqr_Do not export","OPcov_Do not export","OPcovNoWeights_Do not export","indAlloc_Do not export","N_Export","mean_Export","median_Export","sd_Export","iqr_Export","OPcov_Export","OPcovNoWeights_Export","indAlloc_Export","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",40,7674.34531635023,5580.18192460722,6958.32622344872,10009.6899894557,-2091.49630440243,-1263.69084107591,0.222673178971662,9,34644.7641588001,8651.32668790837,53768.2755779147,47001.2155229201,-10723.0179976738,-5383.87540873473,0.789615659186397,2,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",72,24518.4702211573,15078.2882515729,24194.1806118455,24362.3838289889,-4298.33959399572,-6287.66711389849,1.40403409439235,27,26265.4830825339,11787.5605441585,31400.6511479967,20892.034402281,-3488.5089240728,519.941577499908,1.24304823752427,6,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",98,81441.8385428749,5248.4517280982,174305.077606745,69857.4907189333,-8839.24902177549,-12088.1230565669,0.243770670101084,10,14946.0475676396,629.954264470451,27068.9445823318,11634.9259671741,14424.3961875258,11813.0234386029,0.45721413999362,22,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",23,35102.2235414772,34973.5453892748,17450.1958958056,24691.3580246913,3696.28069016096,3847.05036245628,1,8,86932.1401353929,78710.2738296252,40378.3413764721,73456.7901234568,25402.0547024386,25883.761300428,1.72605047299022,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",325,59931.0735229042,46074.0396647732,45902.5007717955,57275.9787539672,17817.4942139211,42223.0652188005,1.53846153846154,391,99609.4472843836,64527.0873609281,86660.2246766719,76367.9716719567,52714.4278602511,33509.018042143,3.56793755855161,20,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",59,17062.9418241278,13873.0237173814,12031.4835740947,17446.5328364391,-682.568082932604,466.784156680872,0.442174695280424,18,11199.7092063382,10823.809499644,7899.88406999816,14527.2349872593,2224.29957941467,2531.64055526827,12.752782830064,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",81,14706.7402075999,9805.54991132749,12603.7333941522,11314.1936541547,-704.63608044083,-2062.56572563352,1.18067035286883,4,37594.2742276551,27775.8181415782,39523.0213335539,36420.6139563593,-21124.916691078,-21459.3591975972,0.292768105702461,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",27,100614.261777797,64527.2875,89042.7037233507,148571.428571429,15721.50414577,1981.35766052559,1.75438596491228,10,427147.628330084,90044.4444444445,571396.849947794,743684.210526316,195107.912149337,68501.4584654407,1.27906976744186,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",738,6367.91011731412,4255.11959010949,5849.37866680241,5662.1371574154,-573.58428839582,724.726713344711,1.22222222222222,279,9125.44200081715,7259.15020181462,7475.19951143024,7300.63106011074,-1629.66073813352,-1412.59209290086,1.05276261209762,127,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",23,45034.7954368703,50000,17578.7271903852,27083.3333333333,2828.28970494829,1011.79882423456,2,44,79034.6516253371,54967.632583446,69435.7666570297,75000,2591.41214864905,10281.7535425274,1.08881144639187,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
