"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",3,10966.1896306183,11669.3878165223,7419.75817962539,7274.91405672718,-975.583779780976,-1043.09774940402,1.00957448278132,3,50699.4162753088,33195.2421756739,48921.7459822298,93027.7409543427,12113.0865812578,12113.0865812578,1,7,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",8,8584.64551521077,6308.37205929589,11794.2733485427,11725.3210130393,1207.33290348182,-3947.44554718896,27.79801233034,4,21347.8898830877,17830.5029271403,17162.9382782238,26215.9024431248,2552.45653946468,916.90586919421,1.5719957958327,2,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",1,44057.1267705404,44057.1267705404,NA,0,0,0,1,2,21193.601845491,21193.601845491,9711.02405927444,13733.4619291573,1221.32190240084,1211.77605257271,1.19642310745739,18,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",1,108761.565162836,108761.565162836,NA,0,0,0,1,2,34530.4185043775,34530.4185043775,11016.3114137815,15579.4170086953,-2510.14326084066,-3609.86491664892,0.814389481994843,2,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",58,21651.5405308241,18292.911769719,12820.5083403494,20129.099569656,-3166.97353821745,-3137.90428856016,0.767207008000562,28,25038.1876036616,24023.1003206693,11643.9570072467,14520.5243897929,1716.52837077591,5039.37005762445,0.363903733130176,18,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",1,10438.0338235136,10438.0338235136,NA,0,0,0,1,8,6954.78974123788,1219.87004390414,11316.1572722296,13546.9166145285,-4980.19843475406,-6648.39218623986,0.627638764761984,43,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",287,10136.582132901,7177.52855287493,9128.20947825089,10552.1063111651,397.795085816689,-69.4841115693778,1.16666666666667,70,12727.222679578,10222.849900554,9124.12033754774,6234.89143528817,452.338845293014,-447.602854525658,0.723928207020159,194,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",1,4762.8367369156,4762.8367369156,NA,0,0,0,1,1,12553.1056978779,12553.1056978779,Inf,0,0,0,1,5,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",1,12623.0195585097,12623.0195585097,NA,0,0,0,1,1,11398.7133137044,11398.7133137044,NA,0,0,0,1,5,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Kenya","Kenya2013",2,41945.2191642301,41945.2191642301,50461.1955392942,71362.9071052305,31013.299451562,33919.4064635972,21.9705925251035,4,132920.578043697,129650.04285328,88968.7505562073,113084.518623128,-36101.2732156537,-12628.8581120758,4.47559261257491,4,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",12,31397.1925243,31099.4607813178,22851.9325559299,31393.1871705834,10825.3186268689,17181.9210978231,21.1854076106827,6,33124.0728366307,26691.0402781342,13681.2966775973,29325.2264340382,3765.76956127554,7632.08164348096,0.563727270473133,1,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",7,32742.1477014848,2960.80661902825,49050.8967225384,76614.2486840521,-561.194065516925,-5341.22939347635,1.20011801509837,1,5245.25810364231,5245.25810364231,NA,0,0,0,1,0,"2013","South Asia","Nepal","Low income"
"Pakistan","Pakistan2013",3,-20111.6734853649,-19216.1734598356,19112.4845287019,27397.3931724338,-2880.75408402398,-4260.39088208337,0.954158859022223,NA,NA,NA,NA,NA,NA,NA,NA,15,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",3,10692.1967788154,7922.96955858113,8170.91454715345,16038.4746292694,-93.3550742602694,-336.946972215567,0.671794378149798,5,19326.0136793652,12048.1212213154,19201.6995545562,18233.3046799431,16165.6084641251,28502.4319924545,1.46153846153846,6,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",30,8543.73506715928,5381.11493657247,10288.6014257693,10766.6202630628,2595.13138287571,2551.16457991096,0.765910317569419,40,14934.2373437317,15576.1398358832,19799.7697142589,17065.356952669,3771.66397991005,3906.68965008522,1.04809654899941,35,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",30,15872.386882779,9782.93013295732,13631.1271408755,13743.4108598529,5255.48405787691,3515.47682201796,0.365327187556622,11,18573.1411128812,16061.7211757974,13162.0201380941,13263.216932479,-3615.49021887232,-2273.34193436647,0.971010043041766,65,"2012","Europe and Central Asia","Russian Federation","High income"
"Serbia","Serbia2013",NA,NA,NA,NA,NA,NA,NA,NA,6,65399.6260054125,78191.9532979258,46439.8322095276,62126.1938900804,15675.0569874823,4934.196974378,11.9774731612921,0,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Sweden","Sweden2014",2,95061.8385062806,95061.8385062806,25980.3119268327,36741.7094816103,11854.7494239188,10745.2169238672,1.99541672722621,7,134199.105378818,142625.32718245,26029.3145555511,33743.5132043104,-2105.90627859873,3493.22757500182,0.762879517456648,3,"2014","Europe and Central Asia","Sweden","High income"
"Tunisia","Tunisia2013",4,25824.3958497014,6014.31236262543,39191.7461170653,77324.3846684523,5600.95069521246,5130.59559481941,0.837984624705865,5,25938.7370932642,13342.9411764374,33273.1634416883,40320.0218923443,5260.68033094893,1512.47414487511,1.05875979333097,4,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Vietnam","Vietnam2009",3,4052.20330167744,3981.46271324545,2796.53610881073,3399.76941914475,14.2244963606961,-1948.28028627151,1.13901366516917,8,24073.1609430995,27714.3198340552,13517.5543532544,17561.8695625671,958.889352389914,-3605.10815876937,0.523871573823072,7,"2009","East Asia and Pacific","Vietnam","Lower middle income"
