"countryOnly","country","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",5,36457.1015668271,26994.6968878872,23503.8300709564,39274.8928360432,-2338.97912836613,-1855.07969541253,0.377401548207309,1,15004.875571497,15004.875571497,NA,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",6,2995564.7958229,1449675.50407695,4194652.91084962,4008270.49660797,-32562.2396976834,-32562.2396976835,1.75,1,782.361876508764,782.361876508764,NA,0,0,0,1,1,1,865704.071493772,865704.071493772,NA,0,0,0,1,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",12,10851.1062473043,8287.34599739949,7902.54839680764,16454.0737907799,-1281.58287701021,-933.386387867521,0.955723718513533,6,12272.1735416419,8162.31412412699,12135.5201034174,17034.805806925,691.167002877272,717.033316252083,1.02509143697142,0,1,1022.0883484155,1022.0883484155,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",4,8930.2065751853,8962.52293332731,2241.66023217215,3210.40252863717,210.206804606226,663.862351011085,1.13120504505013,2,1627.6936702483,1627.6936702483,495.167174445414,700.272133742669,-75.0187510474555,-97.4605546961447,0.865989542932913,7,1,7278.8720945774,7278.8720945774,NA,0,0,0,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",12,7507.42700795655,8607.2700282698,4008.19553986291,5350.0796985665,-357.013250278068,-596.674900762655,0.850207913234913,3,15959.9115125715,15131.5385414002,3579.42665484742,7313.57696167676,190.537853821404,252.192309023336,1.57426380839809,1,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",11,49224.7442767822,45140.1327191405,21407.583210613,19778.8003257138,972.103764010161,3558.18537234325,1.04591537937166,10,164025.071402208,48860.6545397674,205973.265116392,401762.192558751,-36323.6676178957,-6271.32468945645,0.851472024031579,3,1,26732.0928625797,26732.0928625797,NA,0,0,0,1,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",1,5035.61253561254,5035.61253561254,NA,0,0,0,1,1,10071.2250712251,10071.2250712251,NA,0,0,0,1,3,1,19943.0199430199,19943.0199430199,NA,0,0,0,1,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Brazil","Brazil2009",9,7120.15562991176,5744.09269892857,9620.11182989661,10777.5423256519,-1312.07170738451,517.634785782423,0.610980623271215,5,24209.4679354644,24814.0861157396,4963.8821785651,6664.80329336886,864.626942950202,183.939099926745,1.22096290766539,3,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,16154.5615644342,15387.1368353905,5132.56101150001,9711.15667969526,-179.676226133394,-128.057276310911,1,1,19662.634447077,19662.634447077,NA,0,0,0,1,1,1,39895.2003274026,39895.2003274026,NA,0,0,0,1,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",4,5371.5608866236,4166.73042866052,3448.08444885124,6689.6226732658,389.073141921205,296.969230822548,0.941451237761457,5,1627631.49691398,26495.8378153541,2430850.05431967,4400570.25081646,-445576.145217259,-293618.469405609,1.09146506008347,0,3,16054.6130323275,10288.9790648895,16858.5927887833,33687.8739103758,885.660448286173,1010.1296883976,1.01941747572816,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
