"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",8,0.15908046869086,0.167428468441562,0.0654991996457391,0.0677777777777778,-0.0174878464031805,-0.000564826093952753,1.49451818645466,1,0.549019607843137,0.549019607843137,NA,0,0,0,1,4,0.502632393018992,0.576982223955523,0.289127172692683,0.494773519163763,-0.0314451420338844,0.00928280087578866,1.29542759189898,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",4,0.167901060070671,0.106802120141343,0.196931828721275,0.175296819787986,-0.061730035335689,-0.061730035335689,0.96875,NA,NA,NA,NA,NA,NA,NA,NA,2,0.133610961515467,0.133610961515467,0.171819230319721,0.242989085794655,-0.0216074294205975,-0.0214402134524696,1.19300163710801,0,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",6,0.190828986145861,0.19992996955861,0.0644034267895939,0.108333333333333,-0.0138897073548424,-0.0142279603547209,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.203047619047619,0.203047619047619,0.0495648181860285,0.0700952380952381,0,0,1,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.346666666666667,0.346666666666667,NA,0,0,0,NA,4,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",3,0.0217956210921348,0.0225437130319559,0.00984117654148968,0.01,0.000814213712423982,0.00101190476190476,0.906796412899449,NA,NA,NA,NA,NA,NA,NA,NA,2,0.0143333333333333,0.0143333333333333,0.00329983164553722,0.00466666666666667,-6.30630630630632e-05,-6.3063063063063e-05,1.02777777777778,1,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",3,0.385127933189044,0.4,0.0310366972035533,0.0562500000000001,0.0104807006944618,0.0103280141843972,0.981798922859067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",30,0.292082334369445,0.273605458936663,0.196804464729456,0.288383838383838,-0.186948097178249,-0.19770251967126,2.13254327849379,8,0.204345180222015,0.217531368602603,0.0884602394674434,0.141077441077441,4.51596954821318e-05,0.00567407683070972,2.31620076824327,50,0.193450976728028,0.139952274442296,0.179081624589513,0.225714285714286,-0.0619003911437734,-0.0451344367444057,0.916497503679208,0,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,0.336724659775817,0.335426122307974,0.0915572913166088,0.15,0.00907394808364892,0.0159941983122363,0.255787360621,1,0.2,0.2,NA,0,0,0,1,3,0.285222092471822,0.272727272727273,0.256404435568738,0.425925925925926,0.0122508188486114,0.000398902005327708,0.866970910815063,0,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",3,0.142773071078102,0.146111657646864,0.0431524566254358,0.0554299806829641,0.0129236828661994,0.00822692120043367,0.91963810298181,1,0.42,0.42,NA,5.55111512312578e-17,0,0,1,1,0.8,0.8,Inf,0,0,0,1,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",2,0.220265151515151,0.220265151515152,0.0715142085518213,0.101136363636364,-0.00561868686868687,-0.00561868686868687,1.125,NA,NA,NA,NA,NA,NA,NA,NA,10,0.209050533344639,0.200397456616956,0.0581505800193174,0.057936507936508,0.00723701972486037,0.00990391785050073,NA,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",3,0.0811878841016896,0.0859005571329602,0.0379046546551601,0.0293333333333333,-0.0305818330750751,-0.0273131313131313,1,1,0.716666666666667,0.716666666666667,NA,0,0,0,1,6,0.276360707510012,0.272245335561229,0.137554463280571,0.262682522371275,-0.0883526650102627,-0.0871621410449299,1.13141599960791,0,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",5,0.224657305598077,0.24148088848866,0.0469811700414692,0.0580048076923077,0.0176395459130761,0.0104784907253943,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.225,0.225,NA,0,0,0,1,0,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",6,0.216652444229238,0.232185600293216,0.129814257352843,0.24,-0.0296981398763865,-0.042463768115942,1.55396852439515,NA,NA,NA,NA,NA,NA,NA,NA,2,0.166744444444444,0.166744444444444,0.188451813928228,0.266511111111111,-0.0229750957854406,-0.0229750957854406,1.20833333333333,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
