"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,26,2.63459851411973,2.59534470849896,0.538408839605303,0.707932644108721,0.0574417960555789,0.078156832512923,1.72863166393188,23,2.68954396829133,2.58596101279595,0.896935716080184,1.35599629717634,-0.100484665934382,-0.0719989094260684,0.73324383057336,13,2.79331614443096,2.50878813750303,0.622893668779806,1.12052876354403,0.00026496996266764,0.0482226673007606,1.05244343843829,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,25,3.4791512196236,3.35774080439584,0.609937702743584,0.735536418656238,-0.0644348240230858,-0.0144386800567098,1.02216863093948,20,3.53023378044289,3.37715725046993,0.961263469757144,1.31682597512846,-0.0842295245032277,-0.0997775583393252,0.640428462912996,128,3.77203091930487,3.71036924077055,0.918683851984768,0.977192274923201,0.178008784623139,0.120120418138763,0.909400508493154,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,3,70,2.65619772652988,2.5746100984549,0.865452901114949,1.0541487033219,-0.0224213648636754,-0.0209937841877094,0.866976168116022,40,2.3690415212518,2.46315179546444,0.895637557991509,0.949624040753063,-0.040999272131781,-0.0753856414490464,1,24,2.77514072331534,2.64842697548734,0.920966209768006,1.01189784548493,0.434235401375602,0.938593573127809,1.65551808601984,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,11,19,2.89717337047727,3.0595594693536,0.773503512148542,1.25149728927892,-0.0159958752598068,-0.0251195485781944,0.960423969041941,NA,NA,NA,NA,NA,NA,NA,NA,6,2.47340977955454,2.67246320599211,0.775919137488802,1.70757765123094,0.147705142543274,0.123643553273017,1.15518837326904,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,1,41,3.179079507909,3.18097751009997,0.433811062277824,0.55629283024536,0.000450170298708774,-0.0118411169462062,1.6797393139294,12,3.09928576999442,3.32934764692722,1.0111484966595,1.11348114719717,-0.0194266292977756,-0.0242016687686045,0.903331548533717,43,3.35268412173302,3.26776794718368,0.700451947102657,0.738842079742216,0.105602581297791,0.105660023136573,0.998940212142416,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,29,12,3.20858626668984,3.22145804073886,0.113258571509191,0,-0.000905584901737807,0.0107340668762445,0.925898294026103,28,2.90615147582815,2.75682589766849,0.728921057179525,1.13210937743716,0.114421587598845,0.102396042054719,1.40360169919311,20,3.48778029449634,3.58920608464389,0.629337056672429,0.614464109571369,0.0490697910824253,0.238395967226333,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",NA,NA,NA,NA,NA,NA,NA,NA,2,6,1.98830523481262,1.96493768593735,0.116118853520226,0.121950997083428,-0.00450361626915946,-0.00395134831791452,0.928605275672038,25,2.84548999970737,2.82080506788228,0.719746162375293,0.826747385463962,0.226252347913861,0.098856451115461,1.2,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,23,2.0275498977291,1.84646136104898,0.82909326662395,0.831288403602938,0.0272338527357645,0.0252960818849075,1.02711014828316,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,26,62,2.97669576354701,3.07351906542381,0.690900402703995,1.00734253257907,0.0734273050420402,0.0686195188186643,1.97982015994597,46,2.6410164086098,2.77466165513583,1.11464754807974,1.27138875980917,-0.0406270355629137,0.0863867328143553,0.536141250732126,19,2.54760184667122,2.54585839139741,0.121313072882419,0.117281446930662,0.0345769985061466,0.0163522709334992,1.38640931015973,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",NA,NA,NA,NA,NA,NA,NA,NA,0,2,1.66334312881913,1.66334312881913,1.15071134669378,1.62735159287095,0.112211908300731,0.116239399490782,1.1220907955902,6,2.07054063490815,2.14999243381306,0.730529940447354,0.711080004265344,0.0370294846503977,0.0487796911192987,1.09644423319988,7,2.10050291924637,1.91068259080048,0.801276106316707,1.36658123144021,-0.245480484467646,-0.172214301508186,0.993340199285715,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
