"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Large","mean_Large","median_Large","sd_Large","iqr_Large","OPcov_Large","OPcovNoWeights_Large","indAlloc_Large","N_Small","mean_Small","median_Small","sd_Small","iqr_Small","OPcov_Small","OPcovNoWeights_Small","indAlloc_Small","N_Medium","mean_Medium","median_Medium","sd_Medium","iqr_Medium","OPcov_Medium","OPcovNoWeights_Medium","indAlloc_Medium","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,3,6.50340510279439,6.30559734067489,0.683830352975829,1.03927237856647,0.014517756685817,-0.0941121620188817,1.15476077466966,13,4.83421633398315,4.64993884980544,0.838217545956044,1.36060466517036,0.0462831287616997,0.204032450154599,0.926533629425395,24,6.07024186991682,5.98190186631173,0.615776307361848,1.10173280845407,-0.00933450339409627,0.0370305306834229,1.42533205892059,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,1,5,2.14167587246612,2.07833074886299,0.258361892780662,0.303605224331921,0.0159965108702583,0.0102434824336224,1.17033823939308,10,0.884769304102872,0.985758491342622,0.57162586912183,0.488476753453309,-0.00622459525525532,-0.0353001401216112,0.886368292611064,15,2.02096772598528,1.80041006550564,0.935408945050463,1.0528822754799,0.0606534458564752,-0.0336751764905831,1.07833686912162,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,1,22,1.85677932984215,1.76175426435902,0.949197831743413,1.12863728719868,0.116998589530072,0.283492850765204,1.53206044331742,6,1.71546484542234,1.35082538561681,1.35950795068649,2.61368035790284,-0.0309329211034539,-0.034773296191491,1.29912891285026,24,1.31869293144015,1.15825066827228,1.07061725284019,1.31662210474184,0.0276708126289186,0.0573774286169184,0.497709085760462,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,8,18,8.3446270529341,8.3082549850975,0.246306023142265,0.158171116537936,0.00409877576884079,-0.017800935233334,0.55726532571162,43,7.10119680792669,7.09286701801951,0.571620394284399,0.654480635797185,-0.0141065977427438,0.037086972371389,1.12334293374399,56,7.65928514889604,7.55651732056266,0.733209757063409,0.714487705454665,0.125315242437377,0.116923503689576,1.52992662126816,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,0,58,1.93971779934516,1.88371730405392,0.884667135650014,1.19120421896104,0.0147267063691223,0.0924187307632798,1.53661579378489,23,1.4112994761951,1.24596482988959,0.54200698478758,0.913126176349234,-0.0128003587433157,-0.0183047054561755,1.06666666666667,58,2.05866607748376,1.86410372841238,1.12198581263937,1.77260074004065,-0.0335964705211424,-0.0271216439458916,0.965616041312962,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,2,12,1.27426641870314,1.19093253406874,0.567164256006207,0.201433444672936,-0.0642672485540301,-0.0910898640731032,0.60761108207893,55,0.582534727497891,0.292784982391732,0.803349983406245,1.38647733038177,0.184378459204225,0.0225769013248072,1.16837064614346,36,1.37229797321565,1.33273597838638,0.516442931111365,0.449606452983353,0.0955414206405154,0.0507012411370999,1.2498213073864,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,0,4,0.910990182456143,0.743795318788156,0.486613853634843,0.976683440991565,-0.110338287658542,-0.12470245676495,0.31050076279122,12,0.233924536802398,0.139407718764044,0.57126117653328,0.898668377635765,-0.0319309862670043,-0.0471123792013408,0.771345706808326,3,1.65388839805071,1.15641841826215,1.23336954909669,2.14944019594656,-0.323949107022614,-0.309279774965074,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,13,-0.591490924447807,-0.730676034951618,0.958045033861013,0.776251137124524,0.0802160716656923,0.0809481989713506,1.07714326788072,3,0.848242732933391,0.858821719172151,1.31399534059326,1.50013156206531,-0.32321679605379,-0.247310558339934,0.759423431716311,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,38,1.44215320882091,1.47363731074384,0.600377978133047,0.626574850837356,0.0649293224033075,-0.0219789789809161,1.26737364891162,25,1.71611937359413,1.93747648332351,0.899921136593175,0.840962909484475,0.187122313022384,0.310921282942647,1.27964105936358,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,2.92946585377347,2.92946585377347,0.0524580843714434,0.0741869343742074,-0.0219112513972397,-0.0205768955267978,0.591199847758237,43,1.79050431430615,1.87706688490432,0.91926613321337,1.06711940029655,0.00375447173681997,0.00525163092367663,1,6,3.0797325988885,2.41702322716658,1.24127148502766,1.67062646365503,0.171888559998731,0.119942562306947,1.27887585407791,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,35,2.16090550360154,1.79965546749665,0.950087785184862,1.286332528932,-0.0466194607272577,-0.103640559369193,1.15269110110942,83,1.87020218244921,1.69307422645852,0.886382370860862,1.20165389458285,0.00963062095382243,0.00665611602088677,1.98575860850512,128,2.01638227457696,1.9093570066171,0.851761111209502,1.16026362562336,-0.0621059835927225,-0.0136789817586425,1.33333333333333,"2014","South Asia","India","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,32,1.14356656580876,1.12139240667999,1.18344635875917,1.88357577085649,-0.205485875282705,-0.160707282774688,0.904840885384987,3,2.17885071290922,2.08887626642343,0.405461590921314,0.6901506644693,-0.00368946379309182,-0.00592798938222058,1,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,2,55,1.59518554050865,1.39568634564234,0.91705015991346,1.23553810397898,0.0949385389132311,0.137341466902796,1.00811337509719,55,1.19572080233407,0.950754153825848,0.721361537849053,1.07751196281454,0.021386049388316,0.0442309438210265,1.50403287222325,40,1.25283504862107,1.0500395999566,0.822327090055185,0.736115636424767,-0.0263578163374705,0.0242803780424331,0.453336231251032,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,11,-1.10500587615651,-1.03764099236227,0.394586325449159,0.650457650441252,0.0158306308235985,0.0110933985957944,1.37111571925761,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35,2.13193969816306,1.69366647996364,1.7551438125541,1.73473553860216,-0.173127516623879,-0.189707609310495,0.708554311082155,6,1.21805607622318,0.936992133842857,0.81752636938999,1.44694480652707,-0.0692835026988896,-0.095308988631562,0.496218586699536,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,2.28050528844809,2.26429658709894,0.938782579430772,1.50126132838239,0.0108779759331908,0.0087744374972803,0.941176470588235,3,2.46146486753887,1.81203237382134,1.71442732432769,3.00670967927799,0,0,1,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",NA,NA,NA,NA,NA,NA,NA,NA,0,13,1.72620634328676,1.63127153333534,0.731653666422259,1.05913837887272,-0.224233609575147,-0.277454259342503,0.86787359516446,40,1.25450640304058,1.11018132805469,0.830189069081815,1.0637746057282,-0.0465369286186465,-0.00608425982381436,1.21880252978349,39,1.36507756138424,1.35305318505436,0.813870998968848,1.34974501811748,-0.0357025425726828,-0.0572702290820071,0.937084936338739,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,1,6,7.76517988531067,7.89981507063043,1.10068341587736,1.58965183339739,0.5833098477436,0.703850639076972,1.95766158329684,16,6.97154257684218,7.32973693369663,1.12916709534789,1.89238825519424,0.000325699706826605,-0.0142759603849031,1.10332006782178,18,6.94286798392914,6.88565292033277,0.749730421726489,0.61162746676257,0.156880689929884,0.0363992032299457,1.90480071129202,"2012","Europe and Central Asia","Russian Federation","High income"
"Slovenia","Slovenia2013",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,5.47534539566745,5.54374554425188,0.353152356215299,0.724814571551525,-0.00324193980599851,0.114280258214112,1.20839117917705,7,6.73646817674144,5.81399339489768,2.22620726398121,4.35187463557515,-0.126292193742987,-0.15569353646014,1.01267041902966,"2013","Europe and Central Asia","Slovenia","High income"
"Sweden","Sweden2014",NA,NA,NA,NA,NA,NA,NA,NA,0,9,7.02589647448309,6.94204177036479,0.389435026460924,0.77604343618972,0.10868002756596,0.0580154150977195,1.18190473874834,26,5.71465709331041,5.65870722912441,0.425544866384946,0.659276567132032,0.165693904977022,0.10548433993289,1,52,6.57507211160929,6.50234962638766,0.516401744122522,0.703813366882333,0.0698528829029774,0.0548287069066775,1.24,"2014","Europe and Central Asia","Sweden","High income"
"Tunisia","Tunisia2013",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1.77797814312427,1.58687265535926,0.817651051093949,1.4738843818962,0.0346810471684216,0.0321726569099937,1.02308154079929,8,1.20365268838619,0.940892439309532,0.480150648410374,0.993999126901992,-0.0447016911407549,-0.032770133233206,0.712113375718189,2,0.855395816602454,0.855395816602454,0.114880604081122,0.162465708345136,-0.026233573206286,-0.0334488223063516,0.804654219858883,"2013","Middle East and North Africa","Tunisia","Upper middle income"
