"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",32,0.428118974401138,0.405123259477869,0.138956664279879,0.0856809330863342,-0.0707341326809625,-0.0927714379319399,0.600815829382935,1,-2.70893371757925,-2.70893371757925,NA,0,0,0,1,1,0.154052243804421,0.154052243804421,NA,0,0,0,NA,9,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",15,0.378232436501234,0.373446448223784,0.200439427597549,0.442721572614811,-0.0499193090457508,-0.0769756219939439,1.0702345785057,3,0.0704034181599244,0.057576251698876,0.0420320593646718,0.0730055096683622,-0.0106859531726555,-0.0103613274183912,0.988784094286564,18,0.338339201624213,0.245433281817323,0.262574881404824,0.294419621637038,-0.156380762446769,-0.152005117615152,1.41476062495675,0,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",2,0.380262796637033,0.380262796637033,0.0639720384195722,0.0904701243456117,0.0230997418701645,0.0230442769559577,0.660894308137741,1,0.449612403100775,0.449612403100775,NA,0,0,0,1,2,0.319076725108234,0.319076725108233,0.205048133374337,0.289981851157274,0.0925867156336045,0.137292292362072,0.676374006221915,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",2,0.105246319789644,0.105246319789644,0.00236963065186066,0.00335116380567635,0.000567972562953998,0.000581324333637734,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.423694559080249,0.237159847649687,0.401434414662199,0.563574488059614,-0.0728770448522256,-0.217528957551918,0.90438237208061,1,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",4,0.344508524702708,0.314563601831531,0.197044810101833,0.370744564023721,-0.0450078961648654,-0.0309757486643154,1.5680730236255,NA,NA,NA,NA,NA,NA,NA,NA,1,0.262345679012346,0.262345679012346,NA,0,0,0,1,4,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",NA,NA,NA,NA,NA,NA,NA,NA,1,0.546448087431694,0.546448087431694,NA,0,0,0,1,1,0.617940199335548,0.617940199335548,Inf,0,2.05097049423688e-32,0,1,3,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",4,0.397520173673144,0.2981670722388,0.382457400643819,0.620338376105846,-0.0771786034808688,-0.066770404286299,1.1659598661177,NA,NA,NA,NA,NA,NA,NA,NA,1,0.167077152696743,0.167077152696743,NA,0,0,0,1,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",55,0.379468146747044,0.327614279033523,0.232498630484425,0.319771806121053,-0.0769861178688743,-0.0765527154848235,1.08238439230567,NA,NA,NA,NA,NA,NA,NA,NA,14,0.323314192817131,0.343942604186062,0.226039661090515,0.366677659657019,-0.0547447672287897,-0.0718829706507016,1.03068271009443,3,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",29,0.307011251123844,0.239248576228851,0.184393354855063,0.176509025565629,0.0651545368812076,-0.0315692342616933,0.449970926520687,8,0.424104614169568,0.430690072811231,0.213291060881494,0.397840531561462,-0.0795422902430055,-0.0129131572509688,1.11611276720282,84,0.349598931142986,0.30208661206026,0.186336047498754,0.307880649674555,-0.0813666935143233,-0.0791984003033358,1.12925555265886,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",32,0.390536182549928,0.388955723714647,0.220764265730661,0.29102605537344,-0.0412932706371969,-0.0416126908427835,0.651490912909611,2,-3.62962962962965,-3.62962962962965,5.47353026918478,7.74074074074077,-0.774074074074077,-0.774074074074077,0.833333333333333,8,0.233077493110676,0.235247609562729,0.0685805129953291,0.0003370975897522,0.0319754363979599,0.0623940569018831,0.381512711173236,6,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",9,0.593241564080377,0.475956819109272,0.372722156173053,0.34183641452364,0.0616773558104566,0.073896448123712,0.710676103113574,1,0.258519388954172,0.258519388954172,NA,0,0,0,1,2,0.380487134125056,0.380487134125056,0.104094875378589,0.147212384533937,0.0277898844551585,0.0272242080987418,0.711941354895244,0,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",6,0.190170202257475,0.101375084088239,0.24843192026002,0.240970039135177,-0.165688775243621,-0.184860975006089,25.1907294815977,NA,NA,NA,NA,NA,NA,NA,NA,1,0.284023668639053,0.284023668639053,NA,0,0,0,1,3,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",4,0.461808813612396,0.506271878662131,0.157495549453934,0.187097082693955,-0.0441192479136507,-0.0891298209282091,0.814062501216625,NA,NA,NA,NA,NA,NA,NA,NA,3,0.256451155233597,0.311418685121107,0.206078664387503,0.4037409118867,-0.0322557887597678,-0.0325054800126948,0.997259572281497,0,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",3,0.21887347917987,0.220817088809437,0.130433464330703,0.148680709878132,-0.0499305617097791,-0.0251548691360281,2.46357621065253,NA,NA,NA,NA,NA,NA,NA,NA,1,0.328638497652582,0.328638497652582,NA,0,0,0,1,1,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
