"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",94,0.49231313680972,0.520663342805155,0.210612451605805,0.330866666666667,-0.121750331929633,-0.0972642918711438,1.47182937034356,94,0.49231313680972,0.520663342805155,0.210612451605805,0.330866666666667,-0.121750331929633,-0.0972642918711438,1.47182937034356,-93,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",4,0.348779113082831,0.355652907155838,0.0264972302035462,0.048421052631579,-0.0121376612886724,-0.009776999316473,0.877470788093862,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",6,0.488639411764706,0.418823529411765,0.177978242291194,0.03375,0.0573216144639674,0.034843706514864,0.440625,6,0.488639411764706,0.418823529411765,0.177978242291194,0.03375,0.0573216144639674,0.034843706514864,0.440625,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",110,0.520849576184083,0.539693493022561,0.229475129408853,0.32741935483871,-0.0849479845070745,-0.0655097968746652,4.35601856258531,110,0.520849576184083,0.539693493022561,0.229475129408853,0.32741935483871,-0.0849479845070745,-0.0655097968746652,4.35601856258531,-110,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",5,0.428341427254693,0.4,0.0443248948087928,0.08,-0.0204538027835314,-0.0133210003425831,NA,5,0.428341427254693,0.4,0.0443248948087928,0.08,-0.0204538027835314,-0.0133210003425831,NA,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",5,0.184638927453543,0.13356763211836,0.158773513479572,0.22,-0.0454051848923557,-0.00941369047619048,1.01371422337032,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,0.3960229056796,0.370306592574519,0.241480977220109,0.325,0.0914558951080891,0.0768959355604849,0.355787431869104,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",86,0.376417456068397,0.394139936108073,0.193475063595237,0.106122448979592,-0.0254112578732927,-0.0118864910887234,0.165222007102959,86,0.376417456068397,0.394139936108073,0.193475063595237,0.106122448979592,-0.0254112578732927,-0.0118864910887234,0.165222007102959,-55,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",5,0.126651649098012,0.0988728458851671,0.110807766963096,0.175307911795245,-0.0318535193986131,-0.0346955255734206,2.84434715980779,5,0.126651649098012,0.0988728458851671,0.110807766963096,0.175307911795245,-0.0318535193986131,-0.0346955255734206,2.84434715980779,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",5,0.234598841286193,0.174132715277778,0.227929148588508,0.457599700054789,0.0152695763737845,0.0426134082133062,1.99019867308454,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
