"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",7,2729361.06476338,1062615.9361425,3986335.80372558,4093191.99359622,-1359446.00029678,-1305453.77039227,0.512699104557375,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",18,5866.33079726935,3503.28452108061,5929.64768963901,7581.1080315655,-836.389038825853,-211.452057024501,2.28711521947301,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",7,3816.48141426786,4343.87544093942,1996.85036855991,3223.74446122371,-870.602493585019,-226.272432301612,0.434268542510328,6,1,8512.430947144,8512.430947144,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",14,3239.81716514557,2062.17853187677,3383.95061575313,3186.96141462245,-55.0798401917237,-184.691351538526,0.689915804405228,0,2,6487.945921005,6487.945921005,1287.52015932663,1820.82847114849,124.547337982213,130.059176510606,1.19142126946603,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",3,18951.7346188264,19027.5512196465,2375.99431796782,2809.16294481153,-642.274458306946,-1312.81764626605,0.593710519112244,13,9,13196.1445696348,13579.4298023993,3298.46578252612,6053.70519617168,-953.917311854872,-1099.52915316529,0.861008081396195,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",6,3731.88177936068,896.826350415291,6449.61621421308,9479.75701769313,1295.15219401911,2007.96315606195,1.22713818706343,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",2,2585.39065514808,2585.39065514808,627.58683853458,0,563.043333105364,402.681010300929,3.94731768946849,4,6,1138170.21914689,8618.84736537853,2168240.52424351,4385370.50933301,-312802.048133896,-431391.446681442,1.88988377672645,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",13,15828.2157385953,14428.3841320764,7807.30049029538,6917.94873494759,1574.59120068088,-729.924267408228,1.81219077790826,4,3,93889.2444765862,92689.6354359148,64870.249314645,83741.5719400567,8624.65662242457,12199.7650268128,3.73333333333333,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",8,6728.39102876051,4434.12435874461,4575.22396669935,6798.50318539594,2549.72041582685,1882.04724418957,1.13614947516857,5,2,15938.676165634,15938.676165634,4861.62325603848,6875.37354383807,419.230094136468,419.230094136468,1.13888888888889,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",8,1438.1739377434,1583.46336750375,833.451437447519,937.726729925976,401.522203150144,893.690406759448,1.10113840170095,13,1,116880.822813917,116880.822813917,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",2,44983.8476667557,44983.8476667557,26760.9650547421,37845.7197226087,19159.59535157,17085.6890009836,9.00774703390612,2,8,32727.8606933027,33004.0280590168,17675.4062861526,15880.4352450028,-11208.7614824163,-10597.1441917372,0.64212885066853,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Croatia","High income"
"Drc","Drc2013",9,2813.18118281499,2010.6530277646,2397.55216228808,3960.12848858704,-774.654261713286,-825.133944275607,0.42012808591824,3,1,266179.13140292,266179.13140292,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",46,2879.07799760364,2533.60829096635,1844.10752218378,1148.22915843303,9.95845821197342,-39.8959974068675,0.862546977847538,25,7,16983.3335791856,17875.3062456571,9389.61288470377,9179.65585472415,-3250.23090506844,-2249.12793113158,0.48231511424401,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
