"countryOnly","country","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",7,7711.57890110811,6481.84090942427,4037.17711534093,5755.96866185293,160.007983694333,696.456803788041,2.01676062990446,3,77322.8514947568,68129.8688106079,77346.2166678294,116629.515570703,-50108.3426099382,-30746.5031186578,0.552415978679946,2,7046.79227149775,7046.79227149775,1825.5002553911,2581.64721928964,240.153229701362,240.153229701362,1.22857142857143,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",24,55873.1968812033,56146.2359850062,29567.8554013493,26996.1849439801,11412.0662785725,14248.2942122909,3.84728232563403,1,38665.8799887744,38665.8799887744,NA,0,0,0,1,64,54086.4065182706,39416.9372836402,44043.7722661041,46147.4909033746,975.819935839134,3919.2374489308,1.33466493196377,6,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",74,8747.70890328716,6975.83335134548,6128.08624928588,7590.99706818333,1092.90657431986,666.779561797891,0.774734172938083,21,10177.6917652784,4014.91672830386,11853.9856252596,14518.3004036292,-4979.03712198228,-3575.42611885856,0.514308527827574,85,6610.97922252673,5342.65272805479,3966.83577226445,3702.16660292545,-989.024095684235,-575.935063235502,1.04593224421876,12,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",1,46666.6666666667,46666.6666666667,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,29166.6666666667,29166.6666666667,0,0,0,0,1,2,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",5,6800.76810057441,6257.94900676896,1347.28833605766,2501.61235997701,-298.157275409727,377.639878512056,1.06566305159119,NA,NA,NA,NA,NA,NA,NA,NA,1,10562.3632976807,10562.3632976807,Inf,0,0,0,1,6,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",1,8599.47840248427,8599.47840248427,NA,0,0,0,1,1,13483.9821350953,13483.9821350953,NA,0,0,0,NA,1,13489.3778862498,13489.3778862498,Inf,0,3.19761651929106e-28,0,1,5,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",2,12553.7654013107,12553.7654013107,692.983374093924,980.026486142695,385.42293598202,371.461652005699,NA,1,21501.9082943611,21501.9082943611,NA,0,0,0,1,2,17181.7127945892,17181.7127945892,13430.3282276647,18993.3523266857,4271.07980006452,4070.00407000407,1.60692576795268,4,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",3,5803.55201770186,5590.38857105285,5618.14493876802,11446.9861216797,-3529.11964493317,-3543.66590925607,0.202981750058373,NA,NA,NA,NA,NA,NA,NA,NA,2,8687.88250574095,8687.88250574095,9080.92327634721,12842.3648562797,-574.787521887989,-583.743857103625,0.901961515409749,3,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",48,21455.6332851619,14796.5847909193,22842.888185932,26072.2791838122,-1420.01997644968,6066.13073570752,2.57604182775802,NA,NA,NA,NA,NA,NA,NA,NA,98,32664.6649060564,25944.9875582206,30609.9111647717,41236.3342228181,14819.7021574759,7021.32186815147,0.706189499269112,16,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",6,8934.68181153332,9028.76397590571,4106.01184218653,7941.51957945833,-166.496812657388,1098.71803293472,1.30881057123862,1,5216.94091378092,5216.94091378092,NA,0,0,0,1,7,6678.92407745796,4965.09646267331,5303.34103713765,4111.27811166156,-319.479029545865,-80.3241737494931,3.25246495903571,3,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",1,9958.91225860429,9958.91225860429,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,47015.9621902556,21742.5420834758,60830.8378322133,108443.500939602,-27398.03406809,-18331.5331520646,1,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",4,4406.68031829158,4668.13281798488,871.399078505895,1114.10351437006,29.8726891632351,216.16234011978,1.08376636491635,NA,NA,NA,NA,NA,NA,NA,NA,9,4579.2355683941,2208.06071687739,4638.26024027853,8273.07966287655,-4.29990206472227,-167.521236333191,1.4,1,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
