country,countryCode,region,regionCode,incomeLevel,incomeLevelCode,countryDes
Afghanistan,AFG,South Asia,R6,Low income,LIC,Afghanistan
Albania,ALB,Europe and Central Asia,R2,Upper middle income,UMC,Albania
Angola,AGO,Sub-Saharan Africa,R7,Upper middle income,UMC,Angola
Antiguaandbarbuda,ATG,Latin America and Caribbean,R3,High income,HIC,Antigua and Barbuda
Argentina,ARG,Latin America and Caribbean,R3,High income,HIC,Argentina
Armenia,ARM,Europe and Central Asia,R2,Lower middle income,LMC,Armenia
Azerbaijan,AZE,Europe and Central Asia,R2,Upper middle income,UMC,Azerbaijan
Bahamas,BHS,Latin America and Caribbean,R3,High income,HIC,"Bahamas, The"
Bangladesh,BGD,South Asia,R6,Lower middle income,LMC,Bangladesh
Barbados,BRB,Latin America and Caribbean,R3,High income,HIC,Barbados
Belarus,BLR,Europe and Central Asia,R2,Upper middle income,UMC,Belarus
Belize,BLZ,Latin America and Caribbean,R3,Upper middle income,UMC,Belize
Bhutan,BTN,South Asia,R6,Lower middle income,LMC,Bhutan
Bih,BIH,Europe and Central Asia,R2,Upper middle income,UMC,Bosnia and Herzegovina
Bolivia,BOL,Latin America and Caribbean,R3,Lower middle income,LMC,Bolivia
Botswana,BWA,Sub-Saharan Africa,R7,Upper middle income,UMC,Botswana
Brazil,BRA,Latin America and Caribbean,R3,Upper middle income,UMC,Brazil
Bulgaria,BGR,Europe and Central Asia,R2,Upper middle income,UMC,Bulgaria
Burkinafaso,BFA,Sub-Saharan Africa,R7,Low income,LIC,Burkina Faso
Burundi,BDI,Sub-Saharan Africa,R7,Low income,LIC,Burundi
Cameroon,CMR,Sub-Saharan Africa,R7,Lower middle income,LMC,Cameroon
Chile,CHL,Latin America and Caribbean,R3,High income,HIC,Chile
China,CHN,East Asia and Pacific,R1,Upper middle income,UMC,China
Colombia,COL,Latin America and Caribbean,R3,Upper middle income,UMC,Colombia
Costarica,CRI,Latin America and Caribbean,R3,Upper middle income,UMC,Costa Rica
Cotedivoire,CIV,Sub-Saharan Africa,R7,Lower middle income,LMC,Cote d'Ivoire
Croatia,HRV,Europe and Central Asia,R2,High income,HIC,Croatia
Czech,CZE,Europe and Central Asia,R2,High income,HIC,Czech Republic
Djibouti,DJI,Middle East and North Africa,R4,Lower middle income,LMC,Djibouti
Dominica,DMA,Latin America and Caribbean,R3,Upper middle income,UMC,Dominica
Dominicanrepublic,DOM,Latin America and Caribbean,R3,Upper middle income,UMC,Dominican Republic
Drc,COD,Sub-Saharan Africa,R7,Low income,LIC,"Congo, Dem. Rep."
Ecuador,ECU,Latin America and Caribbean,R3,Upper middle income,UMC,Ecuador
Egypt,EGY,Middle East and North Africa,R4,Lower middle income,LMC,"Egypt, Arab Rep."
Elsalvador,SLV,Latin America and Caribbean,R3,Lower middle income,LMC,El Salvador
Estonia,EST,Europe and Central Asia,R2,High income,HIC,Estonia
Ethiopia,ETH,Sub-Saharan Africa,R7,Low income,LIC,Ethiopia
Fyrom,MKD,Europe and Central Asia,R2,Upper middle income,UMC,"Macedonia, FYR"
Georgia,GEO,Europe and Central Asia,R2,Lower middle income,LMC,Georgia
Ghana,GHA,Sub-Saharan Africa,R7,Lower middle income,LMC,Ghana
Grenada,GRD,Latin America and Caribbean,R3,Upper middle income,UMC,Grenada
Guatemala,GTM,Latin America and Caribbean,R3,Lower middle income,LMC,Guatemala
Guyana,GUY,Latin America and Caribbean,R3,Lower middle income,LMC,Guyana
Honduras,HND,Latin America and Caribbean,R3,Lower middle income,LMC,Honduras
Hungary,HUN,Europe and Central Asia,R2,High income,HIC,Hungary
India,IND,South Asia,R6,Lower middle income,LMC,India
Indonesia,IDN,East Asia and Pacific,R1,Lower middle income,LMC,Indonesia
Iraq,IRQ,Middle East and North Africa,R4,Upper middle income,UMC,Iraq
Israel,ISR,Middle East and North Africa,R4,High income,HIC,Israel
Jamaica,JAM,Latin America and Caribbean,R3,Upper middle income,UMC,Jamaica
Jordan,JOR,Middle East and North Africa,R4,Upper middle income,UMC,Jordan
Kazakhstan,KAZ,Europe and Central Asia,R2,Upper middle income,UMC,Kazakhstan
Kenya,KEN,Sub-Saharan Africa,R7,Lower middle income,LMC,Kenya
Kosovo,KSV,Europe and Central Asia,R2,Lower middle income,LMC,Kosovo
Kyrgyzstan,KGZ,Europe and Central Asia,R2,Lower middle income,LMC,Kyrgyz Republic
Laos,LAO,East Asia and Pacific,R1,Lower middle income,LMC,Lao PDR
Latvia,LVA,Europe and Central Asia,R2,High income,HIC,Latvia
Lebanon,LBN,Middle East and North Africa,R4,Upper middle income,UMC,Lebanon
Lithuania,LTU,Europe and Central Asia,R2,High income,HIC,Lithuania
Madagascar,MDG,Sub-Saharan Africa,R7,Low income,LIC,Madagascar
Malawi,MWI,Sub-Saharan Africa,R7,Low income,LIC,Malawi
Mali,MLI,Sub-Saharan Africa,R7,Low income,LIC,Mali
Mauritania,MRT,Sub-Saharan Africa,R7,Lower middle income,LMC,Mauritania
Mauritius,MUS,Sub-Saharan Africa,R7,Upper middle income,UMC,Mauritius
