"countryOnly","country","N_Foreign Ownership","mean_Foreign Ownership","median_Foreign Ownership","sd_Foreign Ownership","iqr_Foreign Ownership","OPcov_Foreign Ownership","OPcovNoWeights_Foreign Ownership","indAlloc_Foreign Ownership","outliersOut","N_Local Ownership","mean_Local Ownership","median_Local Ownership","sd_Local Ownership","iqr_Local Ownership","OPcov_Local Ownership","OPcovNoWeights_Local Ownership","indAlloc_Local Ownership","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",18,0.201916643551408,0.106701177707876,0.219421526327884,0.320065639395411,-0.0268687171908149,0.0996412332507519,1.68467941319535,7,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",29,0.915627227778521,0.516134270088206,1.24688894577125,1.42773739839351,-0.463989849091832,-0.453674529793122,1.23386872938583,7,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",72,0.0435206735554257,0.00498878231426642,0.0663132177558738,0.0821037316435506,0.00811604568426875,0.0098011314085532,0.294622692885149,6,29,0.0074616380380457,0.00305908107126436,0.0100363653354412,0.00909486878971357,0.00590527764338021,0.00601134777331127,0.438811736414167,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",28,0.806686559726656,0.759039593122395,0.343188027305519,0.405426042385985,-0.0380646689596193,-0.0398110921110336,1.13585436374592,1,2,0.993261455525607,0.993261455525607,0.596561785744985,0.84366576819407,0.191742220044107,0.191742220044107,0.6875,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",485,1.44907598669599,0.840274911663523,1.55456047683719,1.65408179726838,-0.0768804649514089,0.0349027546069891,0.696589787882513,16,59,1.28842978380464,0.957373872068756,1.01853420290149,0.942571658472914,-0.323754745692352,-0.386978062294574,3.17506150713016,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",61,0.727486826957737,0.554235509907682,0.81019374154709,0.887371197513211,-0.526647766222512,-0.14344939574032,0.288116273016197,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",47,0.598814628364352,0.541798039786803,0.386517356336904,0.46969696969697,0.0757111548362296,0.0698009871601334,1.00326813403897,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",27,1.04656202666516,0.9286782061369,0.47683442705438,0.509237644233976,-0.00498993261458769,-0.0266205426668919,1.2972972972973,1,6,1.0171969808261,1.03325883201154,0.22680620257749,0.413945235369449,-0.0599221217870945,-0.0475455915614431,3.14736842105263,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",1020,1.4933241473836,1.00923279758532,1.54487998448777,1.61825569862865,0.264647125319436,0.192974887278017,0.22205196594455,68,17,1.12710448242316,1.07265708306926,1.26111735125605,1.68287460384174,0.10185857129098,0.171609806754145,3.17615874482538,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",36,0.802342484111082,0.761099708874175,0.264923333026329,0.191142191142191,-0.0354764375329248,-0.0112218250598556,1.66666666666667,1,2,-4.79323151264308,-4.79323151264308,11.2861421264601,15.9610152621102,-4.85781825547929,-4.53793571177642,0.581111107782081,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",66,0.752650166997081,0.441736714038423,0.791551218407095,0.583885956602156,0.0258085978431105,0.21391497511105,1.49358831263049,7,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",68,0.877450390998236,0.674413691447301,0.607399807470824,0.602108036890645,-0.136943882069305,-0.075804305703893,2.33943241756686,2,2,0.812985602526952,0.812985602526952,0.238423548873387,0.337181816405868,-0.189727349862956,-0.150687448924747,6.69961451542132,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",68,1.3813530666761,0.724625877171399,1.72761491453872,1.89226169943659,-0.267797499531078,-0.243186862569038,1.16653481605743,3,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
