"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",9,12479.3907636717,15399.3830509711,10478.5985239008,20811.562016977,-6638.77934417171,-2190.436962053,0.242049304125466,22,7254.53479568005,8011.84679312279,4134.60613729643,6340.41020364963,-858.83894209623,1023.62797268091,1.00270724695288,16,6730.5204241598,4009.40372297003,7431.6766859756,9565.05587291432,-1207.64061561257,-1180.16475556957,0.391350664828478,4,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",28,26896.088696875,16709.3001133794,27307.5770255735,26308.8466614995,-1440.62869323979,1060.76945466295,0.445192399783759,32,39345.1136229908,25272.883616706,34660.9275618966,52340.9416984493,-9013.45627126805,-8282.50807554961,0.342392115340927,37,12106.4970698754,10940.0958048158,8806.25140778016,9948.39286784173,-181.601861586706,-947.965274382409,1.22153769325124,8,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",31,52374.7590398478,3697.48467343658,152550.593320216,26760.4462835665,5022.70201337324,4170.70623902482,1.22156270481201,29,20509.8873972311,3808.01988304374,30194.3298440127,28019.3954571907,-1249.20337353296,-1652.44295303442,0.744973190581492,47,128248.527775744,9202.74154148648,271258.138157662,93472.4740476795,3156.6072865514,-8423.35504279853,0.195350830715592,23,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",16,46904.1778743983,40382.8207116357,35051.8590232889,32848.3245149912,3307.70371918221,3539.50486418142,1.03881553249884,4,80774.3083824861,70528.2127779972,46218.8504028875,54497.3544973545,36630.584022314,36876.4172335601,2.21680678211399,11,38896.1990987335,37987.4369888003,19840.3122282869,24691.3580246913,1947.08049897092,1963.02855393764,0.890756309123777,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",207,55492.4509668674,48125.8802987968,32345.3400518182,30547.1886687825,7219.88209659478,16269.2976286787,1.43066511420375,361,102451.637575051,73504.911784405,82466.6438131797,77593.1262977097,49557.0469130537,30566.1611565757,1.2,142,59404.8319560346,44727.855717744,51393.4592244698,63525.8347264603,42661.7401592676,52091.3953739851,1,26,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",42,17344.5636875724,15785.373836503,11603.9043931062,13363.3017470596,-198.048181461021,832.050956365612,0.201570311983503,26,16872.5814988711,11743.3390125721,16079.9195925169,21826.7261868641,4117.45579044187,4277.14503055195,2.29863015895941,11,12134.1641962753,12115.566699026,5663.56665895671,6230.12930702749,-176.456093918006,1113.05014584181,1.75028833259396,1,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",4,31967.8405828858,33402.2791459957,14991.7125543889,19698.6493754347,3780.3905577993,5540.14525674415,1.84832811224894,4,12029.8268231078,13574.6884722066,6176.33137569684,11206.3427558028,2825.89621254926,2773.06941210094,3.76897093340607,76,13951.1800422681,9109.81029181663,12251.4884702736,6877.13568105263,-1582.94348141998,-2625.79536420627,0.754933111153434,5,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",4,129166.666666667,125000,113345.587572795,170833.333333333,68778.5388127854,68778.5388127854,2.25,19,96925.9330563707,74607.2875,83389.5916954421,98888.888888889,51933.6839579709,61602.4670760269,0.871111111111111,11,71859.0173395126,33000,75521.0531867507,105756.929637527,25135.2574696477,19669.0209180457,0.518518518518519,3,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",270,6850.22820898437,4955.0359943851,6526.88892246002,6529.39436142055,416.832012167321,488.354128306853,0.946780286071388,268,8286.99744356885,6322.37218374663,7134.81499535886,5575.02735499363,-1233.7397780252,-1367.78917212575,0.874206476517031,492,7161.2505595785,4977.70299553002,6766.17884971396,6321.04463727242,986.508903953449,749.567939133572,1.53333333333333,114,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",14,48581.6333272461,50682.1620233203,19880.0695251505,36458.3333333333,2179.33029665336,1548.93810956125,1.16666666666667,49,61678.1062580042,50000,49600.7012112976,41458.337962963,14261.2851932998,14611.4409479337,1.70869966127054,3,52666.6491713236,48076.9230769231,34177.5290215272,56666.6666666667,-4008.30891239328,-3247.86324786325,0.911313940543375,2,"2010","Latin America and Caribbean","Barbados","High income"
