"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,5,44,0.920569757251736,0.914233110196597,0.409243837142126,0.493064312627959,0.0895773368628949,0.103707899205794,1.27235759703352,17,0.37248251756062,0.610978275146646,0.59913163601236,0.591293375180179,0.296051508799948,0.128605574875003,5.15829886124699,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,3,-4.77033739150228,-5.00413768953777,2.42370900490587,3.96003422887519,-0.343290104494835,-0.276195319291147,0.845979265548713,24,-6.07476689561005,-6.10020403949779,0.680375558516648,0.776179250752563,-0.0956635114059464,-0.151384430546277,0.257251337216535,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,2,46,-1.34422031047433,-1.60335082916209,1.37876544908836,1.57552397992515,0.321935298812655,-0.519293736229807,2.40590820944382,83,-1.62636452032064,-1.67127768635387,1.07312929781578,1.25182973065194,-0.340897998891681,-0.404487766041749,0.306851931610341,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,8,-3.76353517415091,-3.9079396215789,0.582078026080098,0.897262167414032,0.242426747103343,0.266394286419735,13.538381705664,7,-3.78960188981776,-3.72657375659243,0.455879137303973,0.246984648358692,0.187701258814717,0.114159052294154,0.857682162265522,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,9,35,-2.9410116043416,-3.03765968769777,0.369589514926017,0.290320965787776,-0.0556190302871511,-0.25351438464232,0.743649347699994,64,-2.60033290454928,-2.91497390167459,0.874361331675696,1.27909419355664,-0.854906426647685,-1.30644589268617,0.621152313621566,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,4,6,-10.2154145838578,-10.2333538686507,0.131832692629491,0,-0.00195665523820645,-0.0714018528221567,0.510542787161587,7,-9.83471574780589,-10.1251871783433,0.653852984973685,1.00386146020682,-0.0691920687725806,-0.0529564927480342,0.825,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,34,1,-0.866997623172365,-0.866997623172365,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,59,-5.43186972469962,-5.76424725538864,0.965700956365204,0.987739406771199,-0.216283277560624,-0.164086299704545,0.376549062630582,181,-5.13765448327169,-5.30186074906741,0.894547178481526,1.09705797242456,-0.295355080121852,-0.363984618556396,0.507771726209386,"2014","South Asia","India","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,0,10,-5.57083972021637,-5.73184062197659,0.617153204953728,0.841309281622307,-0.0461338353701598,-0.182067133486431,0.548108921612637,6,-6.08539965076515,-6.19898861724149,0.35779262038706,0.352508805238205,0.0265875003205898,0.12788461198656,2.7465137720549,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,1,41,-4.05058452139908,-4.14376980275946,0.91477375882823,1.07483178540469,-0.252580534346761,-0.273036675745153,0.255944814939048,52,-3.7804763065844,-3.90590853255318,1.04623572618774,0.98986827544301,-0.3428564303056,-0.263333388292759,0.351386516061399,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,16,-7.98292214056596,-8.06633292273766,0.635220938039404,0.400447063175809,-0.10969675922596,-0.0354902020871097,1.05163928771981,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Peru","Peru2010",NA,NA,NA,NA,NA,NA,NA,NA,0,10,-2.28020536068776,-2.54218210631637,0.800397353786365,0.891432412258727,-0.484236815047838,-0.477035630363656,0.133128011965262,9,-2.1649086315864,-2.08157716533953,0.710695023056059,1.08133549493496,-0.4492696053595,-0.322234792728595,0.225926660232791,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,12,-1.05979515091302,-1.34270071835972,0.814285685668178,1.24146872854705,0.155393997444375,0.1514620523217,0.958123760086496,"2012","Europe and Central Asia","Russian Federation","High income"
"Sweden","Sweden2014",NA,NA,NA,NA,NA,NA,NA,NA,3,71,0.351468465354755,0.256656664496863,0.342582909777887,0.34205440796684,0.245927727099842,0.152515847711226,1.01804526539276,6,1.02193320959974,0.992712698389497,0.748332339521552,0.874783421387212,0.134512468027518,0.208046093275716,2.1940232389082,"2014","Europe and Central Asia","Sweden","High income"
"Ukraine","Ukraine2013",NA,NA,NA,NA,NA,NA,NA,NA,1,5,-3.43991253314138,-3.39759725182101,0.591729346747989,0.706108753929897,-0.521689165425676,-0.660579299427722,0.173023427400303,14,-2.30783899357656,-2.8775265030432,1.8694283001754,3.4899717441094,-0.635842898406611,-0.831799302429823,0.166350260485984,"2013","Europe and Central Asia","Ukraine","Lower middle income"
