"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",57,52861.187285541,46237.6698149523,34219.4280278529,53630.4631008924,19666.0175413109,16440.0354881887,2.23979013942547,1,20484.5853425953,20484.5853425953,NA,0,0,0,1,13,67324.6057669541,48137.0842066107,46805.7984756422,88597.3484648329,-7345.35643699242,5896.29715130859,0.631114663677976,39,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",3,40849.7946497946,32931.8181818182,37600.8930338072,60025.974025974,-12628.8991274066,-17016.6920851852,0.139957264957265,NA,NA,NA,NA,NA,NA,NA,NA,3,300300,230000,293337.467773893,573900,99190.8536585366,99190.8536585366,8.33333333333333,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",72,4217.36282225303,2906.72294664445,4005.30347867643,2909.4674008873,-267.624491218021,-253.097678372864,0.681297709302216,4,3388.42810282643,3775.99056592815,2108.6978421758,3077.8796855694,-384.637459487012,-547.847809223875,0.948008276394187,24,5029.80979510102,3564.75609100424,4120.60055042977,4879.63799207108,-1833.73576426503,-1756.15116616265,1.04387036879465,19,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",2,39578.1510286455,39578.1510286455,467.428073440948,661.043120894115,69.5519293569388,68.8586584264704,1.22713846099585,2,19743.3625863541,19743.3625863541,3221.70388349958,4556.17732599518,1133.78710069709,1226.66312622947,2.30917600224596,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,37623.6217804739,38101.539355505,14846.2327109816,25444.4444444444,-5375.41948191431,-4360.69230769231,0.85652529894414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",82,97930.5273343222,105809.325616082,72354.8975836885,103119.104845471,-4061.46915333652,23657.106025591,0.8709696495469,NA,NA,NA,NA,NA,NA,NA,NA,32,32790.562850372,10713.1134667446,43130.8714272753,53346.5739211414,-3125.38999463987,-4691.85978322713,1.30011215524785,23,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",1,12140.3254314183,12140.3254314183,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,28004.0298518837,25638.7514685243,20150.0309555667,30452.6058020214,-9761.9833990216,-6178.41827042969,0.961940716243848,2,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",58,78600.8293675499,39449.5299612552,75752.3060944979,112797.308645878,70335.4753528537,56187.9461725989,3.14715890035491,1,23243.5297233244,23243.5297233244,NA,0,0,0,1,2,57551.9883192966,57551.9883192966,159.017862990884,224.885218501295,-74.9617395004316,-74.9617395004316,0.6,19,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",34,24486.3943655057,18245.0770932642,19314.6491337004,24174.5358818389,-692.462594807121,-9107.63513774704,0.985520745816827,8,19867.9238440873,17928.7351784409,15254.040872001,17216.5739461143,329.735530068571,-2560.49438317692,2.38341198369822,71,36324.5366521274,21234.4478270066,29304.1397315816,48120.8082203852,-8355.63016163839,-459.33505152077,1.2499601917576,32,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,52290.899656885,52290.899656885,NA,0,0,0,1,2,133765.815688671,133765.815688671,127564.611608964,180403.603816253,57649.2873744045,71353.6641959807,5.62926957322792,27,134784.817219997,50782.6718650703,147835.510468594,247676.839090019,80464.6276142829,203233.542683836,3.82335159188879,80,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",9,25990.860091096,29921.4297218054,12889.0227403067,16816.8700871477,-975.148950723051,752.090366974183,1.94962764735181,1,8459.97189202573,8459.97189202573,NA,0,0,0,1,1,40264.8146751053,40264.8146751053,NA,0,0,0,1,9,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
