"countryOnly","country","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",8,0.230423345726132,0.149385992800591,0.191398963243995,0.294824564183159,-0.00942206905516453,-0.0168810292267194,1.61329311211664,3,1.12687648838674,1.47120442181418,2.21484832347153,3.31530803052509,0.301392767512462,0.223217588045792,1.80323069156991,5,0.0278998222272704,0.0185054867743024,0.0236478022041809,0.0440385477364411,-0.00843484851415944,-0.00935022975762839,0.994460779774032,9,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",4,0.586197007983371,0.593351315881623,0.369438626426973,0.645390070921986,-0.337845114463485,-0.338902401392615,1.2,9,5.37392085785371,1.42331097416303,7.69742794345301,15.1484012052686,1.63314514183096,2.08764121184387,0.455613659446306,15,1.76956758539858,1.34538776908052,1.79667030315528,1.97088431864906,0.177157935130163,-0.0318687362492523,0.835793224272423,8,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",4,0.000737722380759081,0.000145463380088347,0.0014854565048786,7.48032787636521e-05,0.00163530403017153,0.0016648681346439,0.103322977785208,28,0.054185295411413,0.0255214799046672,0.0550051038801478,0.10450433876299,-0.00343693584429711,-0.00292058742705226,0.403542310303265,62,0.00886128315450053,0.00233203246074534,0.016317080000701,0.00839012944973207,0.00295032461365302,0.0030550771907208,0.546408557335343,13,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",2,0.828512967980977,0.828512967980977,0.167206138160354,0.236465188298402,-0.00788217294328006,-0.00788217294328006,1.07142857142857,15,0.737259556493571,0.682632027976041,0.262971645062557,0.431349604529439,-0.0354432071329292,-0.0353084561956278,1.73367811201453,13,0.91040977427185,0.866666055801227,0.445662247679879,0.430927835051546,0.0531317614282121,0.0524774824200399,0.774354188564362,1,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",15,2.88778950434282,4.25579664451352,3.14921632102953,4.35187371706546,0.848827681110823,1.11271108565722,0.310174641576466,417,1.30021549515749,0.838357681592236,1.38695735703369,1.51961847503065,-0.150763745431888,-0.050348513752667,0.768676305253288,110,1.45814321546441,1.02149251273131,1.47380603711511,1.72975345257258,-0.280072070503631,-0.416780919976871,1.44532693664005,18,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",3,0.890230729630828,0.860258315854442,0.373550349682127,0.616918947485151,-0.206125231096195,-0.139659873849322,2.53929320504226,19,0.722158322126032,0.632039557678231,0.599949604365566,0.503026450346867,-0.0508465099546087,-0.0119148939140398,2.06814704667061,32,0.776914562030603,0.504742517010837,1.03075263472247,1.12302761341223,-0.822472940152663,-0.475225431063906,0.0750108624516536,10,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",2,0.247606812381806,0.247606812381806,0.345417223605838,0.488493722300636,0.0315157240193959,0.0315157240193959,0.885714285714286,19,0.642145684940921,0.532795291557355,0.450959579998222,0.716665845931616,0.234422063878071,0.247849497184642,0.6300541953312,25,0.610694165526736,0.547274555649041,0.321611888448944,0.314800182975007,-0.106092350419248,-0.11194714815789,1.56620968388974,2,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",3,1.21797204803154,1.32450331125828,0.256546613904775,0.452833418935114,0.0696480653986838,0.0667761258663473,0.955555555555555,17,0.966916960415978,0.873961388074291,0.431113462993343,0.449823198366452,-0.0422226277255149,-0.0725371676192257,0.740740740740741,13,1.11400773167336,0.993150684931507,0.512309049796224,0.89408706288405,-0.0810674251677568,-0.0677692264697562,2.625,1,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",119,1.02780994902748,0.736148365218022,0.979602513313079,1.09118951224214,0.642494853454925,0.587703615135906,0.204623321732506,538,1.59579061500841,1.01130804476653,1.70545811158963,1.54098360655738,0.221755360066716,0.0436310095632318,0.0439356294014098,360,1.61986733483508,1.11111111111111,1.54366317080971,1.8156089193825,0.107622662917893,0.266500767099344,1.19559567307811,88,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,0.637542209723589,0.721499410853856,0.232383167418571,0.351338545368396,-0.0680979737652325,-0.006252375712939,3.70136161234825,19,0.921411166889901,0.883311347219885,0.378395249659748,0.395313711883088,-0.0714972118488029,-0.0646852184526904,0.575771627999242,13,0.756193252060638,0.735963040567993,0.12924939460459,0.0458265139116203,0.01499967559168,0.0105281323921041,0.845255762173501,3,"2010","Latin America and Caribbean","Barbados","High income"
