"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Local Ownership","mean_Local Ownership","median_Local Ownership","sd_Local Ownership","iqr_Local Ownership","OPcov_Local Ownership","OPcovNoWeights_Local Ownership","indAlloc_Local Ownership","N_Foreign Ownership","mean_Foreign Ownership","median_Foreign Ownership","sd_Foreign Ownership","iqr_Foreign Ownership","OPcov_Foreign Ownership","OPcovNoWeights_Foreign Ownership","indAlloc_Foreign Ownership","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,3,1.48097706124879,1.49054838610134,0.2570168710883,0.278264246034677,0.090788690745235,0.103365729739296,1.83890135173778,35,1.21015169348964,1.33361907526777,0.701060174291454,0.583885820559759,0.159478061338953,0.0556896039258622,1.17418706447137,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,144,0.980719103343501,0.905574160577091,0.311304065768262,0.398399161432739,0.0202542929683167,0.0266609897792138,1.17276682727004,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,2,43,1.22612077928291,1.30867810629745,0.50530417655924,0.640612722830255,-0.327703722423816,-0.336955262203996,0.085202877210804,77,1.48464701188161,1.30488264485453,0.74739797681727,0.727092536514036,-0.216720046065264,-0.21034199387595,0.619460902288145,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50,1.63422426180229,1.54283215424706,0.476567593793533,0.495524442300379,-0.0480473775414381,-0.0372289105914711,1.46958235697951,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,121,1.25900091401471,1.26212820194086,0.35946191018729,0.380294161618004,0.0283651298167298,0.0786213832197845,0.5,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,0,2,1.09624630375387,1.09624630375387,0.110458329905308,0.156211668229169,0.00830119419841733,0.00976322926432305,1.0794647578218,43,1.0443582233692,1.02729569716761,0.328429289721263,0.48818114167657,0.0113675186451421,0.062753259517953,0.810909745638435,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,17,11,0.899530710312934,0.856133938647559,0.556768485331383,0.563721177940606,0.361470217340323,0.407507523911395,1.30458504796292,131,1.14546883131081,1.12416650881534,0.365798687604752,0.336864613201943,-0.00456149624022638,-0.0811089070214157,1.88155163981505,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,34,1.08214704996059,1.01812658121421,0.38278064688843,0.345499414755636,-0.125656397110341,-0.0925928180306616,1.31045702585493,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,237,1.30703445899716,1.20679246763154,0.494914257168192,0.726493656655885,-0.0699160655095641,-0.138319979776088,1.80287078687071,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,5,5,1.7427674692272,1.57515859297272,1.5206795647506,1.65676522201082,-0.0799305899227006,-0.397642318953215,0.927456342011712,91,0.879154150910498,0.847626050522607,0.334324894551684,0.327546473536501,0.151882125344071,0.260115809653129,1.0062227564239,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,0,2,3.10084232609898,3.10084232609898,1.54257576631925,2.18153156971675,1.17406423069972,1.04214789940818,19.555063318538,23,1.76337255426617,1.88217685116928,0.832684572529661,1.03542246097981,-0.291954318476537,-0.386479521189444,1.06356497283525,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,1,11,-0.654091474839987,-0.785061720138359,0.491582827562865,0.395864280994445,0.0910256717870991,0.046819595987277,13.5810710407908,20,-0.131955609583372,-0.0936474994407886,0.519531807589357,0.546108018714715,0.0510929451024262,0.0404869852763035,0.453491551658913,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mauritius","Mauritius2009",NA,NA,NA,NA,NA,NA,NA,NA,0,11,1.07503318478481,1.12218798770964,0.402382977575254,0.306011217648299,0.0689737358793042,0.0950669808265883,29.1176566390192,15,1.6719673809295,1.37237290686588,0.881590770413276,1.04600269724244,0.673665031509424,0.0958718751162315,1.43372843815648,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
