"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",13,27507.4140864406,8267.25623608072,46295.1722685092,67646.9753251185,-10972.6412573812,-11658.1827634917,0.997114146573379,5,4172.62659693824,3417.08937190205,15106.0827237279,9336.24932548908,-1166.92562707414,226.652612726434,0.427835347213569,7,8676.69999920935,8523.56796870482,6126.38817309758,8487.08925866528,437.041741978855,-928.0130389215,0.443486472873795,114,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",14,31280.3398420018,22005.1206877133,30963.8575361515,46828.3914503166,-7773.70754670188,-5787.69653506261,0.147182922267421,9,22521.3187977298,7514.63227350371,31140.8618158353,28379.666440393,-5185.50820491832,-4674.06117276935,0.691214510194444,11,7363.96605800037,4722.13154562719,7452.87545709958,7722.59128798602,1408.46622058422,998.951570616071,0.759141420161533,77,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",27,22112.3205195415,4337.35833831911,31030.8827166249,38558.1133785323,-2181.11536541495,-2259.14992840994,0.727432483518545,32,164106.995865933,6325.29595710191,377427.257544815,178908.132672506,8729.51108481774,939.110630093713,0.218094571338705,29,55414.9037548484,3742.95688824792,157074.323630695,41985.9876828713,17689.9614334089,16389.9510218923,1.15384615384615,48,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",4,41835.0218690891,31010.1826784842,31892.6093098567,25689.8835978836,27325.2599002728,27514.148904006,2.21680678211399,11,19047.5008578743,16409.8974756605,9965.96289021071,13966.0493827161,860.235726994586,870.310852634085,0.889871741644093,16,24044.0745982353,17344.0337268574,19354.0125072484,18851.8518518519,1759.91938856409,1909.97705913231,1.04761904761905,3,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",272,44134.6895346281,29661.5102624954,40251.0801164427,38509.9310774245,20854.6321949839,18340.267775204,1.37107600740476,95,18200.1702071163,16476.5548822957,13236.0710564072,15747.0285462628,4519.35216832153,9364.28875796095,1.05089551170048,161,23733.5690024901,24529.3375696725,14796.3744764526,14628.5095854446,1069.67691705828,2478.60553971774,0.74300084412166,272,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",18,8295.43035509733,3701.78727356468,12032.8749752968,11682.4377512354,-273.76032596838,-1372.12087768966,3.0752846821414,9,4506.89958838304,3347.62814177213,5007.39443170368,5633.42606043394,-1276.70696150057,65.8421447108643,0.646088860626411,34,10852.8583253156,6415.58367445461,9286.23765173877,11173.2050718471,-2583.06468292142,-2176.92181045579,1.36626097092976,50,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",3,8276.92023566035,8469.19720774405,501.612008437934,929.040326743527,253.556570502856,245.102687956224,6.36735969189711,39,9215.30615530769,5537.92707503378,9047.44854698026,3576.33926560403,279.661559065684,505.221583413459,0.849844503209603,2,25058.2921122707,25058.2921122707,1706.35292114939,2413.14744328441,-872.078036434466,-872.078036434466,0.580459770114943,77,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",20,71903.0817459047,35956,90902.808450117,58910.7142857143,25062.2867486814,22795.7804239368,0.218591549295775,11,33635.8604520197,18025,32878.9455114823,54679.7014925373,11544.9601586673,8948.50307305946,0.518518518518519,2,63964.2857142857,63964.2857142857,54497.7297785918,77071.4285714286,18554.2328042328,18554.2328042328,1.92857142857143,9,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",260,3264.39397252951,2750.6418457564,2749.33174696409,3082.71911903728,-522.804817613198,-415.30532164731,0.413587823540935,489,3070.38537894572,2090.63525812261,2739.78032473875,3231.82646366752,950.059285014703,-53.928554947716,0.715045530147227,259,2255.08327982014,1727.03178324948,1633.20913694398,1434.795234556,-411.004968029817,-210.671200374968,0.826022328059275,171,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",25,33406.993453296,27374.2978991181,28611.5158770901,18794.6428571429,4633.79913433489,5558.3363792357,0.480641225647579,1,37116.6666666667,37116.6666666667,NA,0,0,0,1,10,23656.0782107946,22060.523234239,9278.57278015242,10416.6666666667,2285.1836308531,2250.90154829545,0.880863458546942,35,"2010","Latin America and Caribbean","Barbados","High income"
