"countryOnly","country","N_Old","mean_Old","median_Old","sd_Old","iqr_Old","OPcov_Old","OPcovNoWeights_Old","indAlloc_Old","N_Mature","mean_Mature","median_Mature","sd_Mature","iqr_Mature","OPcov_Mature","OPcovNoWeights_Mature","indAlloc_Mature","N_Young","mean_Young","median_Young","sd_Young","iqr_Young","OPcov_Young","OPcovNoWeights_Young","indAlloc_Young","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",7,0.200767395288341,0.242114317529898,0.102504023264406,0.0818419866962111,0.00962763197690997,0.0292512209031618,10.4008814233121,3,0.304394130668514,0.299670163585393,0.168152754084056,0.239652758331,-0.152247858246066,-0.125760492433989,3.7,1,0.125,0.125,NA,0,0,0,1,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",75,0.133420115500563,0.0810307280672589,0.125081967547543,0.182424242424242,-0.00260373728235335,0.0189430623826974,1.40256206821134,23,0.182266992054742,0.14615750216376,0.158206323619823,0.25,-0.0669243666853193,-0.0679738074352577,1.875,11,0.107963222663874,0.0648610400831227,0.108805600804451,0.125,-0.0623411395189774,-0.0529583213083213,1.95272447649453,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",73,0.281595033817868,0.239947381543876,0.163722686230689,0.184588744588745,-0.0485998656683755,-0.047701536634079,1.44260233880132,50,0.318722871834675,0.301732783801773,0.239328617230008,0.38,0.0670715535784631,0.0407575067435268,0.245036783986006,1,0.7,0.7,NA,0,0,0,1,0,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",9,0.235257100011994,0.224855210851501,0.0669828412642512,0.0267017701794633,-0.013700897122412,-0.00484599227166093,0.563734579859533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",5,0.133310761005579,0.118191720930302,0.0642738856561788,0.0916666666666667,0.0289729187656205,0.0107606777316856,0.492483399371162,11,0.168982882123815,0.12744186298255,0.0936675557644883,0.099714,0.0181153262464056,0.0341206439487178,0.763436276192013,3,0.437075969344877,0.285555103066697,0.494987791247809,0.780008417508418,0.29239423421139,0.29884556177175,0.325549851064139,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,0.183544,0.183544,NA,0,0,0,1,1,0.282221666666667,0.282221666666667,NA,0,0,0,1,1,0.179591836734694,0.179591836734694,NA,0,0,0,1,6,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,0.5,0.5,NA,0,0,0,1,9,0.386795641242841,0.336178608285699,0.211802576227292,0.281062091503268,-0.0890751180101031,-0.0868644502065288,0.576183699888582,1,0.4,0.4,NA,0,0,0,1,1,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",57,0.422860289905341,0.323114697840518,0.332493678252167,0.34,0.000894265178451466,-0.070841711182346,0.737270096947548,23,0.259587031099969,0.130427051798659,0.219563034932089,0.382285714285714,-0.0856929465286067,-0.0641832104668073,1.51849060392054,11,0.338775153838001,0.395632144555591,0.244700084421176,0.375,-0.060476489487272,-0.105864111149983,1.04432842222837,3,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",10,0.0684712113638399,0.0333333333333333,0.0773275109544959,0.0925,0.0485002408923646,0.0488907099957409,NA,9,0.121429001901822,0.0630302818992195,0.130014316027688,0.0909629989490321,-0.0248873266060486,-0.0257673309879207,1.17791666666667,1,0.0768248175182482,0.0768248175182482,NA,0,0,0,1,2,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",2,0.385423835223512,0.385423835223512,0.308021301271589,0.43560790175809,-0.0535146131041467,-0.0544509877197613,1.35228021286355,2,0.422870249379261,0.422870249379261,0.00897764597297532,0,0.000887650878523813,0.00211605144886098,0.923800631197595,2,0.74175231574708,0.74175231574708,0.0307624199425427,0.0435046314941604,-0.0195213090037899,-0.0195213090037899,9.75,3,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
