"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",7,0.0283369695300058,0.000276821084519401,0.0511103570331152,0.0968768639974881,-0.0163148164839489,-0.0162410702109215,2.42064875781417,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",18,0.39795921509356,0.401211314480047,0.290247058406444,0.371428571428571,0.0407691168356061,0.0487197612589072,1.05024625043396,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",7,0.202713984271296,0.190324736152978,0.209853053850197,0.405136452241715,-0.0853479295250087,-0.000796075890266485,1.33910390454006,2,1,0.214285714285714,0.214285714285714,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",14,0.451770095796497,0.475008274249537,0.234902587041951,0.35,-0.0155573375628616,-0.0127677114137403,0.766947269471628,0,2,0.587275919278392,0.587275919278392,0.144956890143242,0.205,-0.0140223006674809,-0.0146428571428571,1.19142126946603,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",1,0.5,0.5,NA,0,0,0,1,7,11,0.437562995077682,0.500046718485317,0.143730777402267,0.226315789473684,0.0362269841040974,0.00818916069761562,1.12155800752098,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",6,0.616495204931543,0.586778121342397,0.365189150256416,0.326388888888889,0.0185380515637247,0.111777065527066,1.29298214861982,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",3,0.173844950458447,0.17389457317862,0.125574575405221,0.14587619047619,-0.0612859799774759,-0.0253629351155667,1.07394660046975,0,7,0.182774779807515,0.211086924156821,0.167474943845454,0.310789473684211,-0.0988664956324697,-0.0889232650750054,1.23720794436915,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",15,0.371928323191799,0.421085339206855,0.18691344637598,0.359111935567192,0.0465860364019379,0.100345091039559,0.380212567053987,0,3,0.366223609558208,0.36903521422318,0.0707798369040902,0.0958494614047619,-0.00885834939929824,-0.0119564186392028,3.73333333333333,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",9,0.356061612209407,0.352277739807657,0.254541863075728,0.471794871794872,-0.00325050470426313,0.013373883581856,1.05129296297137,0,2,0.5875105831,0.5875105831,0.229794737122076,0.3249788338,-0.0198157825487805,-0.0198157825487805,1.13888888888889,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",11,0.214482838199052,0.181952815282584,0.199870025744727,0.267272727272727,-0.0298103685647863,-0.105341610350655,1,1,1,0.00268627975,0.00268627975,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",2,0.441860485047522,0.441860485047522,0.120483786629462,0.170389805097451,-0.0862607381132668,-0.0769235527867134,9.00774703390612,0,8,0.35073525771349,0.419832603276436,0.238513230483049,0.360551324391723,0.163888366591924,0.160409937772897,0.210446284147831,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Croatia","High income"
"Drc","Drc2013",12,0.198354861824521,0.198443973521519,0.14607657859582,0.292127551020408,-0.0836577276757646,-0.0804388903648167,2.1006404295912,0,1,0.276484338475923,0.276484338475923,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",55,0.488092617282573,0.5,0.225910059947698,0.215384615384615,0.0768647103826033,0.0639682094556328,0.258796040766163,1,7,0.274284012976287,0.121455810729811,0.369865013675398,0.631410256410256,0.0876380894303357,0.0857789660717305,0.793039374955225,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",1,0.317494600431965,0.317494600431965,NA,0,0,0,1,1,6,0.269724972339835,0.138060380870043,0.229899541634405,0.373726981310387,0.0639947011073639,0.106126756679844,0.861974802307474,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",6,0.183473135145558,0.146601749974642,0.139773912888405,0.257921025209777,0.0258245890491206,0.0258245890491206,1.92857142857143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",4,0.459695436367675,0.443523051660282,0.179159653616317,0.2689018,-0.0284261601373156,-0.0229038121343603,1.17344799862779,2,1,0.527260287150853,0.527260287150853,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",6,0.427417150453793,0.513024530053436,0.261626306302822,0.38495126673775,0.0555151822629107,0.0446368133998759,0.466666666666667,0,4,0.427472093922293,0.289573194817427,0.334885228668593,0.633333333333333,-0.0942860701284019,-0.0738661474934794,0.973740788416396,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",5,0.234462532433664,0.26719707264929,0.129812240300468,0.246666666666667,0.0177348254266096,0.0872786885245902,0.964478249126657,3,1,0.2,0.2,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
