"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",3,0.160686463056359,0.148539268665105,0.109586632155054,0.099687358974359,-0.0261514946917056,-0.0509508099931368,2.59329298310021,9,0.241866866379829,0.183915100684622,0.143975882189175,0.224143850500919,-0.040734230064329,-0.0190385375369703,0.917571252638326,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",1,0.28,0.28,NA,0,0,0,1,9,0.0841270275728974,0.0971801330256082,0.0544134431277517,0.0995333333333333,-0.00948479466056904,0.00646932435066238,1.09653346131433,2,1,0.333333333333333,0.333333333333333,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",1,0.104166666666667,0.104166666666667,NA,0,0,0,1,1,0.108,0.108,NA,0,0,0,1,6,13,0.284539544430524,0.254097914916065,0.187788287516362,0.193420101229212,0.0397257983957839,-0.0392847921690228,0.479394060177649,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,2,0.179334637964775,0.179334637964775,0.0211440149051477,0.0299021526418787,0.00215396862250821,0.00215396862250821,0.874074074074074,2,1,0.2,0.2,NA,0,0,0,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",10,0.256019614389195,0.260221850211091,0.136823842040817,0.292421768707483,0.0135819239654369,0.0568455663647212,NA,9,0.1758897730799,0.192155647083214,0.122504427968909,0.233333333333333,-0.0083637181440144,-0.00452702242615907,1.21520585489084,3,78,0.122435381242986,0.125,0.062404798848609,0.0890697674418605,-0.00452973452962563,-0.0126686185730243,1.40338312355402,"2012","East Asia and Pacific","China","Upper middle income"
"Cotedivoire","Cotedivoire2009",NA,NA,NA,NA,NA,NA,NA,NA,1,0.0461538461538462,0.0461538461538462,NA,0,0,0,1,0,4,0.31012438251692,0.275259831253666,0.155894039628351,0.202425811716155,-0.0994133684545484,-0.087350140986505,6.46441834473053,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",15,0.164908100741577,0.257755438995395,0.150179025807287,0.248,-0.0814924879846198,-0.090230573651259,1.56340566932606,18,0.313836914096825,0.137473051048777,0.300980784192944,0.491666666666667,-0.161164012346897,0.0156760717787088,4.58986702174167,4,6,0.112413288706378,0.106445879693065,0.0161666576769654,0.021,0.00830736944741165,0.00749592963043247,0.159458685369183,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",1,0.32,0.32,NA,0,0,0,1,3,0.170377192605228,0.183333333333333,0.0546163564011415,0.116,-0.0436226511976587,-0.0468375080282595,2,0,1,0.144,0.144,NA,0,0,0,1,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",296,0.136112770813335,0.120186122907686,0.109682281274235,0.14433299389002,-0.0202756611967284,-0.0106711967422348,0.872834502363846,80,0.127873670327721,0.12,0.0849357835224498,0.0773511904761903,-0.0192200536891939,-0.0201496239564588,1.13674702551536,4,147,0.143266319909763,0.133333333333333,0.0810991002838536,0.1075,0.0143822281681541,0.00419676979208568,0.42151233765465,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,3,0.087617912682709,0.0712634396213552,0.0962073747540783,0.0525496812898388,0.0947599117500039,0.0635728962998399,0.138255801036619,2,1,0.333333333333333,0.333333333333333,NA,0,0,0,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
